"","id","location","year","month","day","fhours","Gear","catch","nao","amo","oisst","BATHY.DEPTH","lon","lat","Abundance"
"111","2002-259307","us",2002,6,22,3,"RR",0,1.144999981,-0.136,22.6700000762939,24,-75.5,36.5833333333333,NA
"117","2002-274601","us",2002,7,7,4,"RR",0,0.127000004,-0.085,24.939998626709,23,-75.3333333333333,36.75,NA
"357","2003-011302","us",2003,6,26,8,"RR",0,0.096000001,0.186,21.5399990081787,1880,-74.25,37,NA
"2239","2009-038901","us",2009,7,9,7,"RR",0,-0.329110891,0.208,23.4200000762939,39,-75.1666666666667,37,NA
"3889","2013-048505","us",2013,7,13,8,"RR",0,0.690279603,0.169,23.6099987030029,23,-75.3333333333333,36.75,NA
"3973","2013-094304","us",2013,8,11,8,"RR",0,-0.587761283,0.173,25.4599990844727,47,-74.8333333333333,36.5833333333333,NA
"8133","2020-004601","us",2020,6,13,4,"RR",0,0.421065241,0.249,16.0799999237061,53,-72.3666666666667,40.4,NA
"8134","2020-004602","us",2020,6,13,3,"RR",0,0.421065241,0.249,16.0799999237061,53,-72.3666666666667,40.4,NA
"8135","2020-004604","us",2020,6,13,15,"RR",0,0.421065241,0.249,16.5499992370605,279,-71.3333333333333,40,NA
"8136","2020-004605","us",2020,6,13,4,"RR",0,0.421065241,0.249,16.0799999237061,53,-72.3666666666667,40.4,NA
"8137","2020-004606","us",2020,6,13,12,"RR",0,0.421065241,0.249,16.5499992370605,279,-71.3333333333333,40,NA
"8138","2020-004701","us",2020,6,14,6,"RR",0,0.605519116,0.249,16.0299987792969,60,-71.5833333333333,40.8333333333333,NA
"8139","2020-007701","us",2020,6,22,2,"RR",0,-0.18472594,0.249,17.8799991607666,27,-70.25,42.1666666666667,NA
"8140","2020-011201","us",2020,6,25,6,"RR",0,-0.007561928,0.249,18.7600002288818,27,-70.25,42.1666666666667,NA
"8141","2020-011202","us",2020,6,25,3,"RR",0,-0.007561928,0.249,18.7600002288818,27,-70.25,42.1666666666667,NA
"8142","2020-011901","us",2020,6,27,4,"RR",0,-0.823548377,0.249,19.5,28,-70.2833333333333,42.2666666666667,NA
"8143","2020-011902","us",2020,6,27,4,"RR",1,-0.823548377,0.249,19.5,28,-70.2833333333333,42.2666666666667,NA
"8144","2020-012101","us",2020,6,27,1,"RR",0,-0.823548377,0.249,19.2999992370605,78,-70.5,42.5833333333333,NA
"8145","2020-012301","us",2020,6,28,7,"RR",0,-1.177244067,0.249,19.5499992370605,22,-70.75,42.2666666666667,NA
"8146","2020-012401","us",2020,6,26,1,"RR",0,-0.431387633,0.249,19.189998626709,28,-70.2833333333333,42.2666666666667,NA
"8147","2020-012701","us",2020,6,26,8,"RR",1,-0.431387633,0.249,19.189998626709,28,-70.2833333333333,42.2666666666667,NA
"8148","2020-013201","us",2020,6,27,4,"RR",0,-0.823548377,0.249,21.3299999237061,60,-72.9166666666667,39.5833333333333,NA
"8149","2020-030202","us",2020,6,29,6,"RR",0,-1.259180784,0.249,19.7600002288818,28,-70.2833333333333,42.2666666666667,NA
"8150","2020-033102","us",2020,7,5,5,"RR",0,-0.025935404,0.341,22.0399990081787,53,-72.3666666666667,40.4,NA
"8151","2020-034601","us",2020,7,5,11,"RR",1,-0.025935404,0.341,19,39,-70.1833333333333,42.2166666666667,NA
"8152","2020-035503","us",2020,7,2,10,"RR",0,-0.767243326,0.341,19.689998626709,28,-70.2833333333333,42.2666666666667,NA
"8153","2020-040002","us",2020,7,2,6,"RR",0,-0.767243326,0.341,21.0799999237061,52,-70.9166666666667,40.9166666666667,NA
"8154","2020-041001","us",2020,7,6,5,"RR",1,-0.183214754,0.341,17.9499988555908,28,-70.2833333333333,42.2666666666667,NA
"8155","2020-045501","us",2020,7,8,4,"RR",1,-0.426105201,0.341,17.8500003814697,28,-70.2833333333333,42.2666666666667,NA
"8156","2020-050301","us",2020,7,7,8,"RR",1,-0.24574399,0.341,17.6800003051758,28,-70.2833333333333,42.2666666666667,NA
"8157","2020-050402","us",2020,7,9,8,"RR",1,-0.595101774,0.341,18.1700000762939,28,-70.2833333333333,42.2666666666667,NA
"8158","2020-051401","us",2020,7,10,7,"RR",0,-0.522174954,0.341,20.5100002288818,25,-70.3333333333333,41.85,NA
"8159","2020-051703","us",2020,7,10,10,"RR",0,-0.522174954,0.341,18.5200004577637,33,-70.4166666666667,42.4166666666667,NA
"8160","2020-053701","us",2020,7,10,5,"RR",0,-0.522174954,0.341,21.3999996185303,46,-71.3333333333333,41,NA
"8161","2020-053702","us",2020,7,10,6,"RR",0,-0.522174954,0.341,20.689998626709,33,-71.1666666666667,41.0833333333333,NA
"8162","2020-063501","us",2020,7,9,8,"RR",0,-0.595101774,0.341,18.5499992370605,76,-70.0833333333333,42.9166666666667,NA
"8163","2020-063502","us",2020,7,9,1,"RR",1,-0.595101774,0.341,18.4499988555908,126,-70.4166666666667,42.8333333333333,NA
