"id","year","month","day","lat","lon","catch_n","state","prim_op","lines","fhours","party","bt_live","bt_art","bt_dead","fm_troll","fm_chunk","fm_chum","depth","bathy","field.sst","oisst","primary","secondary","nao","amo"
"2002-364501",2002,10,1,42.9166666666667,-70.4166666666667,1,"MA","Private",1,2,2,"Yes","No","No","Yes","No","Yes",-228,-74.1,NA,15.6300001144409,"giant",NA,0.123999998,0.092
"2002-23-10-137",2002,10,1,42.5833333333333,-70.5,0,"ME","Charter",3,10,2,"Yes","No","No","No","No","Yes",-210,-73.9,NA,15.9399995803833,"giant",NA,0.123999998,0.092
"2002-23-10-139",2002,10,2,42.5833333333333,-70.5,0,"ME","Charter",4,10,2,"Yes","No","No","No","No","Yes",-210,-73.9,NA,16.4599990844727,"giant",NA,0.66900003,0.092
"2002-23-10-138",2002,10,2,42.5833333333333,-70.5,0,"ME","Charter",4,10,2,"Yes","No","Yes","No","Yes","Yes",-220,-73.9,NA,16.4599990844727,"giant",NA,0.66900003,0.092
"2002-364801",2002,10,2,42.8666666666667,-70.5833333333333,0,"NH","Private",3,9,3,"Yes","No","Yes","No","No","Yes",-180,-83.7,16.67,16.0499992370605,"giant",NA,0.66900003,0.092
"2002-364802",2002,10,2,42.8666666666667,-70.5833333333333,0,"NH","Private",2,9,2,"Yes","No","Yes","No","No","Yes",-180,-83.7,16.67,16.0499992370605,"giant",NA,0.66900003,0.092
"2002-364803",2002,10,2,42.75,-70.2166666666667,0,"NH","Private",2,9,2,"Yes","No","Yes","No","No","Yes",-300,-69.2,18.89,15.8699998855591,"giant",NA,0.66900003,0.092
"2002-23-10-141",2002,10,3,42.5833333333333,-70.5,0,"ME","Charter",3,10,2,"Yes","No","No","No","No","Yes",-210,-73.9,NA,16.5200004577637,"giant",NA,1.116000056,0.092
"2002-23-10-140",2002,10,3,42.5833333333333,-70.5,0,"ME","Charter",4,10,2,"Yes","No","Yes","No","Yes","Yes",-220,-73.9,NA,16.5200004577637,"giant",NA,1.116000056,0.092
"2002-23-10-142",2002,10,4,42.5833333333333,-70.5,0,"ME","Charter",4,10,2,"Yes","No","Yes","No","Yes","Yes",-220,-73.9,NA,15.8099994659424,"giant",NA,0.967000008,0.092
"2002-23-10-143",2002,10,4,42.5833333333333,-70.5,0,"ME","Charter",4,10,2,"Yes","No","No","No","No","Yes",-210,-73.9,NA,15.8099994659424,"giant",NA,0.967000008,0.092
"2002-368104",2002,10,5,41.8333333333333,-70.3333333333333,1,"MA","Private",4,8,2,"Yes","No","No","No","No","Yes",-180,-24,18.33,16.0900001525879,"giant",NA,1.016000032,0.092
"2002-368103",2002,10,5,41.8333333333333,-70.3333333333333,0,"MA","Private",4,9,3,"Yes","No","Yes","No","Yes","No",-180,-24,18.33,16.0900001525879,"giant",NA,1.016000032,0.092
"2002-368102",2002,10,5,41.8333333333333,-70.3333333333333,0,"MA","Private",4,3,2,"No","No","Yes","Yes","No","No",-180,-24,18.33,16.0900001525879,"giant",NA,1.016000032,0.092
"2002-368101",2002,10,5,41.8333333333333,-70.3333333333333,0,"MA","Private",3,3,2,"Yes","No","Yes","No","No","Yes",-180,-24,18.33,16.0900001525879,"giant",NA,1.016000032,0.092
"2002-368105",2002,10,5,41.8333333333333,-70.3333333333333,1,"MA","Private",4,4,2,"No","No","Yes","No","No","Yes",-180,-24,18.33,16.0900001525879,"giant",NA,1.016000032,0.092
"2002-23-10-145",2002,10,8,42.5833333333333,-70.5,0,"ME","Charter",3,6,2,"Yes","No","No","No","No","Yes",-210,-73.9,NA,15.0199995040894,"giant",NA,0.54400003,0.092
"2002-369201",2002,10,8,42.9166666666667,-70.4166666666667,1,"NH","Private",1,4,1,"No","No","Yes","No","No","Yes",-215,-74.1,15,14.8699998855591,"large med",NA,0.54400003,0.092
"2002-370802",2002,10,9,41.8333333333333,-70.3333333333333,0,"MA","Private",3,4,2,"Yes","No","Yes","No","No","Yes",-180,-24,18.33,15.5599994659424,"giant",NA,0.564999998,0.092
"2002-370804",2002,10,9,41.8333333333333,-70.3333333333333,0,"MA","Private",4,5,3,"Yes","No","No","No","No","Yes",-180,-24,18.33,15.5599994659424,"giant",NA,0.564999998,0.092
"2002-370801",2002,10,9,41.8333333333333,-70.3333333333333,0,"MA","Private",4,8,2,"Yes","No","No","No","No","Yes",-180,-24,18.89,15.5599994659424,"giant",NA,0.564999998,0.092
"2002-370805",2002,10,9,41.8333333333333,-70.3333333333333,1,"MA","Private",4,5,2,"Yes","No","No","No","No","Yes",-180,-24,18.33,15.5599994659424,"giant",NA,0.564999998,0.092
"2002-370803",2002,10,9,41.8333333333333,-70.3333333333333,0,"MA","Private",4,8,2,"Yes","No","No","No","No","Yes",-180,-24,18.33,15.5599994659424,"giant",NA,0.564999998,0.092
"2002-371310",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",2,10,2,"No","No","Yes","Yes","Yes","Yes",-300,-75.9,16.67,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371302",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",4,5,2,"Yes","No","No","No","No","Yes",-320,-75.9,15.56,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371301",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",4,4,2,"No","No","Yes","Yes","Yes","Yes",-330,-75.9,16.67,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371303",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",2,6,2,"No","No","Yes","Yes","Yes","Yes",-300,-75.9,15,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371305",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",3,12,2,"No","No","Yes","No","No","Yes",-400,-75.9,15.56,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371304",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",4,10,2,"No","No","Yes","No","Yes","Yes",-320,-75.9,15.56,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371311",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",1,3,1,"No","No","Yes","No","No","Yes",-300,-75.9,15,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371309",2002,10,10,41.6666666666667,-69.9166666666667,0,"MA","Private",4,4,4,"No","Yes","No","Yes","No","No",-30,-13.7,16.67,15.2799997329712,"giant",NA,0.372999996,0.092
"2002-371312",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Charter",3,10,1,"No","No","Yes","No","No","No",-400,-75.9,15.56,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371306",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Private",3,9,2,"No","No","Yes","No","Yes","No",-360,-75.9,15.56,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371307",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Charter",4,5,2,"No","No","Yes","No","Yes","Yes",-270,-75.9,15.56,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371308",2002,10,10,41.2666666666667,-69.2833333333333,1,"MA","Charter",3,8,2,"No","No","Yes","No","No","Yes",-450,-75.9,15,14.960000038147,"giant",NA,0.372999996,0.092
"2002-371002",2002,10,10,43,-70.4833333333333,0,"NH","Private",2,8,1,"No","No","Yes","No","No","Yes",-210,-89.4,15.56,14.5799999237061,"giant",NA,0.372999996,0.092
"2002-373702",2002,10,12,41.8333333333333,-70.3333333333333,0,"MA","Private",4,10,2,"No","No","Yes","No","Yes","Yes",-180,-24,7.78,14.539999961853,"giant",NA,-0.838,0.092
"2002-373701",2002,10,12,41.8333333333333,-70.3333333333333,0,"MA","Private",4,10,2,"No","No","Yes","No","Yes","Yes",-180,-24,7.78,14.539999961853,"giant",NA,-0.838,0.092
"2002-378304",2002,10,18,41.2666666666667,-69.2833333333333,1,"MA","Private",2,1,2,"No","No","Yes","No","Yes","No",-200,-75.9,13.89,13.4200000762939,"giant",NA,-2.785000086,0.092
"2002-378302",2002,10,18,41.2666666666667,-69.2833333333333,0,"MA","Private",2,3,1,"No","No","Yes","No","Yes","Yes",-180,-75.9,11.67,13.4200000762939,"giant",NA,-2.785000086,0.092
"2002-378303",2002,10,18,41.2666666666667,-69.2833333333333,2,"MA","Private",3,3,4,"Yes","No","No","No","Yes","No",-200,-75.9,17.78,13.4200000762939,"giant",NA,-2.785000086,0.092
"2002-378301",2002,10,18,41.2666666666667,-69.2833333333333,1,"MA","Private",3,7,2,"No","No","Yes","No","No","Yes",-210,-75.9,13.33,13.4200000762939,"giant",NA,-2.785000086,0.092
"2002-378305",2002,10,18,41.2666666666667,-69.2833333333333,0,"MA","Private",4,2,2,"No","No","Yes","No","No","Yes",-310,-75.9,14.44,13.4200000762939,"giant",NA,-2.785000086,0.092
"2002-378207",2002,10,19,41.6666666666667,-69.9166666666667,1,"MA","Private",3,4,2,"Yes","No","No","No","Yes","No",-250,-13.7,13.89,13.3599996566772,"giant",NA,-2.799999952,0.092
"2002-378201",2002,10,19,41.6666666666667,-69.9166666666667,1,"MA","Charter",4,5,2,"No","No","Yes","No","Yes","No",-300,-13.7,14.44,13.3599996566772,"giant",NA,-2.799999952,0.092
"2002-378205",2002,10,19,41.6666666666667,-69.9166666666667,0,"MA","Private",3,9,1,"No","No","Yes","No","Yes","No",-250,-13.7,11.67,13.3599996566772,"giant",NA,-2.799999952,0.092
"2002-378202",2002,10,19,41.6666666666667,-69.9166666666667,1,"MA","Charter",3,5,2,"No","No","Yes","No","Yes","No",-300,-13.7,14.44,13.3599996566772,"giant",NA,-2.799999952,0.092
"2002-378203",2002,10,19,41.6666666666667,-69.9166666666667,0,"MA","Private",3,8,3,"No","No","Yes","No","Yes","No",-200,-13.7,13.89,13.3599996566772,"giant",NA,-2.799999952,0.092
"2002-378206",2002,10,19,41.6666666666667,-69.9166666666667,1,"MA","Charter",4,5,2,"No","No","Yes","No","No","Yes",-200,-13.7,13.33,13.3599996566772,"giant",NA,-2.799999952,0.092
"2002-378901",2002,10,20,40.8333333333333,-71.5833333333333,0,"NY","Charter",3,4,5,"No","No","Yes","No","Yes","Yes",-180,-59.3,15,16.1499996185303,"giant",NA,-3.048000097,0.092
