"","state","county","year","new_location","lon","lat","londdmm","latddmm"
"25879","VA",810,2003,"BRAVO TOWER",-75.25,36.25,7515,3615
"25326","VA",810,2021,"TRIPLE ZEROS",-74.8333333333333,36.25,7450,3615
"25331","VA",1,2004,"TRIPLE ZEROS",-74.8333333333333,36.25,7450,3615
"25443","VA",810,2005,"TRIPLE ZEROS",-74.8333333333333,36.25,7450,3615
"21403","NJ",9,2007,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"21407","NJ",29,2007,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"21525","NJ",9,2011,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"21969","NJ",9,2005,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"24979","VA",810,2007,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25044","VA",810,2022,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25048","VA",810,2005,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25094","VA",810,2006,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25161","VA",810,2017,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25163","VA",810,2008,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25392","VA",810,2010,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25445","VA",810,2003,"CIGAR CANYON",-74.8333333333333,36.5,7450,3630
"25795","VA",810,2003,"CIGAR",-74.8333333333333,36.5666666666667,7450,3634
"25590","VA",1,2003,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25631","VA",1,2006,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25665","VA",1,2007,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25696","VA",810,2003,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25734","VA",810,2016,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25767","VA",810,2010,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25833","VA",1,2009,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25848","VA",1,2002,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25921","VA",810,2002,"SOUTH LUMPS",-75.5,36.5833333333333,7530,3635
"25580","VA",1,2013,"CIGAR",-74.8333333333333,36.5833333333333,7450,3635
"25874","VA",1,2010,"CIGAR",-74.8333333333333,36.5833333333333,7450,3635
"5758","MD",47,2008,"MD 100 FATHOM",-74.7,36.6333333333333,7442,3638
"25929","VA",1,2005,"SOUTH LUMPS",-75.3333333333333,36.6666666666667,7520,3640
"4480","MD",47,2013,"FISH HOOK",-75.5,36.75,7530,3645
"25385","VA",810,2013,"FISH HOOK",-75.5,36.75,7530,3645
"25386","VA",810,2010,"FISH HOOK",-75.5,36.75,7530,3645
"422","DE",5,2003,"HOT DOG",-75.3333333333333,36.75,7520,3645
"4500","MD",47,2005,"HOT DOG",-75.3333333333333,36.75,7520,3645
"4501","MD",47,2012,"HOT DOG",-75.3333333333333,36.75,7520,3645
"4502","MD",47,2006,"HOT DOG",-75.3333333333333,36.75,7520,3645
"4847","MD",47,2004,"HOT DOG",-75.3333333333333,36.75,7520,3645
"20973","NJ",9,2002,"HOT DOG",-75.3333333333333,36.75,7520,3645
"20974","NJ",9,2003,"HOT DOG",-75.3333333333333,36.75,7520,3645
"20975","NJ",9,2004,"HOT DOG",-75.3333333333333,36.75,7520,3645
"20976","NJ",1,2013,"HOT DOG",-75.3333333333333,36.75,7520,3645
"20977","NJ",9,2013,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25201","VA",810,2010,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25205","VA",810,2016,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25207","VA",810,2015,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25208","VA",810,2009,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25209","VA",810,2005,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25266","VA",810,2007,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25302","VA",810,2008,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25439","VA",810,2011,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25441","VA",810,2018,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25762","VA",810,2003,"HOT DOG",-75.3333333333333,36.75,7520,3645
"25881","VA",810,2003,"SOUTH FINGERS",-75,36.8333333333333,7500,3650
"25804","VA",810,2008,"SOUTH FINGERS",-75.25,36.85,7515,3651
"25499","VA",810,2008,"WAYNES WORLD",-75.2,36.9166666666667,7512,3655
"25606","VA",810,2017,"WAYNES WORLD",-75.0833333333333,36.9166666666667,7505,3655
"25713","VA",810,2006,"WAYNES WORLD",-75.0833333333333,36.9166666666667,7505,3655
"25786","VA",810,2003,"WAYNES WORLD",-75.0833333333333,36.9166666666667,7505,3655
"25882","VA",810,2017,"SOUTH FINGERS",-75,36.9166666666667,7500,3655
"25442","VA",810,2008,"EAST WAYNES WORLD",-74.9166666666667,36.9333333333333,7455,3656
"25125","VA",810,2010,"FINGERS",-75.2666666666667,37,7516,3700
"4716","MD",47,2004,"FINGERS",-75.1666666666667,37,7510,3700
"4718","MD",47,2005,"FINGERS",-75.1666666666667,37,7510,3700
"24968","VA",810,2010,"FINGERS",-75.1666666666667,37,7510,3700
"24973","VA",810,2008,"FINGERS",-75.1666666666667,37,7510,3700
"24982","VA",810,2017,"FINGERS",-75.1666666666667,37,7510,3700
"25002","VA",810,2007,"FINGERS",-75.1666666666667,37,7510,3700
"25088","VA",710,2009,"FINGERS",-75.1666666666667,37,7510,3700
"25124","VA",1,2011,"FINGERS",-75.1666666666667,37,7510,3700
"25226","VA",810,2009,"FINGERS",-75.1666666666667,37,7510,3700
"25323","VA",1,2007,"FINGERS",-75.1666666666667,37,7510,3700
"25351","VA",810,2003,"FINGERS",-75.1666666666667,37,7510,3700
"25353","VA",810,2004,"FINGERS",-75.1666666666667,37,7510,3700
"25448","VA",810,2005,"FINGERS",-75.1666666666667,37,7510,3700
"25485","VA",710,2005,"FINGERS",-75.1666666666667,37,7510,3700
"25523","VA",810,2006,"FINGERS",-75.1666666666667,37,7510,3700
"25572","VA",1,2010,"FINGERS",-75.1666666666667,37,7510,3700
"25573","VA",810,2002,"FINGERS",-75.1666666666667,37,7510,3700
"25890","VA",1,2002,"FINGERS",-75.1666666666667,37,7510,3700
"25904","VA",1,2009,"FINGERS",-75.1666666666667,37,7510,3700
"25900","VA",810,2008,"FINGERS",-75,37,7500,3700
"25933","VA",810,2003,"FINGERS",-75,37,7500,3700
"3821","MD",47,2004,"NORFOLK CANYON",-74.25,37,7415,3700
"3825","MD",47,2006,"NORFOLK CANYON",-74.25,37,7415,3700
"25433","VA",1,2003,"NORFOLK CANYON",-74.25,37,7415,3700
"3707","MD",47,2004,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"3708","MD",47,2005,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"3710","MD",47,2021,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"3711","MD",47,2008,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"3713","MD",47,2016,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"21244","NJ",9,2008,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24948","VA",1,2005,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24952","VA",810,2005,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24956","VA",710,2005,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24960","VA",710,2006,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24966","VA",810,2004,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24970","VA",1,2017,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24972","VA",1,2007,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24974","VA",1,2003,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24989","VA",810,2020,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"24990","VA",810,2003,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25030","VA",1,2018,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25037","VA",1,2013,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25042","VA",810,2017,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25062","VA",1,2008,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25067","VA",1,2015,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25075","VA",810,2014,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25090","VA",1,2004,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25095","VA",1,2002,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25110","VA",1,2009,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25117","VA",1,2011,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25149","VA",810,2009,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25155","VA",1,2010,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25158","VA",1,2012,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25175","VA",1,2019,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25178","VA",810,2007,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25233","VA",810,2010,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25288","VA",1,2016,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25303","VA",810,2008,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25399","VA",810,2012,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25447","VA",810,2021,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25637","VA",810,2006,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"25806","VA",1,2006,"NORFOLK CANYON",-74.5833333333333,37.0833333333333,7435,3705
"4103","MD",47,2002,"NORTHEAST OF HOT DOG",-74.2833333333333,37.1,7417,3706
"25667","VA",810,2017,"26 MILE HILL",-75.25,37.1666666666667,7515,3710
"25704","VA",1,2010,"26 MILE HILL",-75.25,37.1666666666667,7515,3710
"25599","VA",810,2011,"26 MILE HILL",-75.3333333333333,37.25,7520,3715
"25598","VA",1,2010,"26 MILE HILL",-75.25,37.25,7515,3715
"25562","VA",1,2002,"26 MILE HILL",-75.1833333333333,37.25,7511,3715
"4796","MD",47,2004,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"4797","MD",47,2010,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"24969","VA",1,2009,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"24975","VA",1,2010,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"24981","VA",810,2009,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"24992","VA",1,2002,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"25034","VA",1,2003,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"25036","VA",1,2015,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"25070","VA",1,2004,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"25122","VA",1,2008,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"25123","VA",131,2002,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"25145","VA",1,2011,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
"25203","VA",810,2010,"26 MILE HILL",-75.1666666666667,37.25,7510,3715
