"Size_class","id","year","fhours","depth","sst","lon","lat","catch"
"small","2002-23-07-15",2002,7,-275,16.11,-70.2833333333333,43.25,0
"large","2002-23-07-15",2002,7,-275,16.11,-70.2833333333333,43.25,0
"small","2002-23-07-17",2002,8,-220,NA,-69.9166666666667,43.5,0
"large","2002-23-07-17",2002,8,-220,NA,-69.9166666666667,43.5,0
"small","2002-23-07-18",2002,6,-215,NA,-69.9166666666667,43.5,0
"large","2002-23-07-18",2002,6,-215,NA,-69.9166666666667,43.5,0
"small","2002-23-07-19",2002,8,-220,NA,-70.1666666666667,43.3333333333333,0
"large","2002-23-07-19",2002,8,-220,NA,-70.1666666666667,43.3333333333333,0
"small","2002-23-07-20",2002,10,-220,NA,-70.1666666666667,43.3333333333333,0
"large","2002-23-07-20",2002,10,-220,NA,-70.1666666666667,43.3333333333333,0
"small","2002-23-07-21",2002,12,-120,16.67,-70.0833333333333,43.1666666666667,0
"large","2002-23-07-21",2002,12,-120,16.67,-70.0833333333333,43.1666666666667,0
"small","2002-23-07-22",2002,13,-250,17.22,-70.1666666666667,43.3333333333333,0
"large","2002-23-07-22",2002,13,-250,17.22,-70.1666666666667,43.3333333333333,0
"small","2002-23-07-23",2002,12,-200,17.22,-69.9166666666667,43.5,0
"large","2002-23-07-23",2002,12,-200,17.22,-69.9166666666667,43.5,0
"small","2002-23-07-24",2002,10,-220,NA,-70.1666666666667,43.3333333333333,0
"large","2002-23-07-24",2002,10,-220,NA,-70.1666666666667,43.3333333333333,0
"small","2002-23-07-25",2002,5,-230,16.67,-70.0833333333333,43.1666666666667,0
"large","2002-23-07-25",2002,5,-230,16.67,-70.0833333333333,43.1666666666667,0
"small","2002-23-07-26",2002,7,-200,16.67,-69.9166666666667,43.5,0
"large","2002-23-07-26",2002,7,-200,16.67,-69.9166666666667,43.5,0
"small","2002-23-07-27",2002,12,-200,16.67,-69.9166666666667,43.5,0
"large","2002-23-07-27",2002,12,-200,16.67,-69.9166666666667,43.5,0
"small","2002-23-07-28",2002,11,-120,16.11,-70.1666666666667,43.3333333333333,0
"large","2002-23-07-28",2002,11,-120,16.11,-70.1666666666667,43.3333333333333,0
"small","2002-23-07-29",2002,10,-220,NA,-70.1666666666667,43.3333333333333,0
"large","2002-23-07-29",2002,10,-220,NA,-70.1666666666667,43.3333333333333,0
"small","2002-23-07-30",2002,4,-215,NA,-70.0833333333333,43.1666666666667,0
"large","2002-23-07-30",2002,4,-215,NA,-70.0833333333333,43.1666666666667,0
"small","2002-23-07-33",2002,6,-220,19.44,-70.1666666666667,43.3333333333333,0
"large","2002-23-07-33",2002,6,-220,19.44,-70.1666666666667,43.3333333333333,1
"small","2002-23-07-34",2002,5,-190,NA,-69.9166666666667,43.5,0
"large","2002-23-07-34",2002,5,-190,NA,-69.9166666666667,43.5,1
"small","2002-23-07-36",2002,4,-300,15,-69.7,43.4166666666667,0
"large","2002-23-07-36",2002,4,-300,15,-69.7,43.4166666666667,0
"small","2002-23-07-37",2002,7,-180,14.44,-69.9166666666667,43.5,0
"large","2002-23-07-37",2002,7,-180,14.44,-69.9166666666667,43.5,0
"small","2002-23-07-39",2002,7,-270,NA,-69.6666666666667,43.2166666666667,0
"large","2002-23-07-39",2002,7,-270,NA,-69.6666666666667,43.2166666666667,0
"small","2002-23-07-40",2002,10,-240,NA,-70.0833333333333,43.1666666666667,0
"large","2002-23-07-40",2002,10,-240,NA,-70.0833333333333,43.1666666666667,0
"small","2002-23-07-41",2002,1,-240,16.67,-70.0833333333333,43.1666666666667,0
"large","2002-23-07-41",2002,1,-240,16.67,-70.0833333333333,43.1666666666667,1
"small","2002-23-07-42",2002,24,-210,17.22,-69.85,43.6833333333333,0
"large","2002-23-07-42",2002,24,-210,17.22,-69.85,43.6833333333333,1
"small","2002-23-07-43",2002,6,-228,NA,-69.7666666666667,43.6666666666667,0
"large","2002-23-07-43",2002,6,-228,NA,-69.7666666666667,43.6666666666667,0
"small","2002-23-07-44",2002,8,-286,15,-69.7,43.5,0
"large","2002-23-07-44",2002,8,-286,15,-69.7,43.5,0
"small","2002-23-07-45",2002,7,-300,17.22,-70.1666666666667,43.3333333333333,0
