"Size_class","id","year","month","day","fhours","depth","sst","lon","lat","catch"
"small","AA_CT_20010906_210101",2001,9,6,6,-54.9,22.22,-71.4166666666667,40.75,6
"large","AA_CT_20010906_210101",2001,9,6,6,-54.9,22.22,-71.4166666666667,40.75,0
"small","AA_CT_20010908_110601",2001,9,8,10,-50.3,20,-71.3333333333333,41.1666666666667,4
"large","AA_CT_20010908_110601",2001,9,8,10,-50.3,20,-71.3333333333333,41.1666666666667,0
"small","AA_CT_20010916_110202",2001,9,16,4,-51.8,21.67,-70.9166666666667,40.75,2
"large","AA_CT_20010916_110202",2001,9,16,4,-51.8,21.67,-70.9166666666667,40.75,0
"small","AA_DE_19960804_110501",1996,8,4,6,-36.6,21.67,-74.4166666666667,38.5,3
"large","AA_DE_19960804_110501",1996,8,4,6,-36.6,21.67,-74.4166666666667,38.5,0
"small","AA_DE_19980613_110301",1998,6,13,8,-27.4,17.22,-74.75,38.0833333333333,3
"large","AA_DE_19980613_110301",1998,6,13,8,-27.4,17.22,-74.75,38.0833333333333,0
"small","AA_DE_20000629_210101",2000,6,29,11,-36.6,22.22,-74.1833333333333,38.1,2
"large","AA_DE_20000629_210101",2000,6,29,11,-36.6,22.22,-74.1833333333333,38.1,0
"small","AA_DE_20000629_210102",2000,6,29,8,-36.6,22.22,-74.55,37.9833333333333,5
"large","AA_DE_20000629_210102",2000,6,29,8,-36.6,22.22,-74.55,37.9833333333333,0
"small","AA_DE_20000630_110501",2000,6,30,10,-36.6,NA,-74.4,38.1833333333333,2
"large","AA_DE_20000630_110501",2000,6,30,10,-36.6,NA,-74.4,38.1833333333333,0
"small","AA_DE_20000630_110503",2000,6,30,4,-36,22.22,-74.4,38.1833333333333,2
"large","AA_DE_20000630_110503",2000,6,30,4,-36,22.22,-74.4,38.1833333333333,0
"small","AA_DE_20000630_110504",2000,6,30,8,-36.6,22.78,-74.2833333333333,38.1,8
"large","AA_DE_20000630_110504",2000,6,30,8,-36.6,22.78,-74.2833333333333,38.1,0
"small","AA_DE_20000703_210303",2000,7,3,10,-36.6,22.22,-74.4,38.1833333333333,2
"large","AA_DE_20000703_210303",2000,7,3,10,-36.6,22.22,-74.4,38.1833333333333,0
"small","AA_DE_20000708_110401",2000,7,8,8,-54.9,22.78,-74.4166666666667,39.0833333333333,1
"large","AA_DE_20000708_110401",2000,7,8,8,-54.9,22.78,-74.4166666666667,39.0833333333333,0
"small","AA_DE_20000715_110401",2000,7,15,8,-56.4,22.78,-74.4,38.1833333333333,3
"large","AA_DE_20000715_110401",2000,7,15,8,-56.4,22.78,-74.4,38.1833333333333,0
"small","AA_DE_20000715_110402",2000,7,15,8,-36.6,22.78,-74.4,38.1833333333333,4
"large","AA_DE_20000715_110402",2000,7,15,8,-36.6,22.78,-74.4,38.1833333333333,0
"small","AA_DE_20000716_110802",2000,7,16,8,-34.4,22.78,-74.4,38.1833333333333,3
"large","AA_DE_20000716_110802",2000,7,16,8,-34.4,22.78,-74.4,38.1833333333333,0
"small","AA_DE_20000716_110803",2000,7,16,6,-40.5,22.78,-74.4,38.1833333333333,3
"large","AA_DE_20000716_110803",2000,7,16,6,-40.5,22.78,-74.4,38.1833333333333,0
"small","AA_DE_20000717_210101",2000,7,17,7,-39.6,22.78,-74.4666666666667,38.1833333333333,1
"large","AA_DE_20000717_210101",2000,7,17,7,-39.6,22.78,-74.4666666666667,38.1833333333333,0
"small","AA_DE_20000717_210102",2000,7,17,8,-39.6,23.33,-75.3333333333333,36.75,2
"large","AA_DE_20000717_210102",2000,7,17,8,-39.6,23.33,-75.3333333333333,36.75,0
"small","AA_DE_20000727_210202",2000,7,27,6,-33.5,21.67,-74.4,38.1833333333333,0
"large","AA_DE_20000727_210202",2000,7,27,6,-33.5,21.67,-74.4,38.1833333333333,0
"small","AA_DE_20000727_210203",2000,7,27,6,-39.6,23.89,-74.4,38.1833333333333,1
"large","AA_DE_20000727_210203",2000,7,27,6,-39.6,23.89,-74.4,38.1833333333333,0
"small","AA_DE_20000727_210204",2000,7,27,8,-38.1,22.22,-74.4,38.1833333333333,0
"large","AA_DE_20000727_210204",2000,7,27,8,-38.1,22.22,-74.4,38.1833333333333,0
"small","AA_DE_20000727_210205",2000,7,27,7,-39.6,24.44,-74.4,38.1833333333333,2
"large","AA_DE_20000727_210205",2000,7,27,7,-39.6,24.44,-74.4,38.1833333333333,0
"small","AA_DE_20000727_210206",2000,7,27,8,-36.6,23.33,-74.4,38.1833333333333,5
"large","AA_DE_20000727_210206",2000,7,27,8,-36.6,23.33,-74.4,38.1833333333333,0
"small","AA_DE_20000730_111401",2000,7,30,8,-39.6,23.33,-74.4,38.1833333333333,1
"large","AA_DE_20000730_111401",2000,7,30,8,-39.6,23.33,-74.4,38.1833333333333,0
"small","AA_DE_20000731_210101",2000,7,31,5,-40.2,23.89,-74.4666666666667,38.2,1
"large","AA_DE_20000731_210101",2000,7,31,5,-40.2,23.89,-74.4666666666667,38.2,0
"small","AA_DE_20000804_110802",2000,8,4,8,-36.6,23.89,-74.4,38.1833333333333,1
"large","AA_DE_20000804_110802",2000,8,4,8,-36.6,23.89,-74.4,38.1833333333333,0
"small","AA_DE_20000804_110803",2000,8,4,8,-41.5,23.89,-74.4,38.1833333333333,0
"large","AA_DE_20000804_110803",2000,8,4,8,-41.5,23.89,-74.4,38.1833333333333,0
"small","AA_DE_20000804_110804",2000,8,4,7,-36.6,23.89,-74.4,38.1833333333333,1
"large","AA_DE_20000804_110804",2000,8,4,7,-36.6,23.89,-74.4,38.1833333333333,0
"small","AA_DE_20000805_110101",2000,8,5,4,-42.1,22.78,-74.3333333333333,38.4166666666667,1
"large","AA_DE_20000805_110101",2000,8,5,4,-42.1,22.78,-74.3333333333333,38.4166666666667,0
"small","AA_DE_20000805_110103",2000,8,5,8,-39,24.44,-74.4,38.1833333333333,0
"large","AA_DE_20000805_110103",2000,8,5,8,-39,24.44,-74.4,38.1833333333333,0
"small","AA_DE_20000826_110408",2000,8,26,7,-40.2,22.78,-74.4,38.1833333333333,1
"large","AA_DE_20000826_110408",2000,8,26,7,-40.2,22.78,-74.4,38.1833333333333,0
"small","AA_DE_20010630_110802",2001,6,30,5,-146.3,25,-73.8333333333333,38.2333333333333,1
"large","AA_DE_20010630_110802",2001,6,30,5,-146.3,25,-73.8333333333333,38.2333333333333,0
"small","AA_DE_20010630_110805",2001,6,30,8,-39.6,26.11,-74.2833333333333,38.1,1
"large","AA_DE_20010630_110805",2001,6,30,8,-39.6,26.11,-74.2833333333333,38.1,0
"small","AA_DE_20010630_110807",2001,6,30,7,-30.5,26.11,-74.3333333333333,38.0333333333333,1
"large","AA_DE_20010630_110807",2001,6,30,7,-30.5,26.11,-74.3333333333333,38.0333333333333,0
"small","AA_DE_20010630_110809",2001,6,30,8,-54.9,25.56,-74.5,37.4833333333333,0
