"Size_class","trip","year","month","day","fhours","lon","lat","sst","catch","data"
"Unknown","1992_101028_1_7_23",1992,7,23,12,-65.55,42.05,NA,5,"hdata"
"Unknown","1992_101574_1_7_23",1992,7,23,12,-65.5666666666667,42,NA,5,"hdata"
"Unknown","1992_150945_1_7_23",1992,7,23,12,-65.5833333333333,42.0333333333333,NA,6,"hdata"
"Unknown","1992_27473_1_7_24",1992,7,24,12,-65.6,42.05,NA,5,"hdata"
"Unknown","1992_102734_2_7_24",1992,7,24,10,-61,45.3333333333333,NA,1,"hdata"
"Unknown","1992_102734_3_7_25",1992,7,25,10,-61,45.3333333333333,NA,1,"hdata"
"Unknown","1992_102734_4_7_27",1992,7,27,10,-61,45.3333333333333,NA,2,"hdata"
"Unknown","1992_150081_1_7_30",1992,7,30,4,-61.0333333333333,45.35,NA,1,"hdata"
"Unknown","1992_101356_1_7_31",1992,7,31,12,-65.5666666666667,42.05,NA,4,"hdata"
"Unknown","1992_102734_5_8_6",1992,8,6,10,-61,45.3333333333333,NA,1,"hdata"
"Unknown","1992_7285_1_8_7",1992,8,7,12,-65.5166666666667,42.05,NA,3,"hdata"
"Unknown","1992_102734_6_8_7",1992,8,7,10,-61,45.3333333333333,NA,1,"hdata"
"Unknown","1992_103274_1_8_7",1992,8,7,12,-65.5833333333333,42.05,NA,2,"hdata"
"Unknown","1992_102394_1_8_8",1992,8,8,14,-65.6,42.05,NA,4,"hdata"
"Unknown","1992_150855_1_8_8",1992,8,8,12,-65.5166666666667,42.0333333333333,NA,4,"hdata"
"Unknown","1992_151202_1_8_8",1992,8,8,15,-65.6,42.05,NA,9,"hdata"
"Unknown","1992_101550_1_8_9",1992,8,9,18,-65.6,42.05,NA,6,"hdata"
"Unknown","1992_150884_1_8_9",1992,8,9,22,-65.6333333333333,42,NA,2,"hdata"
"Unknown","1992_7931_1_8_13",1992,8,13,7,-65.5166666666667,42.05,NA,3,"hdata"
"Unknown","1992_102211_1_8_16",1992,8,16,12,-66.5,43.65,NA,3,"hdata"
"Unknown","1992_7931_2_8_17",1992,8,17,5,-65.5166666666667,42.0666666666667,NA,5,"hdata"
"Unknown","1992_151719_4_8_17",1992,8,17,6,-60.85,45.2166666666667,NA,1,"hdata"
"Unknown","1992_11636_1_8_18",1992,8,18,15,-65.5,42.1333333333333,NA,1,"hdata"
"Unknown","1992_27473_2_8_18",1992,8,18,12,-65.6,42.05,NA,1,"hdata"
"Unknown","1992_150884_2_8_18",1992,8,18,22,-65.6333333333333,42,NA,3,"hdata"
"Unknown","1992_151685_4_8_18",1992,8,18,5,-60.8666666666667,45.3333333333333,NA,1,"hdata"
"Unknown","1992_8180_1_8_19",1992,8,19,13,-65.5666666666667,42.0333333333333,NA,2,"hdata"
"Unknown","1992_8746_1_8_19",1992,8,19,8,-65.5833333333333,42.05,NA,4,"hdata"
"Unknown","1992_11652_1_8_19",1992,8,19,18,-65.6666666666667,42.1666666666667,NA,7,"hdata"
"Unknown","1992_17105_1_8_19",1992,8,19,24,-65.6,42.05,NA,8,"hdata"
"Unknown","1992_151719_6_8_19",1992,8,19,4,-60.9,45.2166666666667,NA,1,"hdata"
"Unknown","1992_175075_1_8_19",1992,8,19,14,-65.6,42.05,NA,2,"hdata"
"Unknown","1992_175343_1_8_19",1992,8,19,7.6,-65.6,42.0666666666667,NA,7,"hdata"
"Unknown","1992_17142_1_8_20",1992,8,20,9,-65.6333333333333,42,NA,7,"hdata"
"Unknown","1992_54939_2_8_20",1992,8,20,12,-65.5833333333333,42.05,NA,6,"hdata"
"Unknown","1992_151587_3_8_20",1992,8,20,12,-65.65,42.0333333333333,NA,8,"hdata"
"Unknown","1992_153311_19_8_20",1992,8,20,6,-60.8,45.3666666666667,NA,1,"hdata"
"Unknown","1992_2404_9_8_21",1992,8,21,8,-60.8166666666667,45.3333333333333,NA,1,"hdata"
"Unknown","1992_9709_1_8_21",1992,8,21,24,-65.6,42.05,NA,8,"hdata"
