id,year,month,day,stcode,county,siteno,tourn,tcode,tourn_name,new_tcode,new_name,inttime,site_no,sitetype,docno,location,prim_op,todayt,category,ppstate,ppstfips,returnt,prim1,prim2,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,young_school_bft,school_bft,large_school_bft,small_med_bft,large_med_bft,giant_bft,unk_bft,school_or_lgschool_bft
2002-255401,2002,6,14,24,47,938,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1800,470938,1,1,BALTIMORE CANYON,1,2,1,MD,24,1750,3591,9996,6,6,5,6,0,1,1,1,0,1,0,6,4,3814,7350,60,500,61,0,0,0,0,0,0,0,0
2002-255402,2002,6,14,24,47,938,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1830,470938,1,2,BALTIMORE CANYON,2,1,3,MD,24,1815,3551,9996,6,6,5,6,0,0,1,0,0,1,0,6,6,3806,7349,60,1800,61,0,0,0,0,0,0,0,0
2002-255403,2002,6,14,24,47,938,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1915,470938,1,3,BALTIMORE CANYON,2,1,3,DE,10,1910,3591,9996,6,6,4,6,0,0,1,0,0,1,0,6,3,3814,7350,60,500,62,0,0,0,0,0,0,0,0
2002-255703,2002,6,15,10,5,1599,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1850,51599,1,3,OFF DELAWARE,2,1,3,DE,10,1840,3591,9996,6,6,2,12,0,0,1,0,0,1,0,6,6,9998,9998,25,108,64,0,0,0,0,0,0,0,0
2002-258005,2002,6,15,24,47,1493,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1550,471493,1,5,BALTO CANYON,2,1,7,MD,24,1545,3551,9996,6,6,5,6,0,0,1,0,0,1,0,6,3,3820,7345,86,420,62,0,0,0,0,0,0,0,0
2002-258006,2002,6,15,24,47,1493,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1710,471493,1,6,FINGERS,2,1,3,MD,24,1700,3551,9996,6,6,3,6,0,0,1,0,0,1,0,6,3,3812,7437,25,120,64,0,0,0,0,0,0,0,0
2002-258012,2002,6,15,24,47,1493,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1810,471493,1,12,POOR MANS CANYON,2,1,3,MD,24,1800,3551,9996,6,6,4,4,0,0,1,0,0,1,0,6,4,3752,7406,59,480,61,0,0,0,0,0,0,0,0
2002-258008,2002,6,15,24,47,9006,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1747,479006,1,8,20 F FINGER,1,2,1,MD,24,1645,3551,9996,6,6,4,7,0,0,1,0,0,1,0,6,4,3818,7437,21,130,63,0,0,0,0,0,0,0,0
2002-257701,2002,6,15,36,103,85,1,T206,STAR ISLAND YACHT,206,STAR ISLAND YC SHARK,1630,1030085,1,1,BUTTERFISH HOLE,1,2,1,NY,36,1615,3551,9996,6,6,3,3,0,0,1,0,1,0,0,6,5,9998,9998,21,140,58,0,0,0,0,0,0,0,0
2002-257702,2002,6,15,36,103,85,1,T206,STAR ISLAND YACHT,206,STAR ISLAND YC SHARK,1700,1030085,1,2,BUTTERFISH HOLE,2,1,1,NY,36,1645,3551,9996,6,6,4,4,0,0,1,0,0,1,0,6,3,4050,7135,28,180,58,0,0,0,0,0,0,0,0
2002-257703,2002,6,15,36,103,85,1,T206,STAR ISLAND YACHT,206,STAR ISLAND YC SHARK,1730,1030085,1,3,SOUTHEAST,1,2,8,NY,36,1700,3551,9996,6,6,3,4,0,0,1,0,0,1,0,6,3,9998,9998,30,200,59,0,0,0,0,0,0,0,0
2002-258805,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1650,10025,1,5,36 MILES,1,2,2,MD,24,1630,4656,9996,6,6,5,7,0,1,1,1,0,0,0,6,4,9998,9998,36,140,71,0,0,0,0,0,0,0,0
2002-258806,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1725,10025,1,6,WASHINGTON CANYON,1,2,2,MD,24,1700,4656,9996,6,6,6,7,0,1,1,1,0,0,0,6,3,3724,7425,60,500,69,0,2,0,0,0,0,0,0
2002-258807,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1800,10025,1,7,NORFOLK CANYON,1,2,2,VA,51,1730,4656,9996,6,6,5,8,0,1,1,1,0,0,0,6,4,3700,7415,60,800,72,0,0,0,0,0,0,0,0
2002-258810,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1820,10025,1,10,NORFOLK CANYON,1,2,2,VA,51,1800,4656,9996,6,6,7,7,0,1,1,1,0,0,0,6,7,3700,7415,60,600,72,0,0,0,0,0,0,0,0
