mo_name,sp_code,sp_name,st,boattype,area,trips,v_trips,boatsonf,month,tot_area,n_area,p_area,year,state,n,malb,mskj,myft,mbet,mwhm,mbum,msai,mwah,mblushk,mthrshk,mbethrsh,msfnmako,mlfnmako,mdskyshk,mhmmrshk,mltunny,mbon,mkmack,msmack,mblktun,msbarshk,mswd,mmakoshk,mwshk,mtgrshk,mstgrshk,mambrjk,mdol,mysbft,msbft,mlschbft,msmdbft,mlgmdbft,mlgbft,muncbft,mporbgl,salb,sskj,syft,sbet,swhm,sbum,ssai,swah,sblushk,sthrshk,sbethrsh,ssfnmako,slfnmako,sdskyshk,shmmrshk,sltunny,sbon,skmack,ssmack,sblktun,ssbarshk,sswd,smakoshk,swshk,stgrshk,sstgrshk,sambrjk,sdol,sysbft,ssbft,slschbft,ssmdbft,slgmdbft,slgbft,suncbft,sporbgl,intrcept,inframe,outframe,p_frame,vp_frame,exfactor,vxfactor,tottrips,vartrips,calb,valb,cskj,vskj,cyft,vyft,cbet,vbet,cwhm,vwhm,cbum,vbum,csai,vsai,cwah,vwah,cblushk,vblushk,cthrshk,vthrshk,cbethrsh,vbethrsh,csfnmako,vsfnmako,clfnmako,vlfnmako,cdskyshk,vdskyshk,chmmrshk,vhmmrshk,cltunny,vltunny,cbon,vbon,ckmack,vkmack,csmack,vsmack,cblktun,vblktun,csbarshk,vsbarshk,cswd,vswd,cmakoshk,vmakoshk,cwshk,vwshk,ctgrshk,vtgrshk,cstgrshk,vstgrshk,cambrjk,vambrjk,cdol,vdol,cysbft,vysbft,csbft,vsbft,clschbft,vlschbft,csmdbft,vsmdbft,clgmdbft,vlgmdbft,clgbft,vlgbft,cuncbft,vuncbft,cporbgl,vporbgl,kept,var_kept,meankept,s2_kept,alive,var_alive,dead,var_dead,weighed,var_weighed
June,0030,greater amberjack,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,86.419458457,4084.6069298,0.1486486486,0.8132173269,0,0,0,0,0,0
June,0330,Atlantic bonito,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,0,0,0,0,0,0
June,1050,dolphin,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,1461.2744794,372519.92619,2.5135135135,39.321732692,23.568943216,217.12349728,0,0,86.419458457,2392.7489947
June,1940,king mackerel,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,0,0,0,0,0,0
June,2161,white marlin,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,62.850515241,1017.6335119,0,0,0,0
June,2171,blue marlin,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,47.137886431,642.9129311,0,0,0,0
June,3026,sailfish,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,0,0,0,0,0,0
June,3491,sand tiger,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,0,0,0,0,0,0
June,3531,thresher sharks,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,0,0,0,0,0,0
June,3541,bigeye thresher,VA,1,2,379.50363196,13227.200412,1161,6,,,1,2011,VA,74,0,0.0675675676,0.5405405405,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405,0,0,0,0,0,0,0,0,0,0,0.1486486486,2.5135135135,0,0.2972972973,0.0135135135,0,0,0,0.0135135135,0,0,0.1186597556,2.6079229915,0,0,0,0,0,0,0,0,0,0,0,0,0.0668271011,0,0,0,0,0,0,0,0,0,0,0.8132173269,39.321732692,0,0.2117734173,0.0135135135,0,0,0,0.0135135135,0,72,47,25,0.6527777778,0.003148041,1.5319148936,0.0175813848,581.36726598,33340.67911,0,0,39.281572026,640.71766877,314.25257621,20478.054522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.568943216,329.91402628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.419458457,4084.6069298,1461.2744794,372519.92619,0,0,172.83891691,3818.6789994,7.8563144052,61.721676033,0,0,0,0,0,0,7.8563144052,61.721676033,0,0,0,0,0,0,0,0,0,0,0,0
