id,tracker,year,month,stcode,control,docno,species,othlp,kept,observe,alive,dead,sell,weighed
2002-23-07-23,23,2002,07,23,2103,03,4931,96,0,9996,1,0,0,9996
2002-23-07-23,23,2002,07,23,2103,03,4811,96,0,9996,1,0,0,9996
2002-23-07-27,27,2002,07,23,1115,02,4931,96,0,9996,1,0,0,9996
2002-23-07-27,27,2002,07,23,1115,02,4811,96,0,9996,3,0,0,9996
2002-23-07-32,32,2002,07,23,2104,01,4671,96,1,9996,0,0,1,9996
2002-23-07-33,33,2002,07,23,2204,01,4679,96,1,9996,0,0,1,9996
2002-23-07-34,34,2002,07,23,2204,02,4671,96,1,9996,0,0,1,9996
2002-23-07-35,35,2002,07,23,2201,01,4679,96,1,9996,0,0,1,9996
2002-23-07-38,38,2002,07,23,1107,01,3551,96,0,9996,1,0,0,9996
2002-23-07-41,41,2002,07,23,2105,02,4671,96,1,9996,0,0,1,9996
2002-23-07-42,42,2002,07,23,2105,03,4671,96,1,9996,0,0,1,9996
2002-23-07-44,44,2002,07,23,2118,02,4931,96,0,9996,1,0,0,9996
2002-23-07-47,47,2002,07,23,1102,01,4811,96,0,9996,1,0,0,9996
2002-23-07-48,48,2002,07,23,1102,02,4671,96,1,9996,0,0,1,9996
2002-23-07-49,49,2002,07,23,1102,03,3551,96,0,9996,1,0,0,9996
2002-23-07-50,50,2002,07,23,1101,01,4679,96,1,9996,0,0,1,9996
2002-23-08-102,102,2002,08,23,1108,07,4931,96,0,9996,2,0,0,9996
2002-23-08-104,104,2002,08,23,2101,01,4671,96,1,9996,0,0,1,9996
2002-23-08-107,107,2002,08,23,2131,04,4931,96,0,9996,1,0,0,9996
2002-23-08-108,108,2002,08,23,2103,05,4931,96,0,9996,1,0,0,9996
2002-23-08-109,109,2002,08,23,2131,06,4671,96,1,9996,0,0,1,9996
2002-23-08-110,110,2002,08,23,2131,07,4671,96,1,9996,0,0,1,9996
2002-23-08-114,114,2002,08,23,1103,01,4931,96,0,9996,1,0,0,9996
2002-23-08-118,118,2002,08,23,2103,02,4931,96,0,9996,2,0,0,9996
2002-23-08-59,59,2002,08,23,2216,06,4811,96,0,9996,1,0,0,9996
2002-23-08-60,60,2002,08,23,2216,07,4931,96,0,9996,1,0,0,9996
2002-23-08-63,63,2002,08,23,2216,10,4679,96,1,9996,0,0,1,9996
2002-23-08-63,63,2002,08,23,2216,10,4671,96,1,9996,0,0,1,9996
2002-23-08-64,64,2002,08,23,2113,01,3531,96,0,9996,1,0,0,9996
2002-23-08-66,66,2002,08,23,2106,02,4931,96,0,9996,4,0,0,9996
2002-23-08-67,67,2002,08,23,2106,01,4931,96,0,9996,3,0,0,9996
2002-23-08-69,69,2002,08,23,2203,02,4671,96,1,9996,0,0,1,9996
2002-23-08-70,70,2002,08,23,2203,03,4811,96,1,9996,0,0,0,9996
2002-23-08-70,70,2002,08,23,2203,03,4671,96,1,9996,0,0,1,9996
2002-23-08-71,71,2002,08,23,2203,04,4671,96,1,9996,0,0,1,9996
2002-23-08-72,72,2002,08,23,2203,05,4671,96,2,9996,0,0,2,9996
2002-23-08-73,73,2002,08,23,1203,01,4671,96,1,9996,0,0,1,9996
