intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
6447,2,1,2011,06,06,005501,0051599,0,0,10,01,2104,2,dejn2104.tif,00035268.tif,BLUEFISH,230,0055,4,0,0,10,0,0,0,ORIGINAL,1,0,,2011-005501
6447,2,1,2011,06,06,005501,0051599,0,0,10,01,2104,2,dejn2104.tif,00035268.tif,SHORTFIN MAKO SHARK,3551,0055,1,0,0,3,0,0,0,ORIGINAL,2,0,,2011-005501
6447,2,1,2011,06,06,005501,0051599,0,0,10,01,2104,2,dejn2104.tif,00035268.tif,DUSKY SHARK,4841,0055,3,0,0,1,0,0,0,ORIGINAL,3,0,,2011-005501
6447,2,1,2011,06,06,005501,0051599,0,0,10,01,2104,2,dejn2104.tif,00035268.tif,BLUE SHARK,4931,0055,2,0,0,3,0,0,0,ORIGINAL,4,0,,2011-005501
6447,2,1,2011,06,06,005502,0051599,0,0,10,02,2104,2,dejn2104.tif,00035270.tif,SKIPJACK TUNA,4661,0055,2,0,0,1,0,0,0,ORIGINAL,5,0,,2011-005502
6447,2,1,2011,06,06,005502,0051599,0,0,10,02,2104,2,dejn2104.tif,00035270.tif,YFT,4711,0055,1,9,0,4,0,0,0,ORIGINAL,6,0,,2011-005502
6447,2,1,2011,06,06,005503,0051599,0,0,10,03,2104,2,dejn2104.tif,00035272.tif,DOLPHIN,1050,0055,2,5,0,1,0,0,0,ORIGINAL,7,0,,2011-005503
6447,2,1,2011,06,06,005503,0051599,0,0,10,03,2104,2,dejn2104.tif,00035272.tif,SKIPJACK TUNA,4661,0055,3,0,0,2,0,0,0,ORIGINAL,8,0,,2011-005503
6447,2,1,2011,06,06,005503,0051599,0,0,10,03,2104,2,dejn2104.tif,00035272.tif,YFT,4711,0055,1,1,0,0,0,0,0,ORIGINAL,9,0,,2011-005503
6447,2,1,2011,06,06,005504,0051599,0,0,10,04,2104,2,dejn2104.tif,00035274.tif,YFT,4711,0055,1,0,0,1,0,0,0,ORIGINAL,10,0,,2011-005504
6447,2,1,2011,06,06,005505,0051599,0,0,10,05,2104,1,dejn2104.tif,00035276.tif,ATLANTIC BONITO,330,0055,3,1,0,0,0,0,0,ORIGINAL,11,0,,2011-005505
6447,2,1,2011,06,06,005505,0051599,0,0,10,05,2104,1,dejn2104.tif,00035276.tif,DOLPHIN,1050,0055,4,1,1,0,0,0,0,ORIGINAL,12,0,,2011-005505
6447,2,1,2011,06,06,005505,0051599,0,0,10,05,2104,1,dejn2104.tif,00035276.tif,SKIPJACK TUNA,4661,0055,2,3,0,0,0,0,0,ORIGINAL,13,0,,2011-005505
6447,2,1,2011,06,06,005505,0051599,0,0,10,05,2104,1,dejn2104.tif,00035276.tif,BFT SCHOOL,4677,0055,1,1,1,28,0,0,0,ORIGINAL,14,0,,2011-005505
6447,2,1,2011,06,12,008801,0051599,0,0,10,01,1201,2,dejn1201.tif,00035408.tif,DOLPHIN,1050,0088,1,1,0,0,0,0,0,ORIGINAL,15,0,,2011-008801
6447,2,1,2011,06,12,008803,0051599,0,0,10,03,1201,2,dejn1201.tif,00035411.tif,YFT,4711,0088,1,3,3,0,0,0,0,ORIGINAL,16,0,,2011-008803
6447,2,1,2011,06,12,008804,0051599,0,0,10,04,1201,2,dejn1201.tif,00035413.tif,YFT,4711,0088,1,4,0,0,0,0,0,ORIGINAL,17,0,,2011-008804
6447,2,1,2011,06,11,029501,0051599,0,0,10,01,1203,2,dejn1203.tif,00036949.tif,WHITE MARLIN,2161,0295,2,0,0,1,0,0,0,ORIGINAL,18,0,,2011-029501
6447,2,1,2011,06,11,029501,0051599,0,0,10,01,1203,2,dejn1203.tif,00036949.tif,SHORTFIN MAKO SHARK,3551,0295,1,0,0,1,0,0,0,ORIGINAL,19,0,,2011-029501
6447,2,1,2011,06,11,029501,0051599,0,0,10,01,1203,2,dejn1203.tif,00036949.tif,DUSKY SHARK,4841,0295,3,0,0,4,0,0,0,ORIGINAL,20,0,,2011-029501
6447,2,1,2011,06,11,029502,0051599,0,0,10,02,1203,2,dejn1203.tif,00036951.tif,BLUEFISH,230,0295,1,12,12,0,0,0,0,ORIGINAL,21,0,,2011-029502
6447,2,1,2011,06,11,029503,0051599,0,0,10,03,1203,2,dejn1203.tif,00036953.tif,DOLPHIN,1050,0295,1,1,0,0,0,0,0,ORIGINAL,22,0,,2011-029503
6447,2,1,2011,06,11,029505,0051599,0,0,10,05,1203,2,dejn1203.tif,00036956.tif,BLUEFISH,230,0295,1,2,0,0,0,0,0,ORIGINAL,23,0,,2011-029505
6447,2,1,2011,06,11,029505,0051599,0,0,10,05,1203,2,dejn1203.tif,00036956.tif,TIGER SHARK,4911,0295,2,0,0,1,0,0,0,ORIGINAL,24,1,CAUGHT OUT OF AREA;,2011-029505
6447,2,1,2011,06,11,029506,0051599,0,0,10,06,1203,2,dejn1203.tif,00036958.tif,YFT,4711,0295,1,2,0,0,0,0,0,ORIGINAL,25,0,,2011-029506
6447,2,1,2011,06,11,029508,0051599,0,0,10,08,1203,2,dejn1203.tif,00036961.tif,BLUEFISH,230,0295,1,3,0,0,0,0,0,ORIGINAL,26,0,,2011-029508
6447,2,1,2011,06,11,029509,0051599,0,0,10,09,1203,2,dejn1203.tif,00036963.tif,BLUEFISH,230,0295,1,10,0,0,0,0,0,ORIGINAL,27,0,,2011-029509
6447,2,1,2011,06,11,029510,0051599,0,0,10,10,1203,2,dejn1203.tif,00036965.tif,DOLPHIN,1050,0295,1,1,0,0,0,0,0,ORIGINAL,28,0,,2011-029510
6447,2,1,2011,06,11,029512,0051599,0,0,10,12,1203,2,dejn1203.tif,00036968.tif,YFT,4711,0295,1,1,0,0,0,0,0,ORIGINAL,29,0,,2011-029512
6478,2,1,2011,06,04,002101,0051599,0,0,10,01,1202,1,dejn1202.tif,00035081.tif,YFT,4711,0021,1,6,6,0,0,0,0,ORIGINAL,30,0,,2011-002101
6478,2,1,2011,06,04,002102,0051599,0,0,10,02,1202,1,dejn1202.tif,00035083.tif,ATLANTIC BONITO,330,0021,3,0,0,25,0,0,0,ORIGINAL,31,0,,2011-002102
6478,2,1,2011,06,04,002102,0051599,0,0,10,02,1202,1,dejn1202.tif,00035083.tif,LITTLE TUNNY,4681,0021,2,0,0,5,0,0,0,ORIGINAL,32,0,,2011-002102
6478,2,1,2011,06,04,002102,0051599,0,0,10,02,1202,1,dejn1202.tif,00035083.tif,YFT,4711,0021,1,8,8,30,0,0,0,ORIGINAL,33,0,,2011-002102
6478,2,1,2011,06,04,002103,0051599,0,0,10,03,1202,2,dejn1202.tif,00035085.tif,SHORTFIN MAKO SHARK,3551,0021,1,0,0,1,0,0,0,ORIGINAL,34,0,,2011-002103
6478,2,1,2011,06,04,002103,0051599,0,0,10,03,1202,2,dejn1202.tif,00035085.tif,DUSKY SHARK,4841,0021,2,0,0,1,0,0,0,ORIGINAL,35,0,,2011-002103
6478,2,1,2011,06,04,002104,0051599,0,0,10,04,1202,1,dejn1202.tif,00035087.tif,DOLPHIN,1050,0021,2,3,3,0,0,0,0,ORIGINAL,36,0,,2011-002104
