tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,alive,othlp,species,batch,row,kept,observe,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
05,6593,5,1,2011,07,22,0110687,0,1,09,0,2205,2,ctjl2205.tif,00039294.tif,2,WHITE MARLIN,2161,0580,3,0,0,0,0,0,ORIGINAL,1,0,,2011-058001
05,6593,5,1,2011,07,22,0110687,0,1,09,0,2205,2,ctjl2205.tif,00039294.tif,5,SKIPJACK TUNA,4661,0580,4,0,0,0,0,0,ORIGINAL,2,0,,2011-058001
05,6593,5,1,2011,07,22,0110687,0,1,09,0,2205,2,ctjl2205.tif,00039294.tif,0,BIGEYE TUNA,4691,0580,2,1,0,0,1,0,ORIGINAL,3,1,SELL;,2011-058001
05,6593,5,1,2011,07,22,0110687,0,1,09,0,2205,2,ctjl2205.tif,00039294.tif,20,YFT,4711,0580,1,6,0,0,6,0,ORIGINAL,4,1,SELL;,2011-058001
06,6593,3,1,2011,07,24,0119003,0,0,09,0,1113,2,ctjl1113.tif,00039541.tif,0,YFT,4711,0610,1,3,2,0,0,0,ORIGINAL,5,0,,2011-061001
06,6593,3,1,2011,07,24,0110630,0,0,09,0,1113,2,ctjl1113.tif,00039544.tif,0,BLUEFISH,230,0610,2,1,0,0,0,0,ORIGINAL,6,0,,2011-061002
06,6593,3,1,2011,07,24,0110630,0,0,09,0,1113,2,ctjl1113.tif,00039544.tif,1,SHORTFIN MAKO S,3551,0610,1,0,0,0,0,0,ORIGINAL,7,0,,2011-061002
03,6775,3,1,2011,07,01,0119003,0,0,09,0,2106,2,ctjl2106.tif,00036995.tif,0,BLUEFISH,230,0303,2,2,0,0,0,0,ORIGINAL,8,0,,2011-030301
03,6775,3,1,2011,07,01,0119003,0,0,09,0,2106,2,ctjl2106.tif,00036995.tif,11,BLUE SHARK,4931,0303,1,0,0,0,0,0,ORIGINAL,9,0,,2011-030301
04,6977,5,1,2011,07,10,0110695,0,0,09,0,1111,2,ctjl1111.tif,00038520.tif,0,COMMON THRESHER,3531,0486,1,1,1,0,0,0,ORIGINAL,10,0,,2011-048601
04,6977,5,1,2011,07,10,0110695,0,0,09,0,1111,2,ctjl1111.tif,00038520.tif,15,BLUE SHARK,4931,0486,2,0,0,0,0,0,ORIGINAL,11,0,,2011-048601
05,6977,5,1,2011,07,09,0110687,0,0,09,0,1202,2,ctjl1202.tif,00038785.tif,1,SHORTFIN MAKO S,3551,0551,1,0,0,0,0,0,ORIGINAL,12,0,,2011-055101
05,6977,5,1,2011,07,09,0110687,0,0,09,0,1202,2,ctjl1202.tif,00038785.tif,12,BLUE SHARK,4931,0551,2,0,0,0,0,0,ORIGINAL,13,0,,2011-055101
05,7374,2,1,2011,07,16,0070884,0,0,09,0,1102,2,ctjl1102.tif,00038633.tif,5,LITTLE TUNNY,4681,0506,2,5,0,0,0,0,ORIGINAL,14,0,,2011-050601
05,7374,2,1,2011,07,16,0070884,0,0,09,0,1102,2,ctjl1102.tif,00038633.tif,2,YFT,4711,0506,1,6,3,0,0,0,ORIGINAL,15,0,,2011-050601
05,7374,7,1,2011,07,23,0110672,1,1,09,0,1112,2,ctjl1112.tif,00039286.tif,0,BLUEFISH,230,0578,3,3,0,0,0,0,ORIGINAL,16,0,,2011-057801
05,7374,7,1,2011,07,23,0110672,1,1,09,0,1112,2,ctjl1112.tif,00039286.tif,0,BFT SCHOOL,4677,0578,1,1,1,0,0,0,ORIGINAL,17,0,,2011-057801
05,7374,7,1,2011,07,23,0110672,1,1,09,0,1112,2,ctjl1112.tif,00039286.tif,9,BLUE SHARK,4931,0578,2,0,0,0,0,0,ORIGINAL,18,0,,2011-057801
05,7377,5,1,2011,07,16,0110687,0,0,09,0,1210,2,ctjl1210.tif,00038638.tif,0,YFT,4711,0507,1,1,1,0,0,0,ORIGINAL,19,0,,2011-050701
05,7377,5,1,2011,07,16,0110687,0,0,09,0,1210,1,ctjl1210.tif,00038640.tif,0,SHORTFIN MAKO S,3551,0507,2,1,1,0,0,0,ORIGINAL,20,0,,2011-050702
05,7377,5,1,2011,07,16,0110687,0,0,09,0,1210,1,ctjl1210.tif,00038640.tif,5,BLUE SHARK,4931,0507,1,0,0,0,0,0,ORIGINAL,21,0,,2011-050702
05,7377,5,1,2011,07,16,0110687,0,0,09,0,1210,1,ctjl1210.tif,00038642.tif,0,DOLPHIN,1050,0507,2,2,0,0,0,0,ORIGINAL,22,0,,2011-050703
05,7377,5,1,2011,07,16,0110687,0,0,09,0,1210,1,ctjl1210.tif,00038642.tif,5,YFT,4711,0507,1,3,1,0,0,0,ORIGINAL,23,0,,2011-050703
05,7377,5,1,2011,07,16,0110687,0,0,09,0,1210,2,ctjl1210.tif,00038644.tif,4,BLUE SHARK,4931,0507,1,0,0,0,0,0,ORIGINAL,24,0,,2011-050704
05,7377,5,1,2011,07,17,0110687,0,0,09,0,1212,2,ctjl1212.tif,00038649.tif,0,YFT,4711,0508,1,1,0,0,0,0,ORIGINAL,25,0,,2011-050801
05,7377,5,3,2011,07,02,0110687,0,0,09,0,1101,2,ctjl1101.tif,00039036.tif,2,DOLPHIN,1050,0564,2,2,0,0,0,0,ORIGINAL,26,0,,2011-056401
05,7377,5,3,2011,07,02,0110687,0,0,09,0,1101,2,ctjl1101.tif,00039036.tif,0,YFT,4711,0564,1,2,0,0,0,0,ORIGINAL,27,0,,2011-056401
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037779.tif,0,YFT,4711,0394,1,3,0,0,0,0,ORIGINAL,28,0,,2011-039402
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037781.tif,0,YFT,4711,0394,1,1,0,0,0,0,ORIGINAL,29,0,,2011-039403
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037783.tif,0,DOLPHIN,1050,0394,1,2,0,0,0,0,ORIGINAL,30,0,,2011-039404
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037783.tif,0,SKIPJACK TUNA,4661,0394,2,2,0,0,0,0,ORIGINAL,31,0,,2011-039404
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037785.tif,0,YFT,4711,0394,1,1,0,0,0,0,ORIGINAL,32,0,,2011-039405
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037787.tif,0,DOLPHIN,1050,0394,1,18,0,0,0,0,ORIGINAL,33,0,,2011-039406
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037787.tif,4,YFT,4711,0394,2,1,0,0,0,0,ORIGINAL,34,0,,2011-039406
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037789.tif,0,DOLPHIN,1050,0394,3,1,1,0,0,0,ORIGINAL,35,0,,2011-039407
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037789.tif,0,BFT LARGE SCHOO,4678,0394,1,1,1,0,0,0,ORIGINAL,36,0,,2011-039407
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037789.tif,4,YFT,4711,0394,2,6,6,0,0,0,ORIGINAL,37,0,,2011-039407
03,6447,2,1,2011,07,10,0051599,0,0,10,0,1101,2,dejl1101.tif,00037789.tif,0,WAHOO,4720,0394,4,1,1,0,0,0,ORIGINAL,38,0,,2011-039407
03,6447,2,1,2011,07,11,0051599,0,0,10,0,2106,2,dejl2106.tif,00037896.tif,2,WHITE MARLIN,2161,0399,1,0,0,0,0,0,ORIGINAL,39,0,,2011-039901
03,6447,2,1,2011,07,11,0051599,0,0,10,0,2106,2,dejl2106.tif,00037898.tif,1,YFT,4711,0399,1,1,0,0,0,0,ORIGINAL,40,0,,2011-039902
03,6447,2,1,2011,07,11,0051599,0,0,10,0,2106,2,dejl2106.tif,00037900.tif,0,DOLPHIN,1050,0399,2,1,0,0,0,0,ORIGINAL,41,0,,2011-039903
03,6447,2,1,2011,07,11,0051599,0,0,10,0,2106,2,dejl2106.tif,00037900.tif,3,SKIPJACK TUNA,4661,0399,1,2,0,0,0,0,ORIGINAL,42,0,,2011-039903
03,6447,2,1,2011,07,11,0051599,0,0,10,0,2106,2,dejl2106.tif,00037902.tif,1,WHITE MARLIN,2161,0399,2,0,0,0,0,0,ORIGINAL,43,0,,2011-039904
03,6447,2,1,2011,07,11,0051599,0,0,10,0,2106,2,dejl2106.tif,00037902.tif,1,YFT,4711,0399,1,4,0,0,0,0,ORIGINAL,44,0,,2011-039904
05,6447,2,1,2011,07,19,0051599,0,0,10,0,2102,2,dejl2102.tif,00039178.tif,3,DOLPHIN,1050,0554,1,5,0,0,0,0,ORIGINAL,45,0,,2011-055401
03,6478,2,1,2011,07,03,0051599,0,0,10,0,1203,1,dejl1203.tif,00037004.tif,3,YFT,4711,0304,1,6,6,0,0,0,ORIGINAL,46,0,,2011-030401
03,6478,2,1,2011,07,03,0051599,0,0,10,0,1203,1,dejl1203.tif,00037006.tif,1,WHITE MARLIN,2161,0304,2,0,0,0,0,0,ORIGINAL,47,0,,2011-030402
03,6478,2,1,2011,07,03,0051599,0,0,10,0,1203,1,dejl1203.tif,00037006.tif,0,YFT,4711,0304,1,2,2,0,0,0,ORIGINAL,48,0,,2011-030402
03,6478,2,1,2011,07,03,0051599,0,0,10,0,1203,2,dejl1203.tif,00037008.tif,1,YFT,4711,0304,1,0,0,0,0,0,ORIGINAL,49,0,,2011-030403
03,6478,2,1,2011,07,03,0051599,0,0,10,0,1203,2,dejl1203.tif,00037010.tif,0,DOLPHIN,1050,0304,1,1,0,0,0,0,ORIGINAL,50,0,,2011-030404
03,6478,2,1,2011,07,03,0051599,0,0,10,0,1203,1,dejl1203.tif,00037012.tif,2,WHITE MARLIN,2161,0304,2,0,0,0,0,0,ORIGINAL,51,0,,2011-030405
03,6478,2,1,2011,07,03,0051599,0,0,10,0,1203,1,dejl1203.tif,00037012.tif,0,YFT,4711,0304,1,1,1,0,0,0,ORIGINAL,52,0,,2011-030405
03,6478,2,1,2011,07,02,0051599,0,0,10,0,1202,2,dejl1202.tif,00037914.tif,1,BLUE MARLIN,2171,0396,2,0,0,0,0,0,ORIGINAL,53,0,,2011-039601
03,6478,2,1,2011,07,02,0051599,0,0,10,0,1202,2,dejl1202.tif,00037914.tif,1,SHARK UNKNOWN,3591,0396,4,0,0,0,0,0,ORIGINAL,54,0,,2011-039601
03,6478,2,1,2011,07,02,0051599,0,0,10,0,1202,2,dejl1202.tif,00037914.tif,6,YFT,4711,0396,1,3,0,0,0,0,ORIGINAL,55,0,,2011-039601
03,6478,2,1,2011,07,02,0051599,0,0,10,0,1202,2,dejl1202.tif,00037914.tif,1,TIGER SHARK,4911,0396,3,0,0,0,0,0,ORIGINAL,56,1,CAUGHT OUT OF AREA;,2011-039601
03,6478,2,1,2011,07,02,0051599,0,0,10,0,1202,2,dejl1202.tif,00037916.tif,0,DOLPHIN,1050,0396,2,2,0,0,0,0,ORIGINAL,57,0,,2011-039602
