tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
16,6775,3,1,2011,10,23,0110833,0,0,09,0,1207,2,ctoc1207.tif,00046023.tif,DOLPHIN,1050,1681,2,12,12,1,0,0,0,ORIGINAL,1,0,,2011-168101
16,6775,3,1,2011,10,23,0110833,0,0,09,0,1207,2,ctoc1207.tif,00046023.tif,SWORDFISH,4328,1681,3,1,1,2,0,0,0,ORIGINAL,2,0,,2011-168101
16,6775,3,1,2011,10,23,0110833,0,0,09,0,1207,2,ctoc1207.tif,00046023.tif,YFT,4711,1681,1,2,2,0,0,0,0,ORIGINAL,3,0,,2011-168101
14,7277,3,1,2011,10,01,0113234,0,0,09,0,1209,2,ctoc1209.tif,00045008.tif,TAUTOG,4380,1486,1,2,0,0,0,0,0,ORIGINAL,4,1,CAUGHT OUT OF AREA;RARE OR ILLEGAL SPECIES KEPT;,2011-148601
15,7277,3,1,2011,10,08,0119003,0,1,09,0,1108,1,ctoc1108.tif,00045301.tif,DOLPHIN,1050,1558,3,30,0,0,0,0,0,ORIGINAL,5,0,,2011-155801
15,7277,3,1,2011,10,08,0119003,0,1,09,0,1108,1,ctoc1108.tif,00045301.tif,ALBACORE TUNA,4701,1558,1,7,1,0,0,0,0,ORIGINAL,6,0,,2011-155801
15,7277,3,1,2011,10,08,0119003,0,1,09,0,1108,1,ctoc1108.tif,00045301.tif,YFT,4711,1558,2,1,1,0,0,0,0,ORIGINAL,7,0,,2011-155801
15,7277,3,1,2011,10,08,0119003,0,1,09,0,1108,1,ctoc1108.tif,00045301.tif,BLUE SHARK,4931,1558,4,0,0,3,0,0,0,ORIGINAL,8,0,,2011-155801
15,7277,3,1,2011,10,08,0110630,0,1,09,0,1108,1,ctoc1108.tif,00045303.tif,DOLPHIN,1050,1558,2,4,0,0,0,0,0,ORIGINAL,9,0,,2011-155802
15,7277,3,1,2011,10,08,0110630,0,1,09,0,1108,1,ctoc1108.tif,00045303.tif,YFT,4711,1558,1,1,1,0,0,0,0,ORIGINAL,10,0,,2011-155802
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,1,deoc1106.tif,00045799.tif,YFT,4711,1604,1,1,1,2,0,0,0,ORIGINAL,11,0,,2011-160401
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045802.tif,DOLPHIN,1050,1604,2,0,0,2,0,0,0,ORIGINAL,12,0,,2011-160403
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045802.tif,SKIPJACK TUNA,4661,1604,1,1,0,0,0,0,0,ORIGINAL,13,0,,2011-160403
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045804.tif,DOLPHIN,1050,1604,3,7,7,0,0,0,0,ORIGINAL,14,0,,2011-160404
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045804.tif,SHORTFIN MAKO,3551,1604,4,0,0,5,0,0,0,ORIGINAL,15,0,,2011-160404
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045804.tif,SWORDFISH,4328,1604,1,1,1,0,0,0,0,ORIGINAL,16,0,,2011-160404
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045804.tif,BLACKFIN TUNA,4641,1604,2,4,4,0,0,0,0,ORIGINAL,17,0,,2011-160404
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045806.tif,GOLDEN TILEFI,4467,1604,2,10,0,0,0,0,0,ORIGINAL,18,1,RARE OR ILLEGAL SPECIES KEPT;,2011-160405
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045806.tif,BLACKFIN TUNA,4641,1604,1,2,0,0,0,0,0,ORIGINAL,19,0,,2011-160405
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045808.tif,DOLPHIN,1050,1604,1,3,0,0,0,0,0,ORIGINAL,20,0,,2011-160406
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045810.tif,DOLPHIN,1050,1604,1,1,0,0,0,0,0,ORIGINAL,21,0,,2011-160407
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,1,deoc1106.tif,00045812.tif,SHORTFIN MAKO,3551,1604,2,0,0,1,0,0,0,ORIGINAL,22,0,,2011-160408
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,1,deoc1106.tif,00045812.tif,YFT,4711,1604,1,1,1,0,0,0,0,ORIGINAL,23,0,,2011-160408
16,6447,2,1,2011,10,09,0051599,0,0,10,0,1106,2,deoc1106.tif,00045814.tif,YFT,4711,1604,1,0,0,1,0,0,0,ORIGINAL,24,0,,2011-160409
16,6447,2,1,2011,10,09,0051599,0,0,10,1,1106,2,deoc1106.tif,00045816.tif,DOLPHIN,1050,1604,1,2,0,0,0,0,0,ORIGINAL,25,0,,2011-160410
16,6478,2,1,2011,10,08,0051599,0,1,10,0,1105,2,deoc1105.tif,00045650.tif,DOLPHIN,1050,1603,2,2,0,0,0,0,0,ORIGINAL,26,0,,2011-160301
16,6478,2,1,2011,10,08,0051599,0,1,10,0,1105,2,deoc1105.tif,00045650.tif,BLACKFIN TUNA,4641,1603,1,2,0,0,0,0,0,ORIGINAL,27,0,,2011-160301
16,6478,2,1,2011,10,08,0051599,0,0,10,0,1105,2,deoc1105.tif,00045652.tif,DOLPHIN,1050,1603,1,4,0,0,0,0,0,ORIGINAL,28,0,,2011-160302
15,7326,2,1,2011,10,10,0051599,0,0,10,0,1107,2,deoc1107.tif,00045404.tif,YFT,4711,1576,1,1,1,0,0,0,0,ORIGINAL,29,0,,2011-157601
15,6447,3,1,2011,10,04,0470853,0,0,24,0,2102,2,mdoc2102.tif,00045058.tif,BLUEFISH,230,1503,4,3,3,0,0,0,0,ORIGINAL,30,0,,2011-150301
15,6447,3,1,2011,10,04,0470853,0,0,24,0,2102,2,mdoc2102.tif,00045058.tif,ATLANTIC CROA,900,1503,5,1,1,0,0,0,0,ORIGINAL,31,1,RARE OR ILLEGAL SPECIES KEPT;,2011-150301
15,6447,3,1,2011,10,04,0470853,0,0,24,0,2102,2,mdoc2102.tif,00045058.tif,SMOOTH DOGFIS,3511,1503,3,1,1,0,0,0,0,ORIGINAL,32,1,RARE OR ILLEGAL SPECIES KEPT;,2011-150301
15,6447,3,1,2011,10,04,0470853,0,0,24,0,2102,2,mdoc2102.tif,00045058.tif,COMMON THRESH,3531,1503,2,0,0,1,0,0,0,ORIGINAL,33,1,ALIVE;,2011-150301
15,6447,3,1,2011,10,04,0470853,0,0,24,0,2102,2,mdoc2102.tif,00045058.tif,SANDBAR SHARK,4821,1503,1,0,0,8,0,0,0,ORIGINAL,34,0,,2011-150301
15,6447,3,1,2011,10,08,0470853,0,0,24,0,1107,2,mdoc1107.tif,00045202.tif,BLACK SEA BAS,3350,1546,1,12,0,25,0,0,0,ORIGINAL,35,0,,2011-154601
15,6447,3,1,2011,10,08,0470853,0,0,24,0,1107,2,mdoc1107.tif,00045205.tif,BLUEFISH,230,1546,2,0,0,1,0,0,0,ORIGINAL,36,0,,2011-154603
15,6447,3,1,2011,10,08,0470853,0,0,24,0,1107,2,mdoc1107.tif,00045205.tif,LITTLE TUNNY,4681,1546,3,0,0,7,0,0,0,ORIGINAL,37,0,,2011-154603
15,6447,3,1,2011,10,08,0470853,0,0,24,0,1107,2,mdoc1107.tif,00045205.tif,YFT,4711,1546,1,4,0,0,0,0,0,ORIGINAL,38,0,,2011-154603
15,6447,3,1,2011,10,08,0470853,0,0,24,0,1107,1,mdoc1107.tif,00045209.tif,DOLPHIN,1050,1546,1,7,7,0,0,0,0,ORIGINAL,39,0,,2011-154606
15,6447,3,1,2011,10,08,0470853,0,1,24,0,1107,1,mdoc1107.tif,00045211.tif,DOLPHIN,1050,1546,2,7,7,0,0,0,0,ORIGINAL,40,0,,2011-154607
15,6447,3,1,2011,10,08,0470853,0,1,24,0,1107,1,mdoc1107.tif,00045211.tif,YFT,4711,1546,1,1,1,0,0,0,0,ORIGINAL,41,0,,2011-154607
14,6555,7,1,2011,10,01,0479008,0,0,24,0,1106,2,mdoc1106.tif,00045042.tif,YFT,4711,1498,1,1,0,0,0,0,0,ORIGINAL,42,0,,2011-149801
14,6555,7,3,2011,10,01,0470938,0,0,24,0,1106,1,mdoc1106.tif,00045044.tif,DOLPHIN,1050,1498,1,3,3,0,0,0,0,ORIGINAL,43,0,,2011-149802
