intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,observe,othlp,species,batch,row,kept,alive,dead,sell,weighed,c_index,cerrflag,cprobfld,id
6447,2,1,2012,06,03,003701,0051599,0,0,10,01,1203,1,dejn1203.tif,00046671.tif,ORIGINAL,11,YFT,4711,0037,1,11,0,0,0,0,1,0,,2012-003701
6447,2,1,2012,06,03,003702,0051599,0,0,10,02,1203,2,dejn1203.tif,00046673.tif,ORIGINAL,0,BLUEFISH,230,0037,3,1,0,0,0,0,2,0,,2012-003702
6447,2,1,2012,06,03,003702,0051599,0,0,10,02,1203,2,dejn1203.tif,00046673.tif,ORIGINAL,0,SHORTFIN MAKO SHARK,3551,0037,1,0,5,0,0,0,3,0,,2012-003702
6447,2,1,2012,06,03,003702,0051599,0,0,10,02,1203,2,dejn1203.tif,00046673.tif,ORIGINAL,0,BLUE SHARK,4931,0037,2,0,1,0,0,0,4,0,,2012-003702
6447,2,1,2012,06,03,003703,0051599,0,0,10,03,1203,2,dejn1203.tif,00046675.tif,ORIGINAL,0,YFT,4711,0037,1,3,0,0,0,0,5,0,,2012-003703
6447,2,1,2012,06,03,003704,0051599,0,0,10,04,1203,1,dejn1203.tif,00046677.tif,ORIGINAL,1,DOLPHIN,1050,0037,2,1,0,0,0,0,6,0,,2012-003704
6447,2,1,2012,06,03,003704,0051599,0,0,10,04,1203,1,dejn1203.tif,00046677.tif,ORIGINAL,4,YFT,4711,0037,1,4,0,0,0,0,7,0,,2012-003704
6447,2,1,2012,06,03,003705,0051599,0,0,10,05,1203,1,dejn1203.tif,00046679.tif,ORIGINAL,3,DOLPHIN,1050,0037,2,3,0,0,0,0,8,0,,2012-003705
6447,2,1,2012,06,03,003705,0051599,0,0,10,05,1203,1,dejn1203.tif,00046679.tif,ORIGINAL,0,WHITE MARLIN,2161,0037,3,0,1,0,0,0,9,0,,2012-003705
6447,2,1,2012,06,03,003705,0051599,0,0,10,05,1203,1,dejn1203.tif,00046679.tif,ORIGINAL,12,YFT,4711,0037,1,12,0,0,0,0,10,0,,2012-003705
6447,2,1,2012,06,08,006601,0051599,0,0,10,01,2104,2,dejn2104.tif,00046816.tif,ORIGINAL,0,YFT,4711,0066,1,18,1,0,0,0,11,0,,2012-006601
