tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,batch,othlp,species,row,kept,observe,alive,dead,sell,weighed,c_index,cerrflag,cprobfld,id
03,6775,4,1,2012,07,03,0110652,0,0,09,0,2102,2,ctjl2102.tif,00048836.tif,ORIGINAL,0362,BLUEFISH,230,2,5,0,0,0,0,0,1,0,,2012-036201
03,6775,4,1,2012,07,03,0110652,0,0,09,0,2102,2,ctjl2102.tif,00048836.tif,ORIGINAL,0362,BLUE SHARK,4931,1,0,0,2,0,0,0,2,0,,2012-036201
05,6775,3,1,2012,07,14,0119003,0,0,09,0,1210,2,ctjl1210.tif,00049970.tif,ORIGINAL,0552,DOLPHIN,1050,2,2,0,0,0,0,0,3,0,,2012-055201
05,6775,3,1,2012,07,14,0119003,0,0,09,0,1210,2,ctjl1210.tif,00049970.tif,ORIGINAL,0552,YFT,4711,1,4,0,0,0,0,0,4,0,,2012-055201
05,6775,3,1,2012,07,14,0110630,0,0,09,0,1210,1,ctjl1210.tif,00049972.tif,ORIGINAL,0552,SHORTFIN MAKO SHARK,3551,2,0,0,1,0,0,0,5,0,,2012-055202
05,6775,3,1,2012,07,14,0110630,0,0,09,0,1210,1,ctjl1210.tif,00049972.tif,ORIGINAL,0552,YFT,4711,1,3,3,1,0,0,0,6,0,,2012-055202
05,6775,3,1,2012,07,14,0110630,0,0,09,0,1210,2,ctjl1210.tif,00049974.tif,ORIGINAL,0552,BLUEFISH,230,3,5,0,0,0,0,0,7,0,,2012-055203
05,6775,3,1,2012,07,14,0110630,0,0,09,0,1210,2,ctjl1210.tif,00049974.tif,ORIGINAL,0552,SHORTFIN MAKO SHARK,3551,1,1,1,0,0,0,0,8,0,,2012-055203
05,6775,3,1,2012,07,14,0110630,0,0,09,0,1210,2,ctjl1210.tif,00049974.tif,ORIGINAL,0552,BLUE SHARK,4931,2,0,0,2,0,0,0,9,0,,2012-055203
07,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,DOLPHIN,1050,1,7,7,0,0,0,0,10,0,,2012-077301
07,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,SHORTFIN MAKO SHARK,3551,2,0,0,1,0,0,0,11,0,,2012-077301
07,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,BLUE SHARK,4931,3,0,0,1,0,0,0,12,0,,2012-077301
07,6775,3,1,2012,07,29,0110630,0,0,09,0,1216,2,ctjl1216.tif,00051459.tif,ORIGINAL,0799,BLUEFISH,230,2,4,0,0,0,0,0,13,0,,2012-079901
07,6775,3,1,2012,07,29,0110630,0,0,09,0,1216,2,ctjl1216.tif,00051459.tif,ORIGINAL,0799,BLUE SHARK,4931,1,0,0,3,0,0,0,14,0,,2012-079901
07,6775,3,1,2012,07,29,0119003,0,0,09,0,1216,2,ctjl1216.tif,00051461.tif,ORIGINAL,0799,ALBACORE,4701,1,5,0,0,0,0,0,15,0,,2012-079902
07,6775,3,1,2012,07,29,0119003,0,0,09,0,1216,2,ctjl1216.tif,00051461.tif,ORIGINAL,0799,YFT,4711,2,1,0,0,0,0,0,16,0,,2012-079902
08,6775,3,1,2012,07,30,0110630,0,0,09,0,2123,2,ctjl2123.tif,00051607.tif,ORIGINAL,0824,BLUEFISH,230,2,12,0,0,0,0,0,17,0,,2012-082401
08,6775,3,1,2012,07,30,0110630,0,0,09,0,2123,2,ctjl2123.tif,00051607.tif,ORIGINAL,0824,BLUE SHARK,4931,1,0,0,2,0,0,0,18,0,,2012-082401
08,6775,3,1,2012,07,30,0110630,0,0,09,0,2123,2,ctjl2123.tif,00051609.tif,ORIGINAL,0824,BLUEFISH,230,3,5,0,0,0,0,0,19,0,,2012-082402
08,6775,3,1,2012,07,30,0110630,0,0,09,0,2123,2,ctjl2123.tif,00051609.tif,ORIGINAL,0824,SHORTFIN MAKO SHARK,3551,1,0,0,1,0,0,0,20,0,,2012-082402
08,6775,3,1,2012,07,30,0110630,0,0,09,0,2123,2,ctjl2123.tif,00051609.tif,ORIGINAL,0824,BLUE SHARK,4931,2,0,0,4,0,0,0,21,0,,2012-082402
03,7374,5,1,2012,07,08,0110687,0,0,09,0,1109,2,ctjl1109.tif,00048817.tif,ORIGINAL,0357,BLUE SHARK,4931,1,0,0,2,0,0,0,22,0,,2012-035701
03,7430,8,1,2012,07,08,0079237,0,0,09,0,1202,2,ctjl1202.tif,00048821.tif,ORIGINAL,0358,BLUE SHARK,4931,1,0,0,4,0,0,0,23,0,,2012-035801
03,7430,8,1,2012,07,09,0070418,0,0,09,0,2216,2,ctjl2216.tif,00048848.tif,ORIGINAL,0366,BFT SCHOOL,4677,1,1,1,0,0,0,0,24,0,,2012-036601
05,7430,2,1,2012,07,14,0070821,0,0,09,0,1110,2,ctjl1110.tif,00049978.tif,ORIGINAL,0548,DOLPHIN,1050,2,2,2,0,0,0,0,25,0,,2012-054801
05,7430,2,1,2012,07,14,0070821,0,0,09,0,1110,2,ctjl1110.tif,00049978.tif,ORIGINAL,0548,YFT,4711,1,1,1,0,0,0,0,26,0,,2012-054801
08,7430,5,1,2012,07,30,0110687,1,0,09,0,2232,1,ctjl2232.tif,00051649.tif,ORIGINAL,0825,SHORTFIN MAKO SHARK,3551,1,1,1,0,0,0,0,27,0,,2012-082501
08,7430,5,1,2012,07,30,0110687,0,0,09,0,2232,1,ctjl2232.tif,00051649.tif,ORIGINAL,0825,BLUE SHARK,4931,2,0,0,1,0,0,0,28,0,,2012-082501
03,7431,3,1,2012,07,07,0119003,0,0,09,0,1208,2,ctjl1208.tif,00048826.tif,ORIGINAL,0359,SHORTFIN MAKO SHARK,3551,1,0,0,2,0,0,0,29,0,,2012-035901
03,7431,3,1,2012,07,07,0119003,0,0,09,0,1208,2,ctjl1208.tif,00048826.tif,ORIGINAL,0359,BLUE SHARK,4931,2,0,0,2,0,0,0,30,0,,2012-035901
06,7431,2,1,2012,07,22,0070884,0,0,09,0,1214,2,ctjl1214.tif,00050895.tif,ORIGINAL,0685,BLUE SHARK,4931,1,0,0,3,0,0,0,31,0,,2012-068501
08,7431,1,1,2012,07,31,0070406,0,0,09,0,2108,1,ctjl2108.tif,00051797.tif,ORIGINAL,0843,SHORTFIN MAKO SHARK,3551,1,1,1,0,0,0,0,32,0,,2012-084301
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048880.tif,ORIGINAL,0372,BFT LARGE SCHOOL,4678,1,1,1,1,0,0,0,33,0,,2012-037201
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048882.tif,ORIGINAL,0372,BFT SCHOOL,4677,1,1,0,4,0,0,0,34,0,,2012-037202
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048884.tif,ORIGINAL,0372,YFT,4711,1,2,0,0,0,0,0,35,0,,2012-037203
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048886.tif,ORIGINAL,0372,BFT LARGE SCHOOL,4678,1,1,0,0,0,0,0,36,0,,2012-037204
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048886.tif,ORIGINAL,0372,YFT,4711,2,2,0,0,0,0,0,37,0,,2012-037204
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048888.tif,ORIGINAL,0372,DOLPHIN,1050,3,1,0,0,0,0,0,38,0,,2012-037205
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048888.tif,ORIGINAL,0372,YFT,4711,1,2,2,1,0,0,0,39,0,,2012-037205
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048888.tif,ORIGINAL,0372,WAHOO,4720,2,1,1,0,0,0,0,40,0,,2012-037205
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048890.tif,ORIGINAL,0372,DOLPHIN,1050,2,1,0,0,0,0,0,41,0,,2012-037206
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048890.tif,ORIGINAL,0372,YFT,4711,1,1,0,0,0,0,0,42,0,,2012-037206
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048892.tif,ORIGINAL,0372,DOLPHIN,1050,2,1,0,0,0,0,0,43,0,,2012-037207
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048892.tif,ORIGINAL,0372,WHITE MARLIN,2161,3,0,0,1,0,0,0,44,0,,2012-037207
03,6447,2,1,2012,07,05,0051599,0,0,10,0,2104,2,dejl2104.tif,00048892.tif,ORIGINAL,0372,YFT,4711,1,1,0,0,0,0,0,45,0,,2012-037207
03,6447,1,1,2012,07,02,0050013,0,0,10,0,2201,1,dejl2201.tif,00048897.tif,ORIGINAL,0373,BFT SCHOOL,4677,3,0,0,1,0,0,0,46,0,,2012-037301
03,6447,1,1,2012,07,02,0050013,0,0,10,0,2201,1,dejl2201.tif,00048897.tif,ORIGINAL,0373,BFT LARGE SCHOOL,4678,1,1,1,1,0,0,0,47,0,,2012-037301
03,6447,1,1,2012,07,02,0050013,0,0,10,0,2201,1,dejl2201.tif,00048897.tif,ORIGINAL,0373,YFT,4711,2,3,3,0,0,0,0,48,0,,2012-037301
03,6447,2,1,2012,07,06,0051599,0,0,10,0,2202,2,dejl2202.tif,00048901.tif,ORIGINAL,0374,DOLPHIN,1050,1,1,0,0,0,0,0,49,0,,2012-037401
03,6447,2,1,2012,07,06,0051599,1,0,10,0,2202,2,dejl2202.tif,00048903.tif,ORIGINAL,0374,DOLPHIN,1050,2,1,0,0,0,0,0,50,0,,2012-037402
03,6447,2,1,2012,07,06,0051599,0,0,10,0,2202,2,dejl2202.tif,00048903.tif,ORIGINAL,0374,WHITE MARLIN,2161,1,0,0,1,0,0,0,51,0,,2012-037402
03,6447,2,1,2012,07,06,0051599,0,0,10,0,2202,2,dejl2202.tif,00048906.tif,ORIGINAL,0374,BFT LARGE SCHOOL,4678,1,1,0,0,0,0,0,52,0,,2012-037404
03,6447,2,1,2012,07,06,0051599,0,0,10,0,2202,2,dejl2202.tif,00048906.tif,ORIGINAL,0374,YFT,4711,2,1,0,0,0,0,0,53,0,,2012-037404
03,6447,2,1,2012,07,06,0051599,0,0,10,0,2202,2,dejl2202.tif,00048908.tif,ORIGINAL,0374,BLUEFISH,230,1,33,0,0,0,0,0,54,0,,2012-037405
03,6447,2,1,2012,07,06,0051599,0,0,10,0,2202,2,dejl2202.tif,00048911.tif,ORIGINAL,0374,BFT LARGE SCHOOL,4678,1,1,0,0,0,0,0,55,0,,2012-037407
03,6447,2,1,2012,07,06,0051599,0,1,10,0,2202,2,dejl2202.tif,00048913.tif,ORIGINAL,0374,DOLPHIN,1050,2,3,0,0,0,0,0,56,0,,2012-037408
03,6447,2,1,2012,07,06,0051599,0,1,10,0,2202,2,dejl2202.tif,00048913.tif,ORIGINAL,0374,BFT SCHOOL,4677,1,1,0,0,0,0,0,57,0,,2012-037408
03,6447,2,1,2012,07,06,0051599,1,0,10,0,2202,2,dejl2202.tif,00048915.tif,ORIGINAL,0374,BFT LARGE SCHOOL,4678,1,1,0,0,0,0,0,58,0,,2012-037409
03,6447,2,1,2012,07,06,0051599,0,0,10,1,2202,2,dejl2202.tif,00048917.tif,ORIGINAL,0374,DOLPHIN,1050,2,1,0,0,0,0,0,59,0,,2012-037410
03,6447,2,1,2012,07,06,0051599,0,0,10,1,2202,2,dejl2202.tif,00048917.tif,ORIGINAL,0374,WHITE MARLIN,2161,3,0,0,2,0,0,0,60,0,,2012-037410
03,6447,2,1,2012,07,06,0051599,0,0,10,1,2202,2,dejl2202.tif,00048917.tif,ORIGINAL,0374,YFT,4711,1,2,0,0,0,0,0,61,0,,2012-037410
03,6447,2,1,2012,07,06,0051599,1,0,10,1,2202,2,dejl2202.tif,00048919.tif,ORIGINAL,0374,YFT,4711,1,1,0,0,0,0,0,62,0,,2012-037411
03,6447,2,1,2012,07,06,0051599,0,0,10,1,2202,2,dejl2202.tif,00048921.tif,ORIGINAL,0374,YFT,4711,1,1,0,0,0,0,0,63,0,,2012-037412
03,6447,2,1,2012,07,06,0051599,0,0,10,1,2202,2,dejl2202.tif,00048924.tif,ORIGINAL,0374,YFT,4711,1,1,0,0,0,0,0,64,0,,2012-037414
03,6447,2,1,2012,07,06,0051599,0,0,10,1,2202,2,dejl2202.tif,00048926.tif,ORIGINAL,0374,WHITE MARLIN,2161,1,0,0,1,0,0,0,65,0,,2012-037415
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048934.tif,ORIGINAL,0375,BFT SCHOOL,4677,1,1,0,0,0,0,0,66,0,,2012-037501
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048936.tif,ORIGINAL,0375,DOLPHIN,1050,4,1,0,0,0,0,0,67,0,,2012-037502
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048936.tif,ORIGINAL,0375,BFT SCHOOL,4677,2,1,0,0,0,0,0,68,0,,2012-037502
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048936.tif,ORIGINAL,0375,BFT LARGE SCHOOL,4678,1,1,0,0,0,0,0,69,0,,2012-037502
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048936.tif,ORIGINAL,0375,YFT,4711,3,1,0,0,0,0,0,70,0,,2012-037502
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048938.tif,ORIGINAL,0375,YFT,4711,1,6,0,0,0,0,0,71,0,,2012-037503
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048941.tif,ORIGINAL,0375,DOLPHIN,1050,2,1,0,0,0,0,0,72,0,,2012-037505
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048941.tif,ORIGINAL,0375,RED PORGY,3300,3,20,20,12,0,0,0,73,1,CAUGHT OUT OF AREA;RARE OR ILLEGAL SPECIES KEPT;AL,2012-037505
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048941.tif,ORIGINAL,0375,YFT,4711,1,2,0,1,0,0,0,74,0,,2012-037505
03,6447,2,1,2012,07,03,0051599,0,1,10,0,2203,2,dejl2203.tif,00048943.tif,ORIGINAL,0375,BFT LARGE SCHOOL,4678,2,0,0,1,0,0,0,75,0,,2012-037506
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048943.tif,ORIGINAL,0375,YFT,4711,1,3,0,0,0,0,0,76,0,,2012-037506
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048945.tif,ORIGINAL,0375,YFT,4711,1,1,0,0,0,0,0,77,0,,2012-037507
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048947.tif,ORIGINAL,0375,DOLPHIN,1050,4,60,60,0,0,0,0,78,1,KEPT;,2012-037508
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048947.tif,ORIGINAL,0375,WHITE MARLIN,2161,3,0,0,1,0,0,0,79,0,,2012-037508
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048947.tif,ORIGINAL,0375,BFT LARGE SCHOOL,4678,1,1,0,0,0,0,0,80,0,,2012-037508
03,6447,2,1,2012,07,03,0051599,0,0,10,0,2203,2,dejl2203.tif,00048947.tif,ORIGINAL,0375,YFT,4711,2,2,0,0,0,0,0,81,0,,2012-037508
06,6447,2,1,2012,07,22,0051599,0,0,10,0,1203,2,dejl1203.tif,00050904.tif,ORIGINAL,0688,YFT,4711,1,1,0,0,0,0,0,82,0,,2012-068802
06,6447,2,1,2012,07,22,0051599,0,0,10,0,1203,2,dejl1203.tif,00050908.tif,ORIGINAL,0688,YFT,4711,1,7,0,0,0,0,0,83,0,,2012-068805
06,6447,2,1,2012,07,22,0051599,0,0,10,0,1203,2,dejl1203.tif,00050913.tif,ORIGINAL,0688,SKIPJACK TUNA,4661,1,2,0,0,0,0,0,84,0,,2012-068809
06,6447,2,1,2012,07,22,0051599,0,0,10,1,1203,2,dejl1203.tif,00050916.tif,ORIGINAL,0688,HAMMERHEAD SHARK,4950,1,0,0,1,0,0,0,85,0,,2012-068811
06,6447,2,1,2012,07,22,0051599,0,0,10,1,1203,2,dejl1203.tif,00050919.tif,ORIGINAL,0688,YFT,4711,1,1,0,0,0,0,0,86,0,,2012-068813
06,6447,2,1,2012,07,22,0051599,0,0,10,1,1203,2,dejl1203.tif,00050921.tif,ORIGINAL,0688,WHITE MARLIN,2161,1,0,0,2,0,0,0,87,0,,2012-068814
06,6447,2,1,2012,07,19,0051599,0,0,10,0,2208,2,dejl2208.tif,00050925.tif,ORIGINAL,0690,YFT,4711,1,12,0,0,0,0,0,88,0,,2012-069001
07,6447,2,1,2012,07,25,0051599,0,0,10,0,2210,2,dejl2210.tif,00051326.tif,ORIGINAL,0775,YFT,4711,1,6,0,0,0,0,0,89,0,,2012-077501
07,6447,1,1,2012,07,23,0050013,0,0,10,0,2213,2,dejl2213.tif,00051330.tif,ORIGINAL,0776,SKIPJACK TUNA,4661,2,1,0,0,0,0,0,90,0,,2012-077601
07,6447,1,1,2012,07,23,0050013,0,0,10,0,2213,2,dejl2213.tif,00051330.tif,ORIGINAL,0776,YFT,4711,1,1,0,0,0,0,0,91,0,,2012-077601
07,6447,1,1,2012,07,23,0050013,0,0,10,0,2213,2,dejl2213.tif,00051330.tif,ORIGINAL,0776,TIGER SHARK,4911,3,0,0,1,0,0,0,92,1,CAUGHT OUT OF AREA;,2012-077601
