tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,c_index,cerrflag,cprobfld,id
14,6775,3,3,2012,09,15,0119107,0,0,09,01,1201,2,ctse1201.tif,00056038.tif,ORIGINAL,BLUEFISH,230,1479,2,0,0,6,0,0,0,1,0,,2012-147901
14,6775,3,3,2012,09,15,0119107,0,0,09,01,1201,2,ctse1201.tif,00056038.tif,ORIGINAL,LITTLE TUNNY,4681,1479,1,0,0,12,0,0,0,2,0,,2012-147901
14,6775,3,1,2012,09,15,0110630,0,0,09,02,1201,2,ctse1201.tif,00056040.tif,ORIGINAL,BLUEFISH,230,1479,2,0,0,1,0,0,0,3,0,,2012-147902
14,6775,3,1,2012,09,15,0110630,0,0,09,02,1201,2,ctse1201.tif,00056040.tif,ORIGINAL,LITTLE TUNNY,4681,1479,1,0,0,1,0,0,0,4,0,,2012-147902
15,7430,2,1,2012,09,22,0070884,0,1,09,01,1114,1,ctse1114.tif,00056717.tif,ORIGINAL,ATLANTIC BONITO,330,1577,2,0,0,5,0,0,0,5,0,,2012-157701
15,7430,2,1,2012,09,22,0070884,0,1,09,01,1114,1,ctse1114.tif,00056717.tif,ORIGINAL,ALBACORE TUNA,4701,1577,1,3,1,0,0,0,0,6,0,,2012-157701
16,7430,3,1,2012,09,29,0113234,0,0,09,01,1110,2,ctse1110.tif,00057289.tif,ORIGINAL,SPINY DOGFISH,3521,1684,2,0,0,1,0,0,0,7,0,,2012-168401
16,7430,3,1,2012,09,29,0113234,0,0,09,01,1110,2,ctse1110.tif,00057289.tif,ORIGINAL,LITTLE TUNNY,4681,1684,1,0,0,12,0,0,0,8,0,,2012-168401
16,7430,3,1,2012,09,30,0110833,0,0,09,03,1120,2,ctse1120.tif,00057319.tif,ORIGINAL,LITTLE TUNNY,4681,1685,1,0,0,2,0,0,0,9,0,,2012-168503
14,7442,5,1,2012,09,15,0110687,0,0,09,01,1210,2,ctse1210.tif,00056119.tif,ORIGINAL,YFT,4711,1481,1,10,0,0,0,10,0,10,1,SELL;,2012-148101
14,7442,5,1,2012,09,15,0110687,0,0,09,01,1210,2,ctse1210.tif,00056119.tif,ORIGINAL,WAHOO,4720,1481,2,1,0,0,0,1,0,11,1,SELL;,2012-148101
13,6447,2,1,2012,09,01,0051599,0,0,10,01,1103,2,dese1103.tif,00055456.tif,ORIGINAL,WHITE MARLIN,2161,1374,1,0,0,1,0,0,0,12,0,,2012-137401
13,6447,2,1,2012,09,01,0051599,0,0,10,02,1103,2,dese1103.tif,00055458.tif,ORIGINAL,WHITE MARLIN,2161,1374,1,0,0,1,0,0,0,13,0,,2012-137402
13,6447,2,1,2012,09,01,0051599,0,0,10,03,1103,2,dese1103.tif,00055460.tif,ORIGINAL,DOLPHIN,1050,1374,1,2,0,0,0,0,0,14,0,,2012-137403
13,6447,2,1,2012,09,01,0051599,0,0,10,03,1103,2,dese1103.tif,00055460.tif,ORIGINAL,WHITE MARLIN,2161,1374,2,0,0,1,0,0,0,15,0,,2012-137403
13,6447,2,1,2012,09,01,0051599,0,0,10,04,1103,2,dese1103.tif,00055462.tif,ORIGINAL,DOLPHIN,1050,1374,2,2,0,0,0,0,0,16,0,,2012-137404
13,6447,2,1,2012,09,01,0051599,0,0,10,04,1103,2,dese1103.tif,00055462.tif,ORIGINAL,WHITE MARLIN,2161,1374,1,0,0,4,0,0,0,17,0,,2012-137404
13,6447,2,1,2012,09,01,0051599,0,0,10,05,1103,2,dese1103.tif,00055464.tif,ORIGINAL,WHITE MARLIN,2161,1374,1,0,0,5,0,0,0,18,0,,2012-137405
13,6447,2,1,2012,09,02,0051599,0,0,10,01,1203,2,dese1203.tif,00055468.tif,ORIGINAL,LITTLE TUNNY,4681,1375,1,23,0,0,0,0,0,19,0,,2012-137501
13,6447,2,1,2012,09,02,0051599,0,0,10,02,1203,2,dese1203.tif,00055470.tif,ORIGINAL,ATLANTIC BONITO,330,1375,2,1,0,0,0,0,0,20,0,,2012-137502
13,6447,2,1,2012,09,02,0051599,0,0,10,02,1203,2,dese1203.tif,00055470.tif,ORIGINAL,BLACK SEA BASS,3350,1375,1,3,0,0,0,0,0,21,0,,2012-137502
13,6447,2,1,2012,09,02,0051599,0,0,10,03,1203,2,dese1203.tif,00055472.tif,ORIGINAL,BLUE MARLIN,2171,1375,1,0,0,1,0,0,0,22,0,,2012-137503
13,6447,2,1,2012,09,02,0051599,0,1,10,04,1203,2,dese1203.tif,00055474.tif,ORIGINAL,WHITE MARLIN,2161,1375,1,0,0,1,0,0,0,23,0,,2012-137504
13,6447,2,1,2012,09,02,0051599,0,0,10,05,1203,2,dese1203.tif,00055476.tif,ORIGINAL,DOLPHIN,1050,1375,2,1,0,0,0,0,0,24,0,,2012-137505
13,6447,2,1,2012,09,02,0051599,0,0,10,05,1203,2,dese1203.tif,00055476.tif,ORIGINAL,LITTLE TUNNY,4681,1375,1,4,0,0,0,0,0,25,0,,2012-137505
13,6447,2,1,2012,09,02,0051599,0,0,10,08,1203,2,dese1203.tif,00055480.tif,ORIGINAL,SKIPJACK TUNA,4661,1375,1,0,0,2,0,0,0,26,0,,2012-137508
13,6447,2,1,2012,09,02,0051599,0,0,10,09,1203,2,dese1203.tif,00055482.tif,ORIGINAL,WHITE MARLIN,2161,1375,1,0,0,4,0,0,0,27,0,,2012-137509
13,6447,2,1,2012,09,02,0051599,0,0,10,10,1203,2,dese1203.tif,00055484.tif,ORIGINAL,WHITE MARLIN,2161,1375,1,0,0,4,0,0,0,28,0,,2012-137510
13,6447,2,1,2012,09,02,0051599,0,0,10,10,1203,2,dese1203.tif,00055484.tif,ORIGINAL,SKIPJACK TUNA,4661,1375,2,2,0,0,0,0,0,29,0,,2012-137510
13,6447,2,1,2012,09,02,0051599,0,0,10,11,1203,2,dese1203.tif,00055486.tif,ORIGINAL,SKIPJACK TUNA,4661,1375,1,0,0,1,0,0,0,30,0,,2012-137511
14,6447,2,1,2012,09,07,0051599,0,0,10,01,2104,2,dese2104.tif,00055695.tif,ORIGINAL,WHITE MARLIN,2161,1420,1,0,0,2,0,0,0,31,0,,2012-142001
14,6447,2,1,2012,09,07,0051599,0,0,10,01,2104,2,dese2104.tif,00055695.tif,ORIGINAL,LITTLE TUNNY,4681,1420,2,0,0,1,0,0,0,32,0,,2012-142001
14,6447,2,1,2012,09,07,0051599,0,0,10,02,2104,2,dese2104.tif,00055697.tif,ORIGINAL,WHITE MARLIN,2161,1420,1,0,0,4,0,0,0,33,0,,2012-142002
14,6447,2,1,2012,09,07,0051599,0,0,10,02,2104,2,dese2104.tif,00055697.tif,ORIGINAL,SKIPJACK TUNA,4661,1420,2,1,0,0,0,0,0,34,0,,2012-142002
14,6447,2,1,2012,09,13,0051599,0,0,10,01,2204,2,dese2204.tif,00056051.tif,ORIGINAL,DOLPHIN,1050,1485,1,7,7,0,0,0,0,35,0,,2012-148501
