tracker,id,year,month,stcode,control,docno,species,othlp,kept,observe,alive,dead,sell,weighed
165501,2013-165501,2013,10,34,2110,01,1050,DOLPHIN,4,0,9,0,0,0
165601,2013-165601,2013,10,34,2201,01,1050,DOLPHIN,5,5,0,0,0,0
165601,2013-165601,2013,10,34,2201,01,2161,WHITE MARLIN,0,0,1,0,0,0
165601,2013-165601,2013,10,34,2201,01,3551,SHORTFIN MAKO SHARK,0,0,2,0,0,0
165601,2013-165601,2013,10,34,2201,01,4711,YFT,14,14,0,0,0,0
165601,2013-165601,2013,10,34,2201,01,4950,HAMMERHEAD SHARK,0,0,1,0,0,0
165801,2013-165801,2013,10,34,2209,01,3531,COMMON THRESHER SHAR,1,0,0,0,0,0
166201,2013-166201,2013,10,51,2104,01,1050,DOLPHIN,4,4,0,0,0,0
166201,2013-166201,2013,10,51,2104,01,4701,ALBACORE TUNA,6,6,0,0,0,0
166202,2013-166202,2013,10,51,2104,02,4701,ALBACORE TUNA,7,7,0,0,0,0
166401,2013-166401,2013,10,51,2201,01,1050,DOLPHIN,15,15,0,0,0,0
166401,2013-166401,2013,10,51,2201,01,4681,LITTLE TUNNY,1,1,0,0,0,0
166402,2013-166402,2013,10,51,2201,02,1050,DOLPHIN,42,42,0,0,0,0
166402,2013-166402,2013,10,51,2201,02,4701,ALBACORE TUNA,15,15,0,0,0,0
166501,2013-166501,2013,10,24,2102,01,1050,DOLPHIN,15,0,15,0,0,0
166501,2013-166501,2013,10,24,2102,01,4701,ALBACORE TUNA,6,0,0,0,0,0
166502,2013-166502,2013,10,24,2102,02,1050,DOLPHIN,12,12,5,0,0,0
166502,2013-166502,2013,10,24,2102,02,4701,ALBACORE TUNA,7,7,3,0,0,0
166503,2013-166503,2013,10,24,2102,03,1050,DOLPHIN,1,1,0,0,0,0
166503,2013-166503,2013,10,24,2102,03,4701,ALBACORE TUNA,6,6,0,0,0,0
166503,2013-166503,2013,10,24,2102,03,4711,YFT,1,1,0,0,0,0
166504,2013-166504,2013,10,24,2102,04,4701,ALBACORE TUNA,4,4,0,0,0,0
166504,2013-166504,2013,10,24,2102,04,4711,YFT,3,3,0,0,0,0
166505,2013-166505,2013,10,24,2102,05,1050,DOLPHIN,2,2,0,0,0,0
166505,2013-166505,2013,10,24,2102,05,4711,YFT,12,12,0,0,0,0
166506,2013-166506,2013,10,24,2102,06,4701,ALBACORE TUNA,4,4,0,0,0,0
166506,2013-166506,2013,10,24,2102,06,4711,YFT,6,6,0,0,0,0
166801,2013-166801,2013,10,24,2109,01,1050,DOLPHIN,3,0,0,0,0,0
166801,2013-166801,2013,10,24,2109,01,2161,WHITE MARLIN,0,0,2,0,0,0
166801,2013-166801,2013,10,24,2109,01,4720,WAHOO,1,0,0,0,0,0
166802,2013-166802,2013,10,24,2109,02,1050,DOLPHIN,0,0,1,0,0,0
166802,2013-166802,2013,10,24,2109,02,4661,SKIPJACK TUNA,0,0,1,0,0,0
166802,2013-166802,2013,10,24,2109,02,4691,BIGEYE TUNA,1,0,0,0,0,0
166803,2013-166803,2013,10,24,2109,03,4711,YFT,1,0,0,0,0,0
166804,2013-166804,2013,10,24,2109,04,4661,SKIPJACK TUNA,0,0,12,0,0,0
166804,2013-166804,2013,10,24,2109,04,4711,YFT,12,0,0,0,0,0
166805,2013-166805,2013,10,24,2109,05,4711,YFT,2,0,0,0,0,0
167001,2013-167001,2013,10,51,2210,01,1050,DOLPHIN,51,51,0,0,0,0
167001,2013-167001,2013,10,51,2210,01,2161,WHITE MARLIN,0,0,1,0,0,0
167001,2013-167001,2013,10,51,2210,01,4701,ALBACORE TUNA,7,7,0,0,0,0
167002,2013-167002,2013,10,51,2210,02,4701,ALBACORE TUNA,16,16,0,0,0,0
167003,2013-167003,2013,10,51,2210,03,4720,WAHOO,2,0,0,0,0,0
167004,2013-167004,2013,10,51,2210,04,1050,DOLPHIN,0,0,4,0,0,0
167004,2013-167004,2013,10,51,2210,04,4720,WAHOO,1,1,0,0,0,0
167005,2013-167005,2013,10,51,2210,05,1050,DOLPHIN,25,25,0,0,0,0
167005,2013-167005,2013,10,51,2210,05,4560,OCEAN TRIGGERFISH,13,13,0,0,0,0
167005,2013-167005,2013,10,51,2210,05,4720,WAHOO,1,1,0,0,0,0
167006,2013-167006,2013,10,51,2210,06,1050,DOLPHIN,1,0,0,0,0,0
167006,2013-167006,2013,10,51,2210,06,4701,ALBACORE TUNA,3,0,0,0,0,0
167901,2013-167901,2013,10,09,2218,01,230,BLUEFISH,1,0,9,0,0,0
167901,2013-167901,2013,10,09,2218,01,4180,STRIPED BASS,3,0,12,0,0,0
167901,2013-167901,2013,10,09,2218,01,4701,ALBACORE TUNA,1,0,0,0,0,0
168101,2013-168101,2013,10,10,1102,01,1050,DOLPHIN,2,0,0,0,0,0
168101,2013-168101,2013,10,10,1102,01,4931,BLUE SHARK,0,0,1,0,0,0
168102,2013-168102,2013,10,10,1102,02,3551,SHORTFIN MAKO SHARK,0,0,1,0,0,0
168102,2013-168102,2013,10,10,1102,02,4701,ALBACORE TUNA,3,0,0,0,0,0
168102,2013-168102,2013,10,10,1102,02,4911,TIGER SHARK,0,0,1,0,0,0
168103,2013-168103,2013,10,10,1102,03,1050,DOLPHIN,1,0,0,0,0,0
168103,2013-168103,2013,10,10,1102,03,3591,UNKNOWN SHARK,0,0,1,0,0,0
168104,2013-168104,2013,10,10,1102,04,4681,LITTLE TUNNY,3,0,0,0,0,0
168104,2013-168104,2013,10,10,1102,04,4701,ALBACORE TUNA,5,5,0,0,0,0
168105,2013-168105,2013,10,10,1102,05,3551,SHORTFIN MAKO SHARK,0,0,2,0,0,0
168105,2013-168105,2013,10,10,1102,05,4328,SWORDFISH,0,0,1,0,0,0
168105,2013-168105,2013,10,10,1102,05,4467,GOLDEN TILEFISH,1,0,0,0,0,0
168105,2013-168105,2013,10,10,1102,05,4711,YFT,3,0,0,0,0,0
168106,2013-168106,2013,10,10,1102,06,4701,ALBACORE TUNA,5,5,0,0,0,0
168107,2013-168107,2013,10,10,1102,07,4701,ALBACORE TUNA,1,1,0,0,0,0
168108,2013-168108,2013,10,10,1102,08,3551,SHORTFIN MAKO SHARK,0,0,1,0,0,0
168108,2013-168108,2013,10,10,1102,08,4711,YFT,5,5,0,0,0,0
168109,2013-168109,2013,10,10,1102,09,2161,WHITE MARLIN,0,0,1,0,0,0
168109,2013-168109,2013,10,10,1102,09,3551,SHORTFIN MAKO SHARK,1,1,0,0,0,0
168110,2013-168110,2013,10,10,1102,10,2161,WHITE MARLIN,0,0,1,0,0,0
168110,2013-168110,2013,10,10,1102,10,3551,SHORTFIN MAKO SHARK,0,0,1,0,0,0
168110,2013-168110,2013,10,10,1102,10,4701,ALBACORE TUNA,4,4,0,0,0,0
168110,2013-168110,2013,10,10,1102,10,4720,WAHOO,1,1,0,0,0,0
168111,2013-168111,2013,10,10,1102,11,4701,ALBACORE TUNA,3,0,0,0,0,0
168112,2013-168112,2013,10,10,1102,12,4661,SKIPJACK TUNA,2,0,10,0,0,0
168201,2013-168201,2013,10,10,1205,01,4467,GOLDEN TILEFISH,11,0,0,0,0,0
168301,2013-168301,2013,10,10,2101,01,1050,DOLPHIN,2,0,0,0,0,0
168302,2013-168302,2013,10,10,2101,02,4681,LITTLE TUNNY,20,0,20,0,0,0
168401,2013-168401,2013,10,10,2102,01,4661,SKIPJACK TUNA,0,0,9,0,0,0
168401,2013-168401,2013,10,10,2102,01,4711,YFT,10,0,0,0,0,0
168402,2013-168402,2013,10,10,2102,02,4681,LITTLE TUNNY,7,7,0,0,0,0
168503,2013-168503,2013,10,25,1101,03,4931,BLUE SHARK,0,0,1,0,0,0
168803,2013-168803,2013,10,25,1204,03,815,COD,8,0,15,0,0,0
168803,2013-168803,2013,10,25,1204,03,1479,HADDOCK,30,0,20,0,0,0
168803,2013-168803,2013,10,25,1204,03,3521,SPINY DOGFISH,0,0,50,0,0,0
168803,2013-168803,2013,10,25,1204,03,4931,BLUE SHARK,0,0,3,0,0,0
169301,2013-169301,2013,10,24,1107,01,4701,ALBACORE TUNA,0,0,30,0,0,0
169301,2013-169301,2013,10,24,1107,01,4720,WAHOO,1,1,0,0,0,0
169302,2013-169302,2013,10,24,1107,02,1050,DOLPHIN,16,16,0,0,0,0
169302,2013-169302,2013,10,24,1107,02,2161,WHITE MARLIN,0,0,1,0,0,0
169302,2013-169302,2013,10,24,1107,02,4701,ALBACORE TUNA,3,3,0,0,0,0
169303,2013-169303,2013,10,24,1107,03,4701,ALBACORE TUNA,5,5,0,0,0,0
169303,2013-169303,2013,10,24,1107,03,4720,WAHOO,1,1,0,0,0,0
169304,2013-169304,2013,10,24,1107,04,1050,DOLPHIN,2,2,0,0,0,0
169304,2013-169304,2013,10,24,1107,04,4701,ALBACORE TUNA,1,1,0,0,0,0
169305,2013-169305,2013,10,24,1107,05,4701,ALBACORE TUNA,12,12,0,0,0,0
169306,2013-169306,2013,10,24,1107,06,4701,ALBACORE TUNA,4,4,0,0,0,0
169307,2013-169307,2013,10,24,1107,07,2161,WHITE MARLIN,0,0,1,0,0,0
169307,2013-169307,2013,10,24,1107,07,4701,ALBACORE TUNA,2,2,0,0,0,0
169308,2013-169308,2013,10,24,1107,08,2161,WHITE MARLIN,0,0,1,0,0,0
169308,2013-169308,2013,10,24,1107,08,4701,ALBACORE TUNA,6,6,0,0,0,0
169309,2013-169309,2013,10,24,1107,09,1050,DOLPHIN,2,2,0,0,0,0
169309,2013-169309,2013,10,24,1107,09,4701,ALBACORE TUNA,8,8,0,0,0,0
169310,2013-169310,2013,10,24,1107,10,4701,ALBACORE TUNA,2,0,1,0,0,0
169311,2013-169311,2013,10,24,1107,11,1050,DOLPHIN,6,0,0,0,0,0
169401,2013-169401,2013,10,24,1202,01,1050,DOLPHIN,1,1,0,0,0,0
169401,2013-169401,2013,10,24,1202,01,4701,ALBACORE TUNA,6,6,0,0,0,0
169402,2013-169402,2013,10,24,1202,02,4701,ALBACORE TUNA,5,5,0,0,0,0
169403,2013-169403,2013,10,24,1202,03,2161,WHITE MARLIN,0,0,2,0,0,0
169403,2013-169403,2013,10,24,1202,03,4701,ALBACORE TUNA,6,6,0,0,0,0
169404,2013-169404,2013,10,24,1202,04,4701,ALBACORE TUNA,5,0,0,0,0,0
169501,2013-169501,2013,10,24,2110,01,1050,DOLPHIN,1,1,0,0,0,0
