stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
10,01,1102,1,0,,6783,2,1,2014,06,08,211701,0051599,0,0,2,DEJN1102.pdf,00070463.tif,ORIGINAL,UNKNOWN SHARK,3591,2117,1,0,0,2,0,0,0,2,2014-211701
10,02,1102,2,0,,6783,2,1,2014,06,08,211702,0051599,0,0,1,DEJN1102.pdf,00070465.tif,ORIGINAL,YFT,4711,2117,1,6,6,0,0,0,0,2,2014-211702
10,03,1102,3,0,,6783,2,1,2014,06,08,211703,0051599,0,0,1,DEJN1102.pdf,00070467.tif,ORIGINAL,YFT,4711,2117,1,2,2,1,0,0,0,2,2014-211703
10,04,1102,4,0,,6783,2,1,2014,06,08,211704,0051599,0,0,2,DEJN1102.pdf,00070469.tif,ORIGINAL,YFT,4711,2117,1,1,0,0,0,0,0,2,2014-211704
10,01,1103,5,0,,6783,2,1,2014,06,14,218901,0051599,0,0,1,DEJN1103.pdf,00070894.tif,ORIGINAL,YFT,4711,2189,1,5,5,4,0,0,0,2,2014-218901
10,01,1104,6,0,,6447,2,1,2014,06,15,220701,0051599,0,0,2,DEJN1104.pdf,00070970.tif,ORIGINAL,DOLPHIN,1050,2207,3,1,0,0,0,0,0,2,2014-220701
10,01,1104,7,0,,6447,2,1,2014,06,15,220701,0051599,0,0,2,DEJN1104.pdf,00070970.tif,ORIGINAL,SKIPJACK TUNA,4661,2207,2,0,0,1,0,0,0,2,2014-220701
10,01,1104,8,0,,6447,2,1,2014,06,15,220701,0051599,0,0,2,DEJN1104.pdf,00070970.tif,ORIGINAL,YFT,4711,2207,1,0,0,2,0,0,0,2,2014-220701
10,02,1104,9,0,,6447,2,1,2014,06,15,220702,0051599,0,0,2,DEJN1104.pdf,00070972.tif,ORIGINAL,DOLPHIN,1050,2207,2,1,0,0,0,0,0,2,2014-220702
10,02,1104,10,0,,6447,2,1,2014,06,15,220702,0051599,0,0,2,DEJN1104.pdf,00070972.tif,ORIGINAL,YFT,4711,2207,1,1,0,0,0,0,0,2,2014-220702
10,04,1104,11,0,,6447,2,1,2014,06,15,220704,0051599,0,0,2,DEJN1104.pdf,00070975.tif,ORIGINAL,DOLPHIN,1050,2207,2,1,0,0,0,0,0,2,2014-220704
10,04,1104,12,0,,6447,2,1,2014,06,15,220704,0051599,0,0,2,DEJN1104.pdf,00070975.tif,ORIGINAL,WHITE MARLIN,2161,2207,3,0,0,1,0,0,0,2,2014-220704
10,04,1104,13,0,,6447,2,1,2014,06,15,220704,0051599,0,0,2,DEJN1104.pdf,00070975.tif,ORIGINAL,SKIPJACK TUNA,4661,2207,4,1,0,0,0,0,0,2,2014-220704
10,04,1104,14,0,,6447,2,1,2014,06,15,220704,0051599,0,0,2,DEJN1104.pdf,00070975.tif,ORIGINAL,YFT,4711,2207,1,2,1,0,0,0,0,2,2014-220704
10,02,1105,15,0,,6447,2,1,2014,06,29,240402,0051599,0,0,2,DEJN1105.pdf,00072137.tif,ORIGINAL,DOLPHIN,1050,2404,1,5,0,0,0,0,0,2,2014-240402
10,03,1105,16,0,,6447,2,1,2014,06,29,240403,0051599,0,0,2,DEJN1105.pdf,00072139.tif,ORIGINAL,DOLPHIN,1050,2404,1,1,0,0,0,0,0,3,2014-240403
10,04,1105,17,0,,6447,2,1,2014,06,29,240404,0051599,0,0,2,DEJN1105.pdf,00072141.tif,ORIGINAL,DOLPHIN,1050,2404,1,1,0,0,0,0,0,2,2014-240404
10,05,1105,18,0,,6447,2,1,2014,06,29,240405,0051599,0,0,2,DEJN1105.pdf,00072143.tif,ORIGINAL,BLUEFISH,230,2404,2,6,0,6,0,0,0,2,2014-240405
10,05,1105,19,0,,6447,2,1,2014,06,29,240405,0051599,0,0,2,DEJN1105.pdf,00072143.tif,ORIGINAL,DOLPHIN,1050,2404,1,1,0,0,0,0,0,2,2014-240405
10,06,1105,20,0,,6447,2,1,2014,06,29,240406,0051599,0,0,2,DEJN1105.pdf,00072145.tif,ORIGINAL,DOLPHIN,1050,2404,2,6,0,0,0,0,0,2,2014-240406
10,06,1105,21,0,,6447,2,1,2014,06,29,240406,0051599,0,0,2,DEJN1105.pdf,00072145.tif,ORIGINAL,WHITE MARLIN,2161,2404,1,0,0,1,0,0,0,2,2014-240406
10,07,1105,22,0,,6447,2,1,2014,06,29,240407,0051599,0,0,2,DEJN1105.pdf,00072147.tif,ORIGINAL,YFT,4711,2404,1,3,0,0,0,0,0,2,2014-240407
