tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
38,10,01,1101,1,0,,7500,2,1,2014,09,27,0051599,0,0,2,DESE1101.pdf,00080434.tif,ORIGINAL,LITTLE T,4681,3899,1,1,1,0,0,0,0,2,2014-389901
35,10,01,1102,2,0,,6783,2,1,2014,09,06,0051599,0,0,2,DESE1102.pdf,00079050.tif,ORIGINAL,DOLPHIN,1050,3589,1,1,1,0,0,0,0,2,2014-358901
35,10,02,1102,3,0,,6783,2,1,2014,09,06,0051599,0,1,1,DESE1102.pdf,00079052.tif,ORIGINAL,DOLPHIN,1050,3589,1,1,1,0,0,0,0,2,2014-358902
35,10,03,1102,4,0,,6783,2,1,2014,09,06,0051599,0,0,1,DESE1102.pdf,00079054.tif,ORIGINAL,DOLPHIN,1050,3589,1,7,7,0,0,0,0,3,2014-358903
35,10,03,1102,5,0,,6783,2,1,2014,09,06,0051599,0,0,1,DESE1102.pdf,00079054.tif,ORIGINAL,BLACKFIN,4641,3589,2,1,1,0,0,0,0,3,2014-358903
35,10,04,1102,6,0,,6783,2,1,2014,09,06,0051599,0,0,2,DESE1102.pdf,00079056.tif,ORIGINAL,DOLPHIN,1050,3589,4,1,0,0,0,0,0,2,2014-358904
35,10,04,1102,7,0,,6783,2,1,2014,09,06,0051599,0,0,2,DESE1102.pdf,00079056.tif,ORIGINAL,WHITE MA,2161,3589,3,0,0,1,0,0,0,2,2014-358904
35,10,04,1102,8,0,,6783,2,1,2014,09,06,0051599,0,0,2,DESE1102.pdf,00079056.tif,ORIGINAL,SWORDFIS,4328,3589,1,1,0,0,0,0,0,2,2014-358904
35,10,04,1102,9,0,,6783,2,1,2014,09,06,0051599,0,0,2,DESE1102.pdf,00079056.tif,ORIGINAL,YFT,4711,3589,2,2,2,0,0,0,0,2,2014-358904
35,10,05,1102,10,0,,6783,2,1,2014,09,06,0051599,0,0,1,DESE1102.pdf,00079058.tif,ORIGINAL,DOLPHIN,1050,3589,2,7,7,0,0,0,0,2,2014-358905
