tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,speceis,q11a,id
40,10,01,2203,1,0,,6783,2,3,2014,10,10,0051599,0,0,1,DEOC2203.pdf,00081235.tif,ORIGINAL,DOLPHI,1050,4085,1,2,2,0,0,0,0,,2,2014-408501
40,10,02,2203,2,0,,6783,2,1,2014,10,10,0051599,0,0,1,DEOC2203.pdf,00081237.tif,ORIGINAL,DOLPHI,1050,4085,1,13,13,0,0,0,0,,2,2014-408502
40,10,03,2203,3,0,,6783,2,1,2014,10,10,0051599,0,0,1,DEOC2203.pdf,00081239.tif,ORIGINAL,DOLPHI,1050,4085,1,13,13,0,0,0,0,,2,2014-408503
40,10,04,2203,4,1,KEPT;,6783,2,1,2014,10,10,0051599,0,1,1,DEOC2203.pdf,00081241.tif,ORIGINAL,DOLPHI,1050,4085,2,60,60,0,0,0,0,,2,2014-408504
40,10,04,2203,5,0,,6783,2,1,2014,10,10,0051599,0,1,1,DEOC2203.pdf,00081241.tif,ORIGINAL,SKIPJA,4661,4085,1,1,1,0,0,0,0,,2,2014-408504
40,10,05,2203,6,0,,6783,2,1,2014,10,10,0051599,0,0,2,DEOC2203.pdf,00081243.tif,ORIGINAL,DOLPHI,1050,4085,1,7,7,0,0,0,0,,2,2014-408505
40,10,06,2203,7,0,,6783,2,1,2014,10,10,0051599,0,0,1,DEOC2203.pdf,00081245.tif,ORIGINAL,DOLPHI,1050,4085,1,6,6,0,0,0,0,,2,2014-408506
40,10,07,2203,8,0,,6783,2,1,2014,10,10,0051599,0,0,1,DEOC2203.pdf,00081247.tif,ORIGINAL,DOLPHI,1050,4085,1,8,8,0,0,0,0,,2,2014-408507
40,10,08,2203,9,0,,6783,2,1,2014,10,10,0051599,0,0,1,DEOC2203.pdf,00081249.tif,ORIGINAL,DOLPHI,1050,4085,1,8,8,0,0,0,0,,3,2014-408508
42,24,01,1204,10,0,,6447,3,1,2014,10,25,0470853,0,0,1,MDOC1204.pdf,00081820.tif,ORIGINAL,DOLPHI,1050,4232,1,14,14,2,0,0,0,,3,2014-423201
40,24,01,2101,11,0,,6936,5,1,2014,10,06,0471493,0,0,1,MDOC2101.pdf,00081094.tif,ORIGINAL,DOLPHI,1050,4047,1,39,39,0,0,0,0,,3,2014-404701
40,24,03,2101,12,1,KEPT;,6936,5,1,2014,10,06,0471493,0,0,1,MDOC2101.pdf,00081097.tif,ORIGINAL,DOLPHI,1050,4047,1,50,50,0,0,0,0,,3,2014-404703
40,24,03,2101,13,1,RARE OR ILLEGAL SPECIES KEPT;,6936,5,1,2014,10,06,0471493,0,0,1,MDOC2101.pdf,00081097.tif,ORIGINAL,BLUELI,4440,4047,2,10,10,0,0,0,0,,3,2014-404703
40,24,01,2103,14,1,KEPT;,6936,5,1,2014,10,10,0471493,0,0,2,MDOC2103.pdf,00081281.tif,ORIGINAL,DOLPHI,1050,4096,1,43,0,0,0,0,0,,3,2014-409601
40,24,02,2103,15,0,,6936,5,1,2014,10,10,0471493,0,0,1,MDOC2103.pdf,00081283.tif,ORIGINAL,DOLPHI,1050,4096,1,12,12,0,0,0,0,,2,2014-409602
