stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,tracker,site_no,enterr,interr,measur,faxno,tifno,filestat,alive,othlp,species,batch,row,kept,observe,dead,sell,weighed,q11a,id
10,02,1102,1,0,,6783,2,1,6,2015,06,13,012402,0051599,0,0,1,DEJN1102.pdf,00082705.tif,ORIGINAL,0,DOLPHIN,1050,0124,2,3,3,0,0,0,3,2015-012402
10,02,1102,2,0,,6783,2,1,6,2015,06,13,012402,0051599,0,0,1,DEJN1102.pdf,00082705.tif,ORIGINAL,0,YFT,4711,0124,1,5,5,0,0,0,3,2015-012402
10,03,1102,3,0,,6783,2,1,3,2015,06,13,012403,0051599,0,0,2,DEJN1102.pdf,00082707.tif,ORIGINAL,0,DOLPHIN,1050,0124,2,2,0,0,0,0,2,2015-012403
10,03,1102,4,0,,6783,2,1,3,2015,06,13,012403,0051599,0,0,2,DEJN1102.pdf,00082707.tif,ORIGINAL,1,YFT,4711,0124,1,0,0,0,0,0,2,2015-012403
10,04,1102,5,0,,6783,2,1,2,2015,06,13,012404,0051599,0,0,2,DEJN1102.pdf,00082709.tif,ORIGINAL,0,DOLPHIN,1050,0124,3,1,0,0,0,0,2,2015-012404
10,04,1102,6,0,,6783,2,1,2,2015,06,13,012404,0051599,1,0,2,DEJN1102.pdf,00082709.tif,ORIGINAL,1,SHORTFIN MAKO SHARK,3551,0124,1,1,0,0,0,0,2,2015-012404
10,04,1102,7,0,,6783,2,1,2,2015,06,13,012404,0051599,0,0,2,DEJN1102.pdf,00082709.tif,ORIGINAL,0,YFT,4711,0124,2,1,0,0,0,0,2,2015-012404
10,01,1103,8,0,,6447,2,1,8,2015,06,14,021301,0051599,0,0,2,DEJN1103.pdf,00083144.tif,ORIGINAL,0,BIGEYE TUNA,4691,0213,2,1,0,0,0,0,2,2015-021301
10,01,1103,9,0,,6447,2,1,8,2015,06,14,021301,0051599,0,0,2,DEJN1103.pdf,00083144.tif,ORIGINAL,0,YFT,4711,0213,1,1,0,0,0,0,2,2015-021301
10,02,1103,10,0,,6447,2,1,5,2015,06,14,021302,0051599,1,1,2,DEJN1103.pdf,00083146.tif,ORIGINAL,1,DUSKY SHARK,4841,0213,4,0,0,0,0,0,2,2015-021302
10,02,1103,11,0,,6447,2,1,5,2015,06,14,021302,0051599,0,0,2,DEJN1103.pdf,00083146.tif,ORIGINAL,0,DOLPHIN,1050,0213,2,1,0,0,0,0,2,2015-021302
10,02,1103,12,0,,6447,2,1,5,2015,06,14,021302,0051599,0,0,2,DEJN1103.pdf,00083146.tif,ORIGINAL,0,YFT,4711,0213,1,5,0,0,0,0,2,2015-021302
10,02,1103,13,0,,6447,2,1,5,2015,06,14,021302,0051599,0,0,2,DEJN1103.pdf,00083146.tif,ORIGINAL,1,TIGER SHARK,4911,0213,3,0,0,0,0,0,2,2015-021302
10,03,1103,14,0,,6447,2,1,4,2015,06,14,021303,0051599,0,0,2,DEJN1103.pdf,00083148.tif,ORIGINAL,0,YFT,4711,0213,1,1,0,0,0,0,2,2015-021303
10,05,1103,15,0,,6447,2,1,3,2015,06,14,021305,0051599,1,1,2,DEJN1103.pdf,00083151.tif,ORIGINAL,1,SANDBAR SHARK,4821,0213,1,0,0,0,0,0,2,2015-021305
10,07,1103,16,0,,6447,2,1,3,2015,06,14,021307,0051599,0,0,2,DEJN1103.pdf,00083154.tif,ORIGINAL,3,SUMMER FLOUNDER,1219,0213,1,0,0,0,0,0,2,2015-021307
10,07,1103,17,0,,6447,2,1,3,2015,06,14,021307,0051599,0,0,2,DEJN1103.pdf,00083154.tif,ORIGINAL,2,BLACK SEA BASS,3350,0213,2,0,0,0,0,0,2,2015-021307
10,08,1103,18,0,,6447,2,1,3,2015,06,14,021308,0051599,0,0,2,DEJN1103.pdf,00083156.tif,ORIGINAL,0,YFT,4711,0213,1,1,0,0,0,0,2,2015-021308
10,09,1103,19,0,,6447,2,1,3,2015,06,14,021309,0051599,0,0,2,DEJN1103.pdf,00083158.tif,ORIGINAL,0,DOLPHIN,1050,0213,2,12,0,0,0,0,2,2015-021309
10,09,1103,20,0,,6447,2,1,3,2015,06,14,021309,0051599,0,0,2,DEJN1103.pdf,00083158.tif,ORIGINAL,0,YFT,4711,0213,1,2,0,0,0,0,2,2015-021309
10,11,1103,21,0,,6447,2,1,5,2015,06,14,021311,0051599,1,0,2,DEJN1103.pdf,00083161.tif,ORIGINAL,0,DOLPHIN,1050,0213,2,1,0,0,0,0,2,2015-021311
10,11,1103,22,0,,6447,2,1,5,2015,06,14,021311,0051599,1,0,2,DEJN1103.pdf,00083161.tif,ORIGINAL,1,SHORTFIN MAKO SHARK,3551,0213,3,0,0,0,0,0,2,2015-021311
10,11,1103,23,0,,6447,2,1,5,2015,06,14,021311,0051599,1,0,2,DEJN1103.pdf,00083161.tif,ORIGINAL,4,YFT,4711,0213,1,2,0,0,0,0,2,2015-021311
10,12,1103,24,0,,6447,2,1,4,2015,06,14,021312,0051599,0,0,2,DEJN1103.pdf,00083163.tif,ORIGINAL,1,YFT,4711,0213,1,1,0,0,0,0,2,2015-021312
10,13,1103,25,0,,6447,2,1,4,2015,06,14,021313,0051599,0,0,2,DEJN1103.pdf,00083165.tif,ORIGINAL,0,YFT,4711,0213,1,1,0,0,0,0,2,2015-021313
10,14,1103,26,0,,6447,2,1,2,2015,06,14,021314,0051599,0,0,2,DEJN1103.pdf,00083167.tif,ORIGINAL,0,YFT,4711,0213,1,1,0,0,0,0,1,2015-021314
10,15,1103,27,0,,6447,2,1,4,2015,06,14,021315,0051599,0,0,2,DEJN1103.pdf,00083169.tif,ORIGINAL,0,YFT,4711,0213,1,1,0,0,0,0,2,2015-021315
