tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
17,09,01,1110,1,0,,7631,3,1,5,2015,10,12,0113879,1,0,2,CTOC1110.pdf,00093593.tif,ORIGINAL,D,1050,1772,2,1,0,0,0,0,0,1,2015-177201
17,09,01,1110,2,0,,7631,3,1,5,2015,10,12,0113879,1,0,2,CTOC1110.pdf,00093593.tif,ORIGINAL,Y,4711,1772,1,7,0,0,0,0,0,1,2015-177201
17,09,01,1110,3,0,,7631,3,1,5,2015,10,12,0113879,1,0,2,CTOC1110.pdf,00093593.tif,ORIGINAL,B,4931,1772,3,0,0,1,0,0,0,1,2015-177201
17,09,02,1110,4,0,,7631,3,1,6,2015,10,12,0110833,0,0,2,CTOC1110.pdf,00093595.tif,ORIGINAL,D,1050,1772,1,12,12,0,0,0,0,2,2015-177202
17,09,03,1110,5,0,,7631,3,1,7,2015,10,12,0110833,0,1,1,CTOC1110.pdf,00093597.tif,ORIGINAL,R,3650,1772,3,0,0,1,0,0,0,3,2015-177203
17,09,03,1110,6,0,,7631,3,1,7,2015,10,12,0110833,0,0,1,CTOC1110.pdf,00093597.tif,ORIGINAL,D,1050,1772,5,40,0,10,0,0,0,3,2015-177203
17,09,03,1110,7,1,CAUGHT OUT OF AREA;ALIVE;,7631,3,1,7,2015,10,12,0110833,0,1,1,CTOC1110.pdf,00093597.tif,ORIGINAL,T,4560,1772,8,0,0,1,0,0,0,3,2015-177203
17,09,03,1110,8,0,,7631,3,1,7,2015,10,12,0110833,0,0,1,CTOC1110.pdf,00093597.tif,ORIGINAL,S,4661,1772,2,1,0,0,0,0,0,3,2015-177203
17,09,03,1110,9,1,ALIVE;,7631,3,1,7,2015,10,12,0110833,0,1,1,CTOC1110.pdf,00093597.tif,ORIGINAL,B,4691,1772,6,0,0,1,0,0,0,3,2015-177203
17,09,03,1110,10,0,,7631,3,1,7,2015,10,12,0110833,0,0,1,CTOC1110.pdf,00093597.tif,ORIGINAL,Y,4711,1772,7,12,4,6,0,0,0,3,2015-177203
