stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,tracker,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
10,02,1104,1,0,,6447,2,1,5,2017,06,25,031402,0051599,0,0,2,DEJN1104.pdf,00109327.tif,ORIGINAL,DOLPHIN,1050,0314,1,2,0,0,0,0,0,2,2017-031402
10,02,1104,2,0,,6447,2,1,5,2017,06,25,031402,0051599,0,0,2,DEJN1104.pdf,00109327.tif,ORIGINAL,SKIPJACK TUNA,4661,0314,2,0,0,1,0,0,0,2,2017-031402
10,02,1104,3,0,,6447,2,1,5,2017,06,25,031402,0051599,0,0,2,DEJN1104.pdf,00109327.tif,ORIGINAL,YFT,4711,0314,3,0,0,1,0,0,0,2,2017-031402
10,03,1104,4,0,,6447,2,1,6,2017,06,25,031403,0051599,0,0,2,DEJN1104.pdf,00109329.tif,ORIGINAL,SKIPJACK TUNA,4661,0314,1,3,0,0,0,0,0,3,2017-031403
10,04,1104,5,0,,6447,2,1,4,2017,06,25,031404,0051599,0,0,2,DEJN1104.pdf,00109331.tif,ORIGINAL,SKIPJACK TUNA,4661,0314,2,3,0,0,0,0,0,2,2017-031404
10,04,1104,6,0,,6447,2,1,4,2017,06,25,031404,0051599,0,0,2,DEJN1104.pdf,00109331.tif,ORIGINAL,YFT,4711,0314,1,1,0,0,0,0,0,2,2017-031404
10,05,1104,7,0,,6447,2,1,4,2017,06,25,031405,0051599,0,0,2,DEJN1104.pdf,00109333.tif,ORIGINAL,DOLPHIN,1050,0314,1,1,0,0,0,0,0,2,2017-031405
10,05,1104,8,0,,6447,2,1,4,2017,06,25,031405,0051599,0,0,2,DEJN1104.pdf,00109333.tif,ORIGINAL,YFT,4711,0314,2,0,0,1,0,0,0,2,2017-031405
10,06,1104,9,0,,6447,2,1,5,2017,06,25,031406,0051599,0,0,2,DEJN1104.pdf,00109335.tif,ORIGINAL,DOLPHIN,1050,0314,1,0,0,1,0,0,0,2,2017-031406
10,07,1104,10,0,,6447,2,1,3,2017,06,25,031407,0051599,0,0,2,DEJN1104.pdf,00109337.tif,ORIGINAL,YFT,4711,0314,1,2,2,0,0,0,2,3,2017-031407
10,08,1104,11,0,,6447,2,1,4,2017,06,25,031408,0051599,0,0,2,DEJN1104.pdf,00109339.tif,ORIGINAL,DOLPHIN,1050,0314,1,1,0,0,0,0,0,2,2017-031408
10,09,1104,12,0,,6447,2,1,4,2017,06,25,031409,0051599,0,0,2,DEJN1104.pdf,00109341.tif,ORIGINAL,SKIPJACK TUNA,4661,0314,2,0,0,6,0,0,0,2,2017-031409
10,09,1104,13,0,,6447,2,1,4,2017,06,25,031409,0051599,0,0,2,DEJN1104.pdf,00109341.tif,ORIGINAL,YFT,4711,0314,1,2,0,0,0,0,0,2,2017-031409
10,10,1104,14,0,,6447,2,1,4,2017,06,25,031410,0051599,0,0,2,DEJN1104.pdf,00109343.tif,ORIGINAL,GOLDEN TILEFISH,4467,0314,2,2,0,0,0,0,0,2,2017-031410
10,10,1104,15,0,,6447,2,1,4,2017,06,25,031410,0051599,0,0,2,DEJN1104.pdf,00109343.tif,ORIGINAL,YFT,4711,0314,1,2,0,1,0,0,0,2,2017-031410
10,01,1201,16,0,,6783,2,3,3,2017,06,17,019901,0051599,0,0,2,DEJN1201.pdf,00108590.tif,ORIGINAL,BLACK SEA BASS,3350,0199,1,0,0,6,0,0,0,2,2017-019901
10,01,1201,17,0,,6783,2,3,3,2017,06,17,019901,0051599,0,0,2,DEJN1201.pdf,00108590.tif,ORIGINAL,SANDBAR SHARK,4821,0199,2,0,0,6,0,0,0,2,2017-019901
10,02,1201,18,0,,6783,2,1,8,2017,06,17,019902,0051599,0,0,1,DEJN1201.pdf,00108592.tif,ORIGINAL,DOLPHIN,1050,0199,2,1,1,0,0,0,0,2,2017-019902
10,02,1201,19,0,,6783,2,1,8,2017,06,17,019902,0051599,0,0,1,DEJN1201.pdf,00108592.tif,ORIGINAL,BIGEYE TUNA,4691,0199,1,1,1,0,0,0,0,2,2017-019902
10,03,1201,20,0,,6783,2,1,8,2017,06,17,019903,0051599,0,0,2,DEJN1201.pdf,00108594.tif,ORIGINAL,YFT,4711,0199,1,12,12,1,0,0,0,2,2017-019903
10,04,1201,21,0,,6783,2,1,4,2017,06,17,019904,0051599,0,0,2,DEJN1201.pdf,00108596.tif,ORIGINAL,BIGEYE TUNA,4691,0199,2,1,1,0,0,0,0,2,2017-019904
10,04,1201,22,0,,6783,2,1,4,2017,06,17,019904,0051599,0,0,2,DEJN1201.pdf,00108596.tif,ORIGINAL,YFT,4711,0199,1,4,4,0,0,0,0,2,2017-019904
10,05,1201,23,0,,6783,2,1,5,2017,06,17,019905,0051599,0,0,2,DEJN1201.pdf,00108598.tif,ORIGINAL,BIGEYE TUNA,4691,0199,2,1,0,0,0,0,0,2,2017-019905
10,05,1201,24,0,,6783,2,1,5,2017,06,17,019905,0051599,0,0,2,DEJN1201.pdf,00108598.tif,ORIGINAL,YFT,4711,0199,1,5,0,2,0,0,0,2,2017-019905
