tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,alive,othlp,species,batch,row,kept,observe,dead,sell,weighed,q11a,id
062301,09,01,1103,1,0,,7788,3,1,4,2019,07,21,0113879,1,0,2,CTJL1103.pdf,00136169.tif,ORIGINAL,1,DOLPHIN,1050,0623,1,3,0,0,0,0,2,2019-062301
062301,09,01,1103,2,0,,7788,3,1,4,2019,07,21,0113879,1,0,2,CTJL1103.pdf,00136169.tif,ORIGINAL,1,SHORTFIN MAKO SHARK,3551,0623,2,0,0,0,0,0,2,2019-062301
062302,09,02,1103,3,0,,7788,3,1,6,2019,07,21,0110630,0,1,2,CTJL1103.pdf,00136171.tif,ORIGINAL,4,BLUE SHARK,4931,0623,1,0,0,0,0,0,2,2019-062302
062302,09,02,1103,4,1,CAUGHT OUT OF AREA;,7788,3,1,6,2019,07,21,0110630,0,1,2,CTJL1103.pdf,00136171.tif,ORIGINAL,10,SILVER HAKE,5090,0623,2,0,0,0,0,0,2,2019-062302
062302,09,02,1103,5,1,ALIVE;,7788,3,1,6,2019,07,21,0110630,0,1,2,CTJL1103.pdf,00136171.tif,ORIGINAL,10,LING COD,5240,0623,3,0,0,0,0,0,2,2019-062302
062303,09,03,1103,6,0,,7788,3,1,3,2019,07,21,0113234,0,0,2,CTJL1103.pdf,00136173.tif,ORIGINAL,7,BFT SCHOOL,4677,0623,1,2,0,0,0,0,2,2019-062303
076101,09,01,1110,7,0,,7788,7,3,2,2019,07,27,0110673,0,0,2,CTJL1110.pdf,00136924.tif,ORIGINAL,2,BLUE SHARK,4931,0761,1,0,0,0,0,0,2,2019-076101
080501,09,01,1112,8,0,,7791,8,1,4,2019,07,28,0070418,0,0,2,CTJL1112.pdf,00137257.tif,ORIGINAL,0,BIGEYE TUNA,4691,0805,2,2,2,0,0,0,1,2019-080501
080501,09,01,1112,9,0,,7791,8,1,4,2019,07,28,0070418,0,0,2,CTJL1112.pdf,00137257.tif,ORIGINAL,0,YFT,4711,0805,1,4,4,0,0,0,1,2019-080501
080601,09,01,1113,10,0,,7788,5,1,3,2019,07,28,0110687,0,0,2,CTJL1113.pdf,00137262.tif,ORIGINAL,0,DOLPHIN,1050,0806,2,2,0,0,0,0,1,2019-080601
080601,09,01,1113,11,0,,7788,5,1,3,2019,07,28,0110687,0,0,2,CTJL1113.pdf,00137262.tif,ORIGINAL,2,SUMMER FLOUNDER,1219,0806,3,0,0,0,0,0,1,2019-080601
080601,09,01,1113,12,1,ALIVE;,7788,5,1,3,2019,07,28,0110687,0,0,2,CTJL1113.pdf,00137262.tif,ORIGINAL,2,SEA ROBIN,3410,0806,4,0,0,0,0,0,1,2019-080601
