stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,filestat,month,day,tracker,year,enterr,interr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
36,2213,01,14,0,,153101858,7005,7519,153101859,5,1,2,3,ORIGINAL,06,09,700501,2021,0,0,1030133,SPINY DOGFISH,3521,1,0,0,5,0,0,0,2,2021-700501
36,2213,01,12,0,,153101858,7005,7519,153101859,5,1,2,3,ORIGINAL,06,09,700501,2021,0,0,1030133,COD,815,2,5,1,12,0,0,0,2,2021-700501
36,2213,01,15,1,CAUGHT OUT OF AREA;,153101858,7005,7519,153101859,5,1,2,3,ORIGINAL,06,09,700501,2021,0,0,1030133,SILVER HAKE,5090,3,2,2,0,0,0,0,2,2021-700501
36,2213,01,13,1,RARE OR ILLEGAL SPECIES KEPT;ALIVE;,153101858,7005,7519,153101859,5,1,2,3,ORIGINAL,06,09,700501,2021,0,0,1030133,RED HAKE,1520,4,12,5,10,0,0,0,2,2021-700501
36,2209,01,10,0,,153457347,7008,7519,153457348,5,1,3,2,ORIGINAL,06,17,700801,2021,0,0,1030133,BFT SCHOOL,4677,1,2,2,0,0,0,0,1,2021-700801
36,2209,02,11,0,,153457347,7008,7519,153457349,5,1,3,2,REVISED,06,17,700802,2021,0,1,1030037,BFT SCHOOL,4677,1,1,1,0,0,0,0,2,2021-700802
36,2121,01,7,0,,153539513,7009,7519,153539515,5,1,2,6,ORIGINAL,06,18,700901,2021,0,0,1030037,YFT,4711,1,6,0,0,0,0,0,2,2021-700901
36,2121,02,9,0,,153539513,7009,7519,153539516,5,1,3,2,ORIGINAL,06,18,700902,2021,0,0,1030037,BFT SCHOOL,4677,1,2,2,0,0,0,0,2,2021-700902
36,2121,02,8,0,,153539513,7009,7519,153539516,5,1,3,2,ORIGINAL,06,18,700902,2021,0,0,1030037,BLUEFISH,230,2,0,0,1,0,0,0,2,2021-700902
36,1206,01,6,0,,153539514,7010,7519,153539518,5,1,3,4,ORIGINAL,06,19,701001,2021,0,0,1030123,STRIPED BASS,4180,1,6,0,4,0,0,0,2,2021-701001
36,1206,01,5,0,,153539514,7010,7519,153539518,5,1,3,4,ORIGINAL,06,19,701001,2021,0,0,1030123,BLUEFISH,230,2,8,0,0,0,0,0,2,2021-701001
25,1218,01,2,0,,153851015,7012,7800,153851016,19,1,2,3,ORIGINAL,06,27,701201,2021,0,1,0090685,ATLANTIC MACKEREL,2120,1,4,0,0,0,0,0,2,2021-701201
25,1218,01,1,0,,153851015,7012,7800,153851016,19,1,2,3,ORIGINAL,06,27,701201,2021,0,1,0090685,HERRING,1670,2,1,0,0,0,0,0,2,2021-701201
25,1218,01,3,0,,153851015,7012,7800,153851016,19,1,2,3,ORIGINAL,06,27,701201,2021,0,1,0090685,BFT GIANT,4671,3,1,1,0,0,1,0,2,2021-701201
36,1117,01,4,0,,153855579,7013,7519,153855580,5,1,3,6,ORIGINAL,06,27,701301,2021,0,0,1030133,BLUE SHARK,4931,1,0,0,6,0,0,0,2,2021-701301
