tracker,stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,interr,filestat,month,day,year,enterr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
701401,25,2103,01,2,0,,154176171,7014,7800,154176172,19,1,1,4,0,ORIGINAL,07,05,2021,0,0090685,PORBEAGLE SHARK,4811,1,0,0,1,0,0,0,2,2021-701401
701401,25,2103,01,1,0,,154176171,7014,7800,154176172,19,1,1,4,0,ORIGINAL,07,05,2021,0,0090685,ATLANTIC MACKEREL,2120,2,12,0,0,0,0,0,2,2021-701401
701401,25,2103,01,3,0,,154176171,7014,7800,154176172,19,1,1,4,0,ORIGINAL,07,05,2021,0,0090685,SILVER HAKE,5090,3,6,0,0,0,0,0,2,2021-701401
701402,25,2103,02,4,0,,154176171,7014,7800,154176173,19,1,1,2,0,ORIGINAL,07,05,2021,0,0090685,ATLANTIC MACKEREL,2120,1,12,0,0,0,0,0,2,2021-701402
701701,33,2204,01,17,0,,154572157,7017,7800,154572158,3,1,3,4,0,ORIGINAL,07,13,2021,0,0150020,ATLANTIC MACKEREL,2120,1,4,0,0,0,0,0,2,2021-701701
701701,33,2204,01,16,0,,154572157,7017,7800,154572158,3,1,3,4,0,ORIGINAL,07,13,2021,0,0150020,HERRING,1670,2,12,0,0,0,0,0,2,2021-701701
701901,33,1203,01,8,0,,154756636,7019,7800,154756637,1,1,3,1,0,ORIGINAL,07,17,2021,0,0151970,HERRING,1670,1,1,0,0,0,0,0,1,2021-701901
701901,33,1203,01,9,0,,154756636,7019,7800,154756637,1,1,3,1,0,ORIGINAL,07,17,2021,0,0151970,BFT GIANT,4671,2,1,1,0,0,1,0,1,2021-701901
701902,33,1203,02,10,0,,154756636,7019,7800,154756638,1,1,1,2,0,ORIGINAL,07,17,2021,0,0151970,ATLANTIC MACKEREL,2120,1,3,0,0,0,0,0,1,2021-701902
701902,33,1203,02,11,0,,154756636,7019,7800,154756638,1,1,1,2,0,ORIGINAL,07,17,2021,0,0151970,BFT GIANT,4671,2,1,1,0,0,1,0,1,2021-701902
701903,33,1203,03,13,0,,154756636,7019,7800,154756639,1,1,1,2,0,REVISED,07,17,2021,0,0150088,HERRING,1670,1,6,0,0,0,0,0,2,2021-701903
701903,33,1203,03,12,0,,154756636,7019,7800,154756639,1,1,1,2,0,REVISED,07,17,2021,0,0150088,COD,815,2,0,0,3,0,0,0,2,2021-701903
701903,33,1203,03,14,0,,154756636,7019,7800,154756639,1,1,1,2,0,REVISED,07,17,2021,0,0150088,REDFISH,2400,3,0,0,2,0,0,0,2,2021-701903
701903,33,1203,03,15,1,CAUGHT OUT OF AREA;ALIVE;,154756636,7019,7800,154756639,1,1,1,2,0,REVISED,07,17,2021,0,0150088,SAND TIGER,3491,4,0,0,1,0,0,0,2,2021-701903
702301,33,1106,01,6,0,,155278855,7023,7800,155278856,3,1,1,2,0,ORIGINAL,07,31,2021,0,0150020,ATLANTIC MACKEREL,2120,1,5,0,0,0,0,0,2,2021-702301
702301,33,1106,01,7,0,,155278855,7023,7800,155278856,3,1,1,2,0,ORIGINAL,07,31,2021,0,0150020,SQUID,8030,2,5,0,0,0,0,0,2,2021-702301
702301,33,1106,01,5,0,,155278855,7023,7800,155278856,3,1,1,2,0,ORIGINAL,07,31,2021,0,0150020,HERRING,1670,3,5,0,0,0,0,0,2,2021-702301
355201,10,1101,01,51,0,,DEJL1101.pdf,3552,6783,00162727.tif,2,1,2,8,0,ORIGINAL,07,03,2021,1,0051599,YFT,4711,1,6,6,0,0,0,0,1,2021-355201
355202,10,1101,02,52,0,,DEJL1101.pdf,3552,6783,00162729.tif,2,1,3,6,0,ORIGINAL,07,03,2021,1,0051599,YFT,4711,1,2,2,0,0,0,0,1,2021-355202
