int_id,smp_week,year,wave,sub_reg,st,num_reps,rep_num,rep_id,int_date,int_time,status,hms,hms_cat,sellfish,fshstate,bt_trips,rf_trips,lptrips,trip_num,trip_day,tripdate,t_of_day,mode_f,people,trip_st,tripcnty,intsite,marin,method1,method2,thist,target1,target2,sktyp,tutyp,btsiz,bltyp,folps,o_folps,tourn,tcode,o_tname,gear,wgear,ogear,rodre,lncnt,baita,baitb,baitc,obait,o_obait,gnact,o_gnact,gnade,o_gnade,gnama,o_gnama,gnamd,o_gnamd,gname,o_gname,gnanh,o_gnanh,gnanj,o_gnanj,gnany,o_gnany,gnari,o_gnari,gnava,o_gnava,fishg,miles,depth,temp,targt,catch1,catch2,catch3,catch4,catch5,ctuna1,ctuna2,ctuna3,ctuna4,stuna1,stuna2,stuna3,stuna4,stuna5,stuna6,cshar1,cshar2,cshar3,cshar4,kmarl,amarl,dmarl,kssbt,assbt,dssbt,ksbtu,asbtu,dsbtu,klsbt,alsbt,dlsbt,ksmbt,asmbt,dsmbt,klmbt,almbt,dlmbt,kgbtu,agbtu,dgbtu,ketun,aetun,detun,kmsha,amsha,dmsha,kbsha,absha,dbsha,kssha,assha,dssha,kdsha,adsha,ddsha,area,dist,area_x,time_dep,time,hrsf,multiday,dycnt,attempts,result,file
1050,35,2013,5,4,25,,,,20130914,1800,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,03,August hms_lpts
1050,35,2013,5,4,23,,,,20130914,1801,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,August hms_lpts
1050,35,2013,5,5,24,1,1,1,20130910,1208,1,1,2,2,MD,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,August hms_lpts
1050,35,2013,5,4,44,,,,20130914,1855,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,03,August hms_lpts
1050,35,2013,5,4,25,,,,20130914,1802,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,03,August hms_lpts
1050,35,2013,5,5,24,1,1,1,20130909,1722,1,1,2,2,MD,1,1,1,1,4,20130905,1,8,2,24,047,0856,,01,,1,8850030403,8850030402,,,0,,,,2,,,1,,,,6,2,1,1,2,,,,,,,,29,,,,,,,,,,,,,,HOT DOG (NORTH),40,150FET,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0800,1800,6,2,1,1,10,August hms_lpts
1049,35,2013,5,5,36,1,1,1,20130910,1920,1,1,2,2,NY,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,August hms_lpts
1048,35,2013,5,4,25,1,1,1,20130909,1706,1,1,1,2,MA,1,1,1,1,7,20130901,1,8,4,25,005,9210,,01,,1,8850030403,,,,,,,,2,,,1,,,,10,2,2,1,2,,,,,,997,FISHTAILS,,,,,,,,,,,,,,,FISHTAILS,90,900FET,78,1,8850030401,8850030403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0030,2000,15,1,2,2,10,August hms_lpts
1049,35,2013,5,5,36,1,1,1,20130910,1948,1,1,2,2,NY,2,2,2,1,2,20130903,1,8,6,36,059,7777,BEHIND HOUSE,10,05,1,1000000002,8850030400,1000000002,8850030400,,,,,2,,,1,,,,6,1,1,2,2,,,,,,,,,,,,,,,,997,SOUTH OF THE MIDDLE GROUNDS,,,,,SOUTH OF THE MIDDLE GROUNDS,22,50FET,70,1,8708020601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,0500,1900,7.5,2,1,3,10,August hms_lpts
1049,35,2013,5,5,36,1,1,1,20130910,1948,1,1,2,2,NY,2,2,2,2,4,20130905,1,8,6,36,059,7777,BEHIND HOUSE,10,05,1,1000000002,8850030400,1000000002,8850030400,,,,,2,,,1,,,,6,1,1,2,2,,,,,,,,,,,,,,,,997,SOUTH OF THE MIDDLE GROUNDS,,,,,SOUTH OF THE MIDDLE GROUNDS,22,50FET,69,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500,1900,7.5,2,1,3,10,August hms_lpts
