tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,HAMBONE,2008-000201,000201,6478,17684,06,01,2008,1450,10,1101,01,005,1599,0051599,2,1,2,2,1,3,1,1,2,DE,10,1430,3591,9996,2,6,2,6,4,6,0,0,1,0,1,1,0,6,6,3811,7424,31,130,61,1,2,1,1,6,6,,,,,
6,JACKSPOT,2008-000301,000301,6788,17684,06,01,2008,1510,24,1104,01,047,0856,0470856,4,3,1,2,1,2,1,8,1,MD,24,1505,3551,9996,2,6,1,6,4,5,0,0,1,0,1,0,0,6,2,3805,7445,24,120,60,1,2,2,2,6,6,,,,,
6,JACKSPOT,2008-000302,000302,6788,17684,06,01,2008,1550,24,1104,02,047,0856,0470856,4,3,1,2,1,2,2,8,1,MD,24,1550,3551,9996,2,6,2,6,3,3,0,0,1,0,0,1,0,6,1,3805,7445,24,54,61,1,2,2,2,6,6,,,,,
6,CIGAR,2008-000901,000901,6864,17684,06,01,2008,1727,51,1202,01,810,0088,8100088,3,1,2,2,1,3,1,7,7,VA,51,1715,4656,9996,2,6,2,6,8,5,0,0,1,1,0,0,0,6,4,3630,7450,60,510,66,1,2,1,1,6,6,,,,,
6,CIGAR,2008-000902,000902,6864,17684,06,01,2008,1838,51,1202,02,810,0088,8100088,3,1,2,1,1,3,2,7,7,VA,51,1830,4656,9996,2,6,2,6,8,7,0,0,1,1,0,0,0,6,5,3630,7450,62,720,66,2,2,1,1,6,6,,,,,
6,STELLWAGEN NEW CRNR,2008-001301,001301,6579,17684,06,01,2008,1920,25,1105,01,009,0111,0090111,16,1,1,2,1,1,2,1,6,MA,25,1830,4679,815,2,6,2,6,4,6,0,1,0,1,0,0,0,6,4,4225,7025,20,95,52,1,2,1,2,6,6,,,,,
6,JACKSPOT,2008-001501,001501,6794,17685,06,02,2008,1510,24,2201,01,047,0856,0470856,4,3,1,2,1,2,2,8,1,MD,24,1500,3591,9996,2,6,2,6,3,2,0,0,1,1,0,0,0,6,3,3805,7445,4,99998,98,1,2,2,2,6,6,,,,,
6,MARINE ELECTRIC,2008-001502,001502,6794,17685,06,02,2008,1530,24,2201,02,047,0856,0470856,4,3,1,2,1,2,1,6,1,DE,10,1530,3551,3591,2,6,2,6,4,5,0,0,1,0,0,1,0,6,3,3753,7450,30,110,59,1,2,1,1,6,6,,,,,
6,FINGERS,2008-002001,002001,6794,17686,06,03,2008,1730,24,2104,01,047,0856,0470856,4,3,1,2,1,2,2,2,1,MD,24,1730,3551,4931,2,6,1,6,4,7,0,0,1,0,0,1,0,6,3,3805,7440,28,120,59,1,2,1,2,6,6,,,,,
6,WASHINGTON CANYON,2008-002002,002002,6794,17686,06,03,2008,1800,24,2104,02,047,0856,0470856,4,3,1,2,8,8,6,8,1,MD,24,1800,4711,3551,2,6,2,6,9,6,0,1,1,1,0,0,0,6,3,3727,7427,65,3500,65,1,2,2,2,6,6,,,,,
6,CHES LIGHT TOW,2008-002301,002301,6928,17686,06,03,2008,1705,51,2101,01,810,0438,8100438,3,3,1,2,1,2,2,2,1,VA,51,1645,3810,30,2,6,2,6,4,2,0,1,0,0,0,0,1,JIGGING,3,3655,7545,14,60,65,1,2,1,2,6,6,,,,,
6,HOT DOG,2008-003701,003701,6478,17691,06,08,2008,1438,10,1105,01,005,1599,0051599,2,1,1,2,8,8,6,1,2,DE,10,1420,7777,9996,2,6,2,6,7,4,0,1,1,1,0,0,0,6,3,3806,7417,51,120,67,1,2,1,2,6,6,,,,,
