tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,tracker,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,24,MD,6,01,6,6,B BUOY,6783,24,1638,2105,0024,2,1,2,1,3,1,1622,3531,9996,2,2,3,6,0,0,1,0,1,0,0,1,9998,9998,18,80,69,2,1,1,mdjn2105.tif,00035039.tif,2011,0,0,0,06,01,18779,000901,0009,0470024,047,ORIGINAL,7,221,0,,Y,2,2011-000901
6,10,DE,6,01,6,6,HAMBONE,6936,24,1700,2205,0853,3,1,2,1,3,2,1645,3591,9996,2,2,3,8,0,0,1,0,1,0,0,6,3811,7424,31,117,71,2,2,1,mdjn2205.tif,00035045.tif,2011,0,0,0,06,02,18780,001101,0011,0470853,047,ORIGINAL,7,244,0,,N,1,2011-001101
6,24,MD,6,02,6,6,BALTIMORE CANYON,6936,24,1715,2205,0853,3,1,2,2,3,2,1645,4656,9996,2,2,10,6,0,1,1,1,0,0,0,4,3806,7349,70,600,71,1,1,1,mdjn2205.tif,00035047.tif,2011,0,0,0,06,02,18780,001102,0011,0470853,047,ORIGINAL,7,243,0,,N,1,2011-001102
6,24,MD,6,03,6,6,POOR MANS CANYON,6936,24,1800,2205,0853,3,1,2,2,3,1,1745,4670,4711,2,2,11,8,0,0,1,1,0,0,0,6,3752,7406,55,330,70,2,1,1,mdjn2205.tif,00035049.tif,2011,0,0,0,06,02,18780,001103,0011,0470853,047,ORIGINAL,7,245,0,,Y,2,2011-001103
6,24,MD,6,04,6,6,FINGERS,6936,24,1815,2205,0853,3,1,2,1,3,1,1750,3591,9996,2,1,5,7,0,0,1,0,1,0,0,3,3805,7440,27,120,98,2,1,1,mdjn2205.tif,00035051.tif,2011,0,0,0,06,02,18780,001104,0011,0470853,047,ORIGINAL,7,242,0,,Y,1,2011-001104
6,24,MD,6,01,6,6,WASHINGTON CANYON,6447,51,1801,2106,0039,8,1,1,2,2,1,1745,4711,9996,2,2,8,7,0,1,1,1,0,0,0,3,3727,7427,57,800,74,2,1,1,vajn2106.tif,00035058.tif,2011,0,1,0,06,01,18779,001301,0013,0010039,001,ORIGINAL,8,511,0,,Y,1,2011-001301
6,36,NY,6,01,6,CASTING,RACE POINT,6698,25,1450,2117,0279,18,3,1,2,1,1,1440,4180,4670,2,2,2,2,0,1,0,1,0,0,1,3,4204,7017,1,100,98,1,1,2,majn2117.tif,00035069.tif,2011,0,0,0,06,02,18780,001701,0017,0010279,001,ORIGINAL,2,317,0,,Y,2,2011-001701
6,10,DE,6,01,6,6,WILMINGTON CANYON,6478,10,1555,1202,1599,2,1,1,2,2,1,1551,4711,9996,2,2,7,6,0,1,1,1,0,0,0,3,3824,7327,65,600,72,2,1,1,dejn1202.tif,00035080.tif,2011,0,0,0,06,04,18782,002101,0021,0051599,005,ORIGINAL,6,108,0,,Y,1,2011-002101
6,10,DE,6,02,6,6,WILMINGTON CANYON,6478,10,1635,1202,1599,2,1,1,2,2,1,1625,4711,9996,2,2,8,5,0,1,1,1,0,0,0,4,3824,7327,70,600,73,2,1,1,dejn1202.tif,00035082.tif,2011,0,1,0,06,04,18782,002102,0021,0051599,005,ORIGINAL,6,111,0,,Y,1,2011-002102
6,10,DE,6,03,6,6,MASSEYS CANYON,6478,10,1705,1202,1599,2,1,1,2,2,1,1700,3551,9996,2,12,5,8,0,0,1,0,1,0,0,6,3825,7420,35,120,65,2,1,1,dejn1202.tif,00035084.tif,2011,0,1,0,06,04,18782,002103,0021,0051599,005,ORIGINAL,6,105,0,,Y,2,2011-002103
6,10,DE,6,04,6,6,BALTIMORE CANYON,6478,10,1730,1202,1599,2,1,1,2,2,1,1705,4711,9996,2,2,8,6,0,1,1,1,0,0,0,5,3814,7350,69,650,69,2,2,1,dejn1202.tif,00035086.tif,2011,0,1,0,06,04,18782,002104,0021,0051599,005,ORIGINAL,6,104,0,,Y,1,2011-002104
T500,10,DE,MAKO MANIA,05,6,6,MASSEYS CANYON,6478,10,1745,1202,1599,2,1,2,2,3,2,1715,3551,9996,1,12,4,8,0,0,1,0,1,0,0,6,3825,7420,35,120,65,1,1,1,dejn1202.tif,00035088.tif,2011,0,0,0,06,04,18782,002105,0021,0051599,005,ORIGINAL,6,779,0,,N,2,2011-002105
T500,10,DE,MAKO MANIA,06,6,6,HOT DOG,6478,10,1755,1202,1599,2,1,2,2,3,1,1750,3551,3531,1,2,3,8,0,0,1,0,1,0,0,3,3806,7417,35,130,98,2,1,1,dejn1202.tif,00035090.tif,2011,0,1,0,06,04,18782,002106,0021,0051599,005,ORIGINAL,6,778,0,,Y,2,2011-002106
6,10,DE,6,07,6,6,ELEPHANNT TRUNK,6478,10,1801,1202,1599,2,1,2,2,3,7,1755,3551,9996,2,2,4,6,0,0,1,0,1,0,0,3,3835,7405,35,112,70,2,1,1,dejn1202.tif,00035092.tif,2011,0,1,0,06,04,18782,002107,0021,0051599,005,ORIGINAL,6,106,0,,Y,2,2011-002107
6,10,DE,6,08,6,6,WILMINGTON CANYON,6478,10,1807,1202,1599,2,1,1,2,2,1,1800,7777,9996,2,12,6,8,0,1,1,1,0,0,0,3,3824,7327,65,200,71,2,1,1,dejn1202.tif,00035094.tif,2011,0,0,0,06,04,18782,002108,0021,0051599,005,ORIGINAL,6,109,0,,Y,2,2011-002108
6,10,DE,6,09,6,6,CHICKEN BONE,6478,10,1830,1202,1599,2,1,1,2,2,1,1815,4672,3551,2,2,6,7,0,1,1,1,0,0,0,4,3815,7428,35,180,68,1,1,1,dejn1202.tif,00035096.tif,2011,0,0,0,06,04,18782,002109,0021,0051599,005,ORIGINAL,6,110,0,,Y,2,2011-002109
6,10,DE,6,10,6,6,WILMINGTON CANYON,6478,10,1835,1202,1599,2,1,1,2,2,1,1830,4711,9996,2,2,7,8,0,1,1,1,0,0,0,5,3824,7327,75,720,76,1,1,1,dejn1202.tif,00035098.tif,2011,0,0,0,06,04,18782,002110,0021,0051599,005,ORIGINAL,6,107,0,,Y,2,2011-002110
6,10,DE,6,01,6,6,BALTIMORE CANYON,6783,10,1552,1101,1599,2,1,1,2,2,1,1542,4656,9996,2,2,10,15,0,1,1,1,1,0,0,4,3814,7350,60,400,73,2,1,1,dejn1101.tif,00035109.tif,2011,0,0,0,06,05,18783,002401,0024,0051599,005,ORIGINAL,6,93,0,,Y,1,2011-002401
6,10,DE,6,02,6,6,ELEPHANT TRUNK,6783,10,1600,1101,1599,2,1,1,2,2,1,1551,4711,9996,2,2,8,6,0,1,1,1,0,0,0,2,3835,7405,55,180,70,1,1,1,dejn1101.tif,00035111.tif,2011,0,0,0,06,05,18783,002402,0024,0051599,005,ORIGINAL,6,95,0,,Y,1,2011-002402
6,10,DE,6,03,6,6,HAMBONE,6783,10,1607,1101,1599,2,1,1,2,1,1,1601,4670,9996,2,2,7,6,0,0,1,1,1,0,0,4,3811,7424,40,120,69,1,1,1,dejn1101.tif,00035113.tif,2011,0,1,0,06,05,18783,002403,0024,0051599,005,ORIGINAL,6,97,0,,Y,1,2011-002403
6,24,MD,6,04,6,6,WILMINGTON CANYON,6783,10,1635,1101,1599,2,1,1,2,2,2,1630,4656,9996,2,2,6,4,0,1,1,1,0,0,0,4,3824,7327,75,600,71,2,1,1,dejn1101.tif,00035115.tif,2011,0,1,0,06,05,18783,002404,0024,0051599,005,ORIGINAL,6,96,0,,Y,2,2011-002404
6,10,DE,6,05,6,6,WILMINGTON CANYON,6783,10,1648,1101,1599,2,1,1,2,2,1,1630,4656,9996,2,2,9,6,0,1,1,1,0,0,0,5,3824,7327,58,240,70,2,2,1,dejn1101.tif,00035117.tif,2011,0,0,0,06,05,18783,002405,0024,0051599,005,ORIGINAL,6,94,0,,Y,1,2011-002405
6,10,DE,6,06,6,6,B BUOY,6783,10,1651,1101,1599,2,1,1,2,2,6,1600,3531,9996,2,12,7,9,0,1,1,1,1,0,0,2,9998,9998,10,90,98,2,1,2,dejn1101.tif,00035119.tif,2011,0,1,0,06,05,18783,002406,0024,0051599,005,ORIGINAL,6,99,0,,N,2,2011-002406
