tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
14,6,09,CT,6,0,6,JIGGING CASTING,BARTLETTS,7277,09,1640,1209,3234,3,1,1,2,4,6,1430,4380,4681,2,2,2,3,1,1,1,0,0,0,1,2,9998,9998,3,99998,98,2,1,1,ctoc1209.tif,00045007.tif,2011,1,1,0,10,01,18901,1486,0113234,011,ORIGINAL,3,74,0,,N,2,,2011-148601
14,6,25,MA,6,0,6,LIVE LINE,STELLWAGEN BANK,7344,25,1820,1109,0024,15,1,2,1,3,6,1805,4670,9996,2,1,4,11,1,0,0,0,0,0,1,3,4216,7017,16,170,60,1,1,1,maoc1109.tif,00045021.tif,2011,0,1,0,10,01,18901,1492,0090024,009,ORIGINAL,2,175,0,,N,2,,2011-149201
14,6,25,MA,6,0,6,6,EAST CHATHAM,7279,25,1340,1111,0922,10,1,1,2,2,1,1335,4678,9996,2,12,5,5,0,1,0,1,0,0,0,4,4140,6955,2,70,58,2,1,1,maoc1111.tif,00045026.tif,2011,0,1,0,10,02,18902,1493,0010922,001,ORIGINAL,2,180,0,,Y,2,,2011-149301
14,6,34,NJ,6,0,6,DAISY CHAINS,THE DROP AT CCB,6698,25,1500,1112,0279,18,3,1,2,2,2,1440,4678,4380,2,2,1,1,0,1,0,1,0,0,1,2,4200,7020,1,45,69,2,1,1,maoc1112.tif,00045030.tif,2011,0,1,0,10,02,18902,1494,0010279,001,ORIGINAL,2,181,0,,Y,2,,2011-149401
14,6,25,MA,6,0,6,6,EAST CHATHAM,7279,25,1205,1205,0922,10,1,1,2,2,1,1200,4678,9996,2,2,6,4,0,1,0,1,0,0,0,5,4140,6955,4,70,58,1,1,2,maoc1205.tif,00045035.tif,2011,0,0,0,10,01,18901,1495,0010922,001,ORIGINAL,2,210,0,,Y,2,,2011-149501
14,6,25,MA,6,0,6,6,WOOD END,7382,25,1600,2201,9038,9,1,2,1,3,2,1600,4677,4678,2,12,4,8,1,1,0,1,0,0,0,4,4201,7014,4,194,62,1,1,2,maoc2201.tif,00045038.tif,2011,0,0,0,10,03,18903,1496,0239038,023,ORIGINAL,2,235,0,,Y,2,,2011-149601
14,6,24,MD,6,0,6,6,BALTIMORE CANYON,6936,24,1800,1105,0004,1,1,1,2,2,1,1740,4656,9996,2,2,8,6,0,1,1,1,0,0,0,6,3814,7350,50,360,72,1,1,1,mdoc1105.tif,00045074.tif,2011,0,0,0,10,01,18901,1497,0470004,047,ORIGINAL,7,99,0,,Y,2,,2011-149701
14,6,24,MD,6,0,6,6,POOR MANS CANYON,6936,24,1805,1105,0004,1,1,2,1,3,1,1740,7777,9996,2,12,8,6,0,1,1,1,0,0,0,6,3752,7406,55,600,75,2,1,1,mdoc1105.tif,00045076.tif,2011,0,0,0,10,01,18901,1497,0470004,047,ORIGINAL,7,100,0,,Y,2,,2011-149702
14,6,37,NC,6,0,6,6,POOR MANS CANYON,6555,24,1734,1106,9008,7,1,2,1,3,1,1710,4711,8888,2,12,8,8,0,0,1,1,0,0,0,6,3752,7406,67,3000,64,2,1,1,mdoc1106.tif,00045041.tif,2011,0,1,0,10,01,18901,1498,0479008,047,ORIGINAL,7,101,0,,Y,2,,2011-149801
14,6,10,DE,6,0,6,6,BALTIMORE CANYON,6555,24,1838,1106,0938,7,3,2,1,3,1,1815,4656,9996,2,12,12,8,0,1,1,1,0,0,0,6,3806,7349,70,3000,75,2,1,1,mdoc1106.tif,00045043.tif,2011,0,1,0,10,01,18901,1498,0470938,047,ORIGINAL,7,102,0,,Y,1,,2011-149802
