tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,batch,month,day,intdate,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
03,6,09,CT,6,0,6,6,MUD HOLE,7374,09,1800,1109,0687,5,1,1,2,2,1,1700,3551,3531,2,2,3,9,0,0,1,0,1,0,0,3,4100,7120,12,140,71,2,1,1,ctjl1109.tif,00048816.tif,2012,0,0,0,ORIGINAL,0357,07,08,19182,0110687,011,3,120,0,,Y,2,,2012-035701
03,6,09,CT,6,0,6,6,THE GULLY,7430,09,1700,1202,9237,8,1,1,2,2,1,1200,3551,3531,2,12,4,12,0,0,1,0,1,0,0,3,4100,7120,17,150,98,2,1,1,ctjl1202.tif,00048820.tif,2012,0,0,0,ORIGINAL,0358,07,08,19182,0079237,007,3,122,1,Q15;,Y,2,,2012-035801
03,6,09,CT,6,0,6,6,RYANS HORN,7431,09,1705,1208,9003,3,1,1,2,3,1,1705,3551,9996,2,2,4,6,0,0,1,0,1,0,0,5,4046,7127,20,210,74,2,1,1,ctjl1208.tif,00048825.tif,2012,0,0,0,ORIGINAL,0359,07,07,19181,0119003,011,3,123,0,,Y,2,,2012-035901
03,6,09,CT,6,0,6,LIVE LINE,JENNYS HORN,6775,09,1700,2102,0652,4,1,1,2,2,1,1650,3551,3531,2,12,4,8,1,0,1,0,1,0,1,2,4049,7133,28,200,74,2,1,1,ctjl2102.tif,00048835.tif,2012,0,0,0,ORIGINAL,0362,07,03,19177,0110652,011,3,131,0,,Y,2,,2012-036201
03,6,09,CT,6,0,6,6,THE CANYON,7430,09,1740,2216,0418,8,1,1,2,2,1,1710,4677,4711,2,12,7,24,0,0,1,1,1,1,0,4,3950,7114,35,180,75,2,2,1,ctjl2216.tif,00048847.tif,2012,0,1,0,ORIGINAL,0366,07,09,19183,0070418,007,3,136,0,,Y,2,,2012-036601
03,6,10,DE,6,0,6,6,BALTIMORE CANYON,6783,10,1634,1101,1599,2,1,1,2,2,1,1629,4711,2161,2,2,8,9,0,1,1,1,0,0,0,6,3814,7350,60,600,75,2,1,1,dejl1101.tif,00048851.tif,2012,0,0,0,ORIGINAL,0367,07,07,19181,0051599,005,6,141,0,,Y,1,,2012-036701
03,6,10,DE,6,0,6,6,HOT DOG,6783,10,1712,1101,1599,2,1,1,2,2,7,1656,4711,9996,2,2,3,7,0,0,1,0,0,1,0,4,3806,7417,40,130,78,2,1,1,dejl1101.tif,00048853.tif,2012,0,1,0,ORIGINAL,0367,07,07,19181,0051599,005,6,138,0,,Y,1,,2012-036702
03,6,10,DE,6,0,6,6,MASSEYS CANYON,6783,10,1745,1101,1599,2,1,1,2,2,6,1743,4656,9996,2,2,6,8,0,1,1,1,0,0,0,4,3825,7420,40,180,77,2,1,1,dejl1101.tif,00048855.tif,2012,0,1,0,ORIGINAL,0367,07,07,19181,0051599,005,6,143,0,,N,1,,2012-036703
03,6,10,DE,6,0,6,6,BALTIMORE CANYON,6783,10,1750,1101,1599,2,1,1,2,2,1,1745,4711,9996,2,12,8,7,0,1,1,1,0,0,0,2,3814,7350,55,600,77,2,2,1,dejl1101.tif,00048857.tif,2012,0,1,0,ORIGINAL,0367,07,07,19181,0051599,005,6,140,0,,Y,2,,2012-036704
03,6,10,DE,6,0,6,6,BALTIMORE CANYON,6783,10,1800,1101,1599,2,1,1,2,2,1,1740,4656,9996,2,2,10,7,0,1,1,1,0,0,0,4,3814,7350,67,600,75,1,1,1,dejl1101.tif,00048859.tif,2012,0,1,0,ORIGINAL,0367,07,07,19181,0051599,005,6,142,0,,Y,2,,2012-036705
03,6,10,DE,6,0,6,6,BALTIMORE CANYON,6783,10,1821,1101,1599,2,1,2,1,3,1,1750,2161,2171,2,12,8,9,0,1,1,1,0,0,0,2,3814,7350,60,1200,78,2,2,1,dejl1101.tif,00048861.tif,2012,0,0,0,ORIGINAL,0367,07,07,19181,0051599,005,6,139,0,,Y,2,,2012-036706
03,6,10,DE,6,0,6,6,30 FATHOM LINE,6478,10,1715,1201,1599,2,1,2,1,3,1,1710,4656,9996,2,1,4,8,0,0,1,0,0,1,0,5,9998,9998,50,180,78,2,2,1,dejl1201.tif,00048865.tif,2012,0,0,0,ORIGINAL,0368,07,04,19178,0051599,005,6,161,0,,Y,1,,2012-036801
03,6,10,DE,6,0,6,6,30 FATHOM LINE,6478,10,1730,1202,1599,2,1,2,1,3,1,1715,4656,9996,2,1,4,8,0,0,1,0,0,1,0,5,9998,9998,50,180,78,2,2,1,dejl1202.tif,00048869.tif,2012,0,0,0,ORIGINAL,0369,07,08,19182,0051599,005,6,162,0,,Y,1,,2012-036901
03,6,10,DE,6,0,6,FLY FISHING,WILMINGTON CANYON,6794,10,1635,1204,0013,1,1,2,1,3,1,1400,4670,4711,2,2,12,9,0,1,1,1,0,0,1,5,3824,7327,82,600,76,2,1,1,dejl1204.tif,00048873.tif,2012,0,0,0,ORIGINAL,0370,07,01,19175,0050013,005,6,177,0,,Y,2,,2012-037001
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1637,2104,1599,2,1,1,2,2,6,1630,4678,9996,2,1,3,10,0,0,1,0,0,1,0,3,3806,7417,40,150,76,2,1,1,dejl2104.tif,00048879.tif,2012,0,1,0,ORIGINAL,0372,07,05,19179,0051599,005,6,188,0,,N,2,,2012-037201
