tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
13,6,10,DE,6,01,6,6,POOR MANS CANYON,6447,10,1713,1103,1599,2,1,1,2,2,1,1700,2161,9996,2,1,7,6,0,0,1,1,0,0,0,3,3752,7406,60,600,80,2,2,1,dese1103.tif,00055455.tif,2012,0,0,0,ORIGINAL,09,01,19237,1374,0051599,005,6,128,0,,Y,2,,2012-137401
13,6,10,DE,6,02,6,6,BALTIMORE CANYON,6447,10,1814,1103,1599,2,1,1,2,2,1,1700,4656,9996,2,2,5,6,0,1,1,1,0,0,0,5,3814,7350,65,2000,77,2,1,1,dese1103.tif,00055457.tif,2012,0,0,0,ORIGINAL,09,01,19237,1374,0051599,005,6,129,0,,Y,2,,2012-137402
13,6,10,DE,6,03,6,6,7,6447,10,1824,1103,1599,2,1,1,2,3,7,1800,4656,1050,2,1,9,12,0,1,1,1,0,0,0,6,9998,9998,62,1300,82,2,1,1,dese1103.tif,00055459.tif,2012,0,1,0,ORIGINAL,09,01,19237,1374,0051599,005,6,127,0,,Y,2,,2012-137403
13,6,10,DE,6,04,6,6,POOR MANS CANYON,6447,10,1830,1103,1599,2,1,1,2,3,1,1800,2161,9996,2,1,5,8,0,0,1,1,0,0,0,4,3752,7406,60,480,79,2,2,1,dese1103.tif,00055461.tif,2012,0,1,0,ORIGINAL,09,01,19237,1374,0051599,005,6,126,0,,Y,2,,2012-137404
13,6,10,DE,6,05,6,6,BALTIMORE CANYON,6447,10,1849,1103,1599,2,1,1,2,2,1,1830,2161,9996,2,1,5,8,0,0,1,1,0,0,0,6,3814,7350,60,600,78,2,1,1,dese1103.tif,00055463.tif,2012,0,0,0,ORIGINAL,09,01,19237,1374,0051599,005,6,125,0,,Y,2,,2012-137405
13,6,10,DE,6,01,6,6,JACKSPOT,6447,10,1614,1203,1599,2,1,1,2,2,1,1530,4681,9996,2,1,8,6,0,1,1,1,0,0,0,2,3805,7445,35,100,77,2,2,1,dese1203.tif,00055467.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,135,0,,Y,2,,2012-137501
13,6,10,DE,6,02,6,6,MASSEYS CANYON,6447,10,1633,1203,1599,2,1,1,2,3,1,1600,4656,9996,2,1,6,7,0,1,1,1,0,0,0,3,3825,7420,35,175,77,2,2,1,dese1203.tif,00055469.tif,2012,0,1,1,ORIGINAL,09,02,19238,1375,0051599,005,6,136,0,,Y,2,,2012-137502
13,6,10,DE,6,03,6,6,BALTIMORE CANYON,6447,10,1804,1203,1599,2,1,1,2,3,1,1745,2161,9996,2,2,11,10,0,0,1,1,0,0,0,6,3814,7350,60,400,80,2,2,1,dese1203.tif,00055471.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,134,0,,Y,2,,2012-137503
13,6,10,DE,6,04,6,6,POOR MANS CANYON,6447,10,1824,1203,1599,2,1,1,2,2,1,1815,2161,9996,2,12,7,7,0,0,1,1,0,0,0,4,3752,7406,75,2000,81,2,2,1,dese1203.tif,00055473.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,140,0,,Y,2,,2012-137504
13,6,10,DE,6,05,6,6,MASSEYS CANYON,6447,10,1830,1203,1599,2,1,1,2,2,1,1830,4711,9996,2,2,10,5,0,1,1,1,0,0,0,3,3825,7420,35,120,82,2,1,1,dese1203.tif,00055475.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,138,0,,Y,2,,2012-137505
13,6,24,MD,6,06,6,6,POOR MANS CANYON,6447,10,1847,1203,1599,2,1,1,2,2,1,1830,2161,9996,2,2,8,8,0,0,1,1,0,0,0,6,3752,7406,65,3000,75,2,1,2,dese1203.tif,00055477.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,139,0,,Y,2,,2012-137506
13,6,10,DE,6,07,6,6,POOR MANS CANYON,6447,10,1900,1203,1599,2,1,1,2,2,1,1845,2161,9996,2,1,6,8,0,0,1,1,0,0,0,8,3752,7406,60,300,80,2,1,2,dese1203.tif,00055478.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,132,0,,Y,2,,2012-137507
13,6,10,DE,6,08,6,6,POOR MANS CANYON,6447,10,1906,1203,1599,2,1,1,2,2,1,1900,4656,2161,2,2,7,8,0,1,1,1,0,0,0,5,3752,7406,65,400,98,2,1,1,dese1203.tif,00055479.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,130,0,,N,2,,2012-137508
13,6,10,DE,6,09,6,6,POOR MANS CANYON,6447,10,1918,1203,1599,2,1,1,2,2,1,1900,2161,9996,2,1,5,8,0,0,1,1,0,0,0,8,3752,7406,62,300,79,2,2,1,dese1203.tif,00055481.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,131,0,,Y,2,,2012-137509
13,6,10,DE,6,10,6,6,POOR MANS CANYON,6447,10,1925,1203,1599,2,1,1,2,2,1,1915,2161,9996,2,1,4,9,0,0,1,1,0,0,0,3,3752,7406,62,420,79,2,1,1,dese1203.tif,00055483.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,137,0,,Y,2,,2012-137510
13,6,10,DE,6,11,6,6,POOR MANS CANYON,6447,10,1931,1203,1599,2,1,1,2,2,1,1920,2161,9996,2,1,5,8,0,0,1,1,0,0,0,6,3752,7406,60,600,78,2,1,1,dese1203.tif,00055485.tif,2012,0,0,0,ORIGINAL,09,02,19238,1375,0051599,005,6,133,0,,Y,2,,2012-137511
13,6,25,MA,6,01,6,6,EAST CHATHAM,7405,25,1245,1101,0922,10,1,1,2,2,1,1230,4677,9996,2,2,6,3,0,1,0,1,0,0,0,3,4140,6955,14,280,68,2,1,1,mase1101.tif,00055494.tif,2012,0,0,0,ORIGINAL,09,01,19237,1378,0010922,001,2,271,0,,Y,2,,2012-137801
13,6,25,MA,6,02,6,6,BC BUOY,7405,25,1345,1101,0922,10,1,1,2,2,1,1330,4677,9996,2,2,6,3,0,1,0,1,0,0,0,3,4141,6935,12,420,67,2,1,1,mase1101.tif,00055496.tif,2012,0,0,0,ORIGINAL,09,01,19237,1378,0010922,001,2,270,0,,Y,2,,2012-137802
13,6,25,MA,6,03,6,6,EAST CHATHAM,7405,25,1530,1101,0922,10,1,2,2,3,2,1520,4678,9996,2,2,2,5,0,1,0,1,0,0,0,2,4140,6955,15,425,65,2,1,2,mase1101.tif,00055498.tif,2012,0,0,0,ORIGINAL,09,01,19237,1378,0010922,001,2,269,0,,Y,2,,2012-137803
13,6,25,MA,6,01,6,ANCHORED,STELLWAGEN BANK,7420,25,1700,1111,0024,15,1,1,2,3,1,1650,4671,9996,2,1,3,12,1,0,0,0,0,0,1,3,4216,7017,26,192,65,2,1,1,mase1111.tif,00055516.tif,2012,0,1,0,ORIGINAL,09,02,19238,1381,0090024,009,2,290,0,,Y,2,,2012-138101
13,6,25,MA,6,02,6,6,STELLWAGEN BANK,7420,25,1800,1111,0024,15,1,1,2,3,1,1740,4671,9996,2,2,4,4,0,1,0,1,0,0,0,2,4216,7017,28,240,70,2,1,1,mase1111.tif,00055518.tif,2012,0,1,0,ORIGINAL,09,02,19238,1381,0090024,009,2,291,0,,Y,2,,2012-138102
13,6,33,NH,6,01,6,6,7,7446,33,1640,1201,1970,1,1,1,2,1,7,1630,4671,9996,2,2,3,6,1,0,0,0,1,0,0,2,9998,9998,7,220,66,2,1,1,nhse1201.tif,00055529.tif,2012,0,1,0,ORIGINAL,09,01,19237,1387,0151970,015,1,434,0,,Y,1,,2012-138701
13,6,33,NH,6,02,6,6,7,7446,33,1645,1201,1970,1,1,1,1,1,7,1620,4671,9996,2,1,3,9,1,0,1,1,1,0,0,2,9997,9997,11,270,62,2,1,2,nhse1201.tif,00055531.tif,2012,0,1,0,ORIGINAL,09,01,19237,1387,0151970,015,1,432,0,,Y,2,,2012-138702
13,6,33,NH,6,03,6,6,ISLE OF SHOALS,7446,33,1707,1201,0088,1,1,1,2,1,7,1600,4671,9996,2,1,2,4,1,0,1,1,1,1,0,2,4300,7029,7,170,67,2,1,2,nhse1201.tif,00055532.tif,2012,0,1,0,ORIGINAL,09,01,19237,1387,0150088,015,1,433,0,,Y,2,,2012-138703
13,6,33,NH,6,04,6,6,7,7446,33,1915,1201,1970,1,1,1,2,1,7,1905,4679,9996,2,12,4,11,1,0,1,0,0,1,0,4,9998,9998,7,240,63,2,1,2,nhse1201.tif,00055533.tif,2012,0,1,0,ORIGINAL,09,01,19237,1387,0151970,015,1,435,0,,N,2,,2012-138704
13,6,33,NH,6,01,6,6,THE FLAG,7438,33,1811,1202,0099,2,1,1,2,3,1,1805,4679,9996,2,2,3,7,1,0,0,0,0,1,0,2,9998,9998,12,220,71,2,1,2,nhse1202.tif,00055523.tif,2012,1,0,0,ORIGINAL,09,03,19239,1388,0150099,015,1,436,0,,Y,2,,2012-138801
13,6,33,NH,6,02,6,6,OLD SCANTUM,7438,33,1836,1202,0099,2,1,1,2,3,1,1825,4679,9996,2,1,3,6,1,0,0,0,0,1,0,2,9998,9998,15,230,69,2,1,1,nhse1202.tif,00055524.tif,2012,0,1,0,ORIGINAL,09,03,19239,1388,0150099,015,1,437,0,,Y,2,,2012-138802
13,6,33,NH,6,01,6,6,SOUTH JEFFREYS LEDGE,7438,33,1825,2105,0099,2,1,1,2,3,1,1815,4679,9996,2,2,4,9,1,0,1,0,1,1,0,5,9998,9998,20,205,68,2,1,1,nhse2105.tif,00055606.tif,2012,1,1,0,ORIGINAL,09,05,19241,1391,0150099,015,1,444,0,,Y,1,,2012-139101
13,,34,NJ,OCMT,01,6,6,WILMINGTON CANYON,7361,34,1700,1109,9234,2,1,1,2,2,1,1650,4711,4677,1,1,6,4,0,1,1,1,0,0,0,4,3824,7327,68,1200,79,2,1,1,njse1109.tif,00055770.tif,2012,1,0,0,ORIGINAL,09,01,19237,1392,0019234,001,5,10,1,tcode;,Y,1,,2012-139201
13,,34,NJ,CANY,01,6,6,WILMINGTON CANYON,7370,34,1640,1201,1131,11,1,1,2,2,1,1300,2161,9996,1,1,5,16,0,0,1,1,0,0,0,9,3824,7327,75,600,80,2,1,1,njse1201.tif,00055546.tif,2012,1,0,0,ORIGINAL,09,02,19238,1394,0091131,009,5,11,1,tcode;Q23;Q23;,Y,2,,2012-139401
13,,34,NJ,CANY,02,6,6,WILMINGTON CANYON,7370,34,1815,1201,1131,11,1,1,2,2,6,1750,2161,9996,1,1,5,30,0,0,1,1,0,0,0,5,3874,7327,70,600,78,2,1,1,njse1201.tif,00055548.tif,2012,1,1,0,ORIGINAL,09,02,19238,1394,0091131,009,5,14,1,tcode;Q20;,N,2,,2012-139402
13,6,34,NJ,6,03,6,6,WILMINGTON CANYON,7370,34,1835,1201,1131,11,1,1,2,2,7,1700,2161,9996,2,1,4,12,0,0,1,1,0,0,0,4,3824,7327,70,600,78,2,1,1,njse1201.tif,00055550.tif,2012,0,1,0,ORIGINAL,09,02,19238,1394,0091131,009,5,525,0,,Y,2,,2012-139403
13,6,34,NJ,6,04,6,6,WILMINGTON CANYON,7370,34,1855,1201,1131,11,1,1,2,8,6,1700,2161,9996,2,1,7,8,0,0,1,1,0,0,0,4,3824,7327,70,1000,79,2,1,1,njse1201.tif,00055552.tif,2012,0,0,0,ORIGINAL,09,02,19238,1394,0091131,009,5,526,0,,N,2,,2012-139404
13,,12,FL,CANY,05,6,6,POOR MANS CANYON,7370,34,1915,1201,1131,11,1,1,2,2,1,1900,2161,9996,1,1,4,9,0,0,1,1,0,0,0,7,3752,7406,80,600,81,2,1,1,njse1201.tif,00055554.tif,2012,0,0,0,ORIGINAL,09,02,19238,1394,0091131,009,5,12,1,tcode;,N,2,,2012-139405
13,,34,NJ,CANY,06,6,6,WILMINGTON CANYON,7370,34,1930,1201,1131,11,1,8,2,8,6,1750,2161,9996,1,1,4,36,0,0,1,1,0,0,0,4,3824,7327,70,360,79,2,1,1,njse1201.tif,00055556.tif,2012,0,0,0,ORIGINAL,09,02,19238,1394,0091131,009,5,13,1,tcode;Q20;,N,1,,2012-139406
13,3350,51,VA,MANA,01,6,6,HUDSON NORTH EAST CORNER 100 SQUARE,6013,34,1700,1209,0279,10,1,1,2,2,2,1650,4691,4711,1,2,8,15,0,1,1,1,0,0,0,3,3930,7210,100,3000,77,1,1,1,njse1209.tif,00055564.tif,2012,0,0,0,ORIGINAL,09,01,19237,1396,0290279,029,5,70,0,,Y,1,,2012-139601
13,3350,34,NJ,MANA,02,6,6,HUDSON CANYON,6013,34,1830,1209,0279,10,1,1,2,2,1,1825,4711,4691,1,12,8,12,0,1,1,1,0,0,0,5,3921,7204,85,600,77,2,1,1,njse1209.tif,00055566.tif,2012,0,0,0,ORIGINAL,09,01,19237,1396,0290279,029,5,72,0,,Y,2,,2012-139602
13,3350,34,NJ,MANA,03,6,6,HUDSON CANYON,6013,34,2000,1209,0279,10,1,1,2,3,1,1950,4691,4711,1,12,10,18,0,1,1,1,0,1,0,8,3928,7215,85,700,76,1,1,1,njse1209.tif,00055568.tif,2012,0,0,0,ORIGINAL,09,01,19237,1396,0290279,029,5,71,0,,Y,2,,2012-139603
14,6,36,NY,6,01,6,6,THE DIP,7437,36,1815,1101,0589,3,1,2,1,3,1,1815,4711,9996,2,1,9,7,0,1,1,1,0,0,0,3,3955,7144,65,600,77,2,1,1,nyse1101.tif,00055582.tif,2012,0,0,0,ORIGINAL,09,02,19238,1400,1030589,103,4,588,0,,Y,1,,2012-140001
14,6,36,NY,6,02,6,6,HUDSON CANYON,7437,36,2010,1101,0175,3,1,1,2,2,1,2000,4711,4691,2,2,9,10,0,1,1,1,0,0,0,2,3930,7220,68,750,78,2,1,1,nyse1101.tif,00055584.tif,2012,0,0,0,ORIGINAL,09,02,19238,1400,1030175,103,4,587,0,,Y,1,,2012-140002
14,6,36,NY,6,01,6,6,HUDSON CANYON,7441,36,1510,1103,0564,2,2,1,2,3,1,1230,4711,9996,2,2,5,20,1,0,1,1,0,1,0,7,3930,7220,86,700,77,2,1,1,nyse1103.tif,00055593.tif,2012,0,0,0,ORIGINAL,09,03,19239,1402,1030564,103,4,589,0,,Y,2,,2012-140201
14,6,36,NY,6,01,6,6,HUDSON CANYON,7437,36,1715,1104,0085,4,1,1,2,2,1,1710,4711,4691,2,2,10,6,0,1,1,1,0,0,0,5,3930,7220,92,1100,77,2,1,1,nyse1104.tif,00055598.tif,2012,1,0,0,ORIGINAL,09,03,19239,1403,1030085,103,4,590,0,,Y,1,,2012-140301
14,6,44,RI,6,01,6,6,MUD HOLE,6593,44,1710,1209,0414,11,1,1,2,2,2,1600,4677,9996,2,2,5,4,0,1,1,1,0,0,0,3,4100,7120,17,180,73,2,1,1,rise1209.tif,00055639.tif,2012,0,0,0,ORIGINAL,09,02,19238,1406,0090414,009,,652,0,,N,2,,2012-140601
14,6,44,RI,6,02,6,6,MUD HOLE,6593,44,1810,1209,0475,11,1,1,2,3,6,1808,4677,9996,2,2,97,97,0,1,1,1,0,0,0,4,4100,7120,17,130,72,2,1,1,rise1209.tif,00055641.tif,2012,0,0,0,ORIGINAL,09,02,19238,1406,0090475,009,,648,0,,Y,2,,2012-140602
14,6,44,RI,6,03,6,6,THE GULLY,6593,44,1818,1209,0475,11,1,1,2,3,1,1816,3551,4677,2,12,5,8,1,1,1,1,1,1,0,2,4100,7120,25,140,74,2,1,1,rise1209.tif,00055643.tif,2012,0,1,1,ORIGINAL,09,02,19238,1406,0090475,009,,651,0,,Y,1,,2012-140603
14,6,44,RI,6,04,6,GREEN STICKING,COX LEDGE,6593,44,1900,1209,0414,11,1,1,2,3,1,1615,4711,4677,2,2,5,4,0,1,0,1,0,0,1,3,4105,7110,30,150,98,2,1,2,rise1209.tif,00055645.tif,2012,0,0,0,ORIGINAL,09,02,19238,1406,0090414,009,,649,0,,N,2,,2012-140604
14,6,44,RI,6,05,6,6,MUD HOLE,6593,44,1912,1209,0414,11,1,1,2,2,1,1845,4677,9996,2,2,6,4,0,1,0,1,0,0,0,3,4100,7120,17,180,73,2,1,1,rise1209.tif,00055646.tif,2012,0,0,0,ORIGINAL,09,02,19238,1406,0090414,009,,647,0,,Y,2,,2012-140605
