tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,10,DE,6,01,6,6,MASSEYS CANYON,6783,10,1545,1102,1599,2,1,1,2,2,1,1541,3591,9996,2,2,6,6,0,0,1,1,1,1,0,3,3824,7420,35,117,62,2,2,1,dejn1102.tif,00059159.tif,2013,0,0,0,ORIGINAL,06,01,19510,000101,0001,0051599,005,6,98,0,,Y,2,2013-000101
6,24,MD,6,01,6,6,FINGERS 20 FATHOM,6936,24,1600,1108,1493,5,1,2,2,3,1,1300,3591,2161,2,2,5,4,0,0,1,0,0,1,0,6,3812,7437,20,100,63,1,1,1,mdjn1108.tif,00059169.tif,2013,0,0,0,ORIGINAL,06,01,19510,000501,0005,0471493,047,7,134,0,,Y,2,2013-000501
6,12,FL,6,02,6,6,FINGERS 20 FATHOM,6936,24,1615,1108,1493,5,1,2,1,3,2,1545,3591,9996,2,12,4,7,0,0,1,0,0,1,0,3,3812,7437,30,125,63,2,2,1,mdjn1108.tif,00059171.tif,2013,0,0,0,ORIGINAL,06,01,19510,000502,0005,0471493,047,7,132,0,,N,2,2013-000502
6,10,DE,6,03,6,6,TWIN WRECKS,6936,24,1640,1108,1493,5,1,2,2,3,1,1330,3531,3591,2,2,3,6,0,0,1,0,1,1,0,2,3813,7443,17,100,62,2,1,1,mdjn1108.tif,00059173.tif,2013,0,0,0,ORIGINAL,06,01,19510,000503,0005,0471493,047,7,131,0,,Y,2,2013-000503
6,24,MD,6,04,6,6,MASSEYS CANYON,6936,24,1720,1108,1493,5,1,1,2,2,1,1700,3551,4931,2,2,3,8,0,0,1,0,1,0,0,6,3825,7420,37,125,98,2,2,1,mdjn1108.tif,00059175.tif,2013,0,0,0,ORIGINAL,06,01,19510,000504,0005,0471493,047,7,136,0,,Y,1,2013-000504
6,24,MD,6,05,6,6,FINGERS 20 FATHOM,6936,24,1740,1108,1493,5,1,1,2,2,1,1720,3551,3531,2,2,4,6,1,0,1,0,1,0,0,3,3812,7437,26,125,60,2,1,1,mdjn1108.tif,00059177.tif,2013,0,0,0,ORIGINAL,06,01,19510,000505,0005,0471493,047,7,135,1,Q27;,Y,1,2013-000505
6,24,MD,6,06,6,6,POOR MANS CANYON,6936,24,1815,1108,1493,5,1,2,2,3,1,1750,4711,4678,2,2,9,7,0,1,1,1,0,0,0,4,3752,7406,75,6000,65,2,1,2,mdjn1108.tif,00059179.tif,2013,0,0,0,ORIGINAL,06,01,19510,000506,0005,0471493,047,7,133,0,,Y,2,2013-000506
T306,34,NJ,JIMS CAPE MAY SHARK,01,6,6,FX FIVE SUB,7370,34,1600,1206,1672,11,1,1,2,2,1,1600,3551,9996,1,2,3,6,0,0,1,0,1,0,0,4,9998,9998,36,150,59,2,1,1,njjn1206.tif,00059186.tif,2013,0,1,0,ORIGINAL,06,01,19510,000801,0008,0091672,009,5,699,1,Q27;,Y,1,2013-000801
T306,34,NJ,JIMS CAPE MAY SHARK,02,6,6,30 FATHOM LINE,7370,34,1640,1206,1044,11,1,2,2,3,2,1600,3551,9996,1,1,3,3,0,0,1,0,1,0,0,6,9998,9998,50,200,61,2,1,1,njjn1206.tif,00059188.tif,2013,0,1,0,ORIGINAL,06,01,19510,000802,0008,0091044,009,5,700,0,,Y,1,2013-000802
6,51,VA,6,01,6,6,CIGAR,6633,51,1725,1108,0002,1,1,1,2,2,1,1715,4711,1050,2,2,8,6,0,1,1,1,0,0,0,6,3630,7450,65,300,69,1,1,2,vajn1108.tif,00059197.tif,2013,0,0,0,ORIGINAL,06,02,19511,001101,0011,8100002,810,8,407,0,,Y,2,2013-001101
6,51,VA,6,02,6,DRIFTING,CAPE HENRY,6633,51,1740,1108,0002,1,1,2,1,3,1,1730,3591,9996,2,1,6,5,1,1,1,1,0,0,1,6,9998,9998,2,35,68,2,1,1,vajn1108.tif,00059198.tif,2013,0,1,0,ORIGINAL,06,02,19511,001102,0011,8100002,810,8,408,0,,Y,2,2013-001102
