tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,51,VA,6,01,6,6,NORFOLK CANYON,7415,51,1630,2101,0088,3,1,2,1,3,1,1540,4711,9996,2,2,12,8,0,1,1,1,0,0,0,2,3705,7435,67,1000,70,1,1,1,VAJN2101.pdf,00094889.tif,2016,1,0,0,ORIGINAL,06,01,20606,000801,0008,8100088,810,7,481,0,,Y,2,2016-000801
6,51,VA,6,02,6,6,NORFOLK CANYON,7415,51,1650,2101,0088,3,1,2,1,3,1,1640,4711,9996,2,2,9,6,0,0,1,1,0,0,0,5,3705,7435,72,1800,76,1,2,1,VAJN2101.pdf,00094891.tif,2016,0,0,0,ORIGINAL,06,01,20606,000802,0008,8100088,810,7,480,0,,Y,1,2016-000802
6,25,MA,6,01,6,DRIFTING,OFF CHATHAM,7649,25,1435,1101,0217,8,3,1,2,3,2,1430,4671,9996,2,2,3,4,1,0,0,0,0,0,1,3,4140,6955,15,250,53,1,2,1,MAJN1101.pdf,00094897.tif,2016,0,0,0,ORIGINAL,06,04,20609,001101,0011,0230217,023,2,293,0,,N,1,2016-001101
6,09,CT,6,02,6,6,PEAKED HILL,7649,25,1525,1101,0217,8,3,1,2,2,2,1515,4676,9996,2,1,4,4,0,1,1,1,0,0,0,2,4205,7008,3,120,55,2,2,2,MAJN1101.pdf,00094899.tif,2016,0,0,0,ORIGINAL,06,04,20609,001102,0011,0230217,023,2,294,0,,Y,2,2016-001102
6,25,MA,6,01,6,LIVE LINING,STELLWAGEN BANK,7633,25,1753,1208,0024,15,1,2,2,3,1,1740,4671,9996,2,1,2,10,1,0,0,0,0,0,1,2,4216,7017,13,115,58,1,2,1,MAJN1208.pdf,00094904.tif,2016,1,0,0,ORIGINAL,06,04,20609,001301,0013,0090024,009,2,327,0,,Y,2,2016-001301
6,44,RI,6,02,6,LIVE LINING,STELLWAGEN BANK,7633,25,1803,1208,0024,15,1,2,1,3,1,1730,4671,9996,2,1,2,8,1,0,0,0,0,0,1,6,4216,7017,20,200,58,1,1,1,MAJN1208.pdf,00094906.tif,2016,0,0,0,ORIGINAL,06,04,20609,001302,0013,0090024,009,2,328,1,Q23;,Y,2,2016-001302
6,25,MA,6,03,6,LIVE LINING,PEAKED HILL,7633,25,1820,1208,0024,15,1,1,2,1,1,1805,4671,9996,2,1,4,10,1,0,0,0,0,0,1,3,4205,7008,4,150,58,1,1,1,MAJN1208.pdf,00094908.tif,2016,0,0,0,ORIGINAL,06,04,20609,001303,0013,0090024,009,2,325,0,,Y,2,2016-001303
6,25,MA,6,04,6,6,STELLWAGEN BANK SW,7633,25,1840,1208,0024,15,1,1,2,2,1,1830,4671,9996,2,1,4,3,0,0,1,1,0,0,0,1,4210,7015,15,130,59,1,1,1,MAJN1208.pdf,00094910.tif,2016,0,0,0,ORIGINAL,06,04,20609,001304,0013,0090024,009,2,329,0,,Y,2,2016-001304
6,25,MA,6,05,6,LIVE LINING,STELLWAGEN BANK,7633,25,1920,1208,0024,15,1,2,2,3,1,1909,4671,9996,2,1,4,10,1,0,0,0,0,0,1,2,4225,7025,13,107,58,1,2,1,MAJN1208.pdf,00094912.tif,2016,0,1,0,ORIGINAL,06,04,20609,001305,0013,0090024,009,2,326,0,,Y,2,2016-001305
6,25,MA,6,06,6,LIVE LINING,STELLWAGEN BANK,7633,25,2000,1208,0024,15,1,2,2,3,7,1945,4671,9996,2,1,2,7,1,0,0,0,0,0,1,3,4216,7017,15,125,58,2,1,1,MAJN1208.pdf,00094914.tif,2016,0,1,0,ORIGINAL,06,04,20609,001306,0013,0090024,009,2,330,0,,Y,2,2016-001306
6,25,MA,6,01,6,DRIFTING,CRAB LEDGE,7651,25,1621,2211,0217,8,3,2,2,3,2,1615,4671,9996,2,2,2,10,1,0,0,0,0,0,1,2,4138,6940,10,300,56,1,2,1,MAJN2211.pdf,00094927.tif,2016,0,1,0,ORIGINAL,06,02,20607,001701,0017,0230217,023,2,351,0,,N,1,2016-001701
6,25,MA,6,02,6,LIVE LINING,EAST OF CAPE,7651,25,1709,2211,0217,8,3,1,2,1,2,1645,4671,9996,2,1,3,5,1,0,0,0,0,0,1,3,9998,9998,10,300,56,1,2,1,MAJN2211.pdf,00094929.tif,2016,0,1,0,ORIGINAL,06,02,20607,001702,0017,0230217,023,2,352,0,,Y,1,2016-001702
6,24,MD,6,01,6,6,461 LUMP,6447,24,1526,1106,0853,3,1,1,2,2,1,1500,4711,9996,2,2,9,6,0,1,1,1,0,0,0,4,3730,7411,62,1200,70,1,1,1,MDJN1106.pdf,00094933.tif,2016,0,0,0,ORIGINAL,06,04,20609,001801,0018,0470853,047,6,198,0,,Y,2,2016-001801
6,24,MD,6,02,6,6,WASHINGTON CANYON,6447,24,1546,1106,0853,3,1,2,1,3,1,1500,4711,1050,2,2,7,6,0,0,1,1,0,0,0,6,3727,7427,64,2500,68,1,2,1,MDJN1106.pdf,00094935.tif,2016,1,0,0,ORIGINAL,06,04,20609,001802,0018,0470853,047,6,191,0,,Y,2,2016-001802
6,24,MD,6,03,6,6,GREAT EASTERN,6447,24,1611,1106,0853,3,1,1,2,2,1,1550,3531,3551,2,2,2,3,0,0,1,0,1,0,0,2,9998,9998,20,100,98,1,2,1,MDJN1106.pdf,00094937.tif,2016,0,0,0,ORIGINAL,06,04,20609,001803,0018,0470853,047,6,194,0,,Y,2,2016-001803
6,24,MD,6,04,6,DEEP DROP,461 LUMP,6447,24,1655,1106,0853,3,1,2,1,3,1,1645,4711,9996,2,12,13,8,0,0,1,1,0,0,1,6,3730,7411,65,3500,74,1,2,1,MDJN1106.pdf,00094939.tif,2016,0,1,0,ORIGINAL,06,04,20609,001804,0018,0470853,047,6,192,0,,Y,1,2016-001804
6,24,MD,6,05,6,6,FINGERS,6447,24,1709,1106,0853,3,1,2,1,3,1,1645,3591,9996,2,1,3,7,0,0,1,0,1,0,0,6,3812,7437,26,135,68,1,2,1,MDJN1106.pdf,00094941.tif,2016,0,0,0,ORIGINAL,06,04,20609,001805,0018,0470853,047,6,188,0,,Y,2,2016-001805
