tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
040501,6,25,MA,6,01,6,LIVE LINING,JEFFREYS LEDGE,7633,25,1852,1132,0024,15,1,2,1,3,1,1822,4671,9996,2,2,3,8,1,0,0,0,0,0,1,4,4255,7010,18,200,62,2,2,1,MAJL1132.pdf,00109846.tif,2017,0,0,0,ORIGINAL,07,01,21001,0405,0090024,009,2,468,0,,Y,2,,2017-040501
040502,6,25,MA,6,02,6,LIVE LINING,JEFFREYS LEDGE,7633,25,1900,1132,0024,15,1,2,1,3,1,1830,4671,9996,2,2,3,8,1,0,0,0,0,0,1,5,4255,7010,13,145,59,1,1,1,MAJL1132.pdf,00109848.tif,2017,0,1,0,ORIGINAL,07,01,21001,0405,0090024,009,2,467,0,,Y,2,,2017-040502
040503,6,25,MA,6,03,6,LIVE LINING,OUTER FLAG,7633,25,1905,1132,0024,15,1,2,2,3,1,1805,4671,9996,2,1,3,12,1,0,0,0,0,0,1,2,4252,7029,21,190,61,1,2,1,MAJL1132.pdf,00109850.tif,2017,1,1,0,ORIGINAL,07,01,21001,0405,0090024,009,2,469,0,,Y,2,,2017-040503
040504,6,25,MA,6,04,6,LIVE LINING,THE CURL,7633,25,1925,1132,0024,15,1,1,2,1,1,1825,4671,9996,2,2,4,12,1,0,0,0,0,0,1,3,4252,7014,15,200,58,1,2,1,MAJL1132.pdf,00109852.tif,2017,0,0,0,ORIGINAL,07,01,21001,0405,0090024,009,2,466,1,Q27;,Y,2,,2017-040504
041001,6,36,NY,6,01,6,6,BUTTERFISH HOLE,7466,36,1800,1101,0085,4,1,2,1,3,1,1530,3591,9996,2,1,2,4,0,0,1,0,1,1,0,2,4050,7135,14,160,63,1,2,1,NYJL1101.pdf,00109867.tif,2017,0,0,0,ORIGINAL,07,01,21001,0410,1030085,103,4,746,0,,Y,2,,2017-041001
041101,6,36,NY,6,01,6,6,SOUTH LIGHTHOUSE,7684,36,1540,1102,0133,5,1,2,1,3,1,1500,3551,3531,2,2,4,5,0,0,1,0,1,0,0,4,4045,7149,20,180,97,1,1,1,NYJL1102.pdf,00109872.tif,2017,0,1,0,ORIGINAL,07,01,21001,0411,1030133,103,4,747,0,,N,2,,2017-041101
041201,6,09,CT,6,01,6,6,7,7703,09,1603,1105,3879,3,1,1,2,2,1,1450,4711,4691,2,2,6,4,0,1,0,1,0,0,0,4,9997,9997,75,650,65,1,2,1,CTJL1105.pdf,00109878.tif,2017,0,1,0,REVISED,07,01,21001,0412,0113879,011,3,171,0,,Y,2,,2017-041201
041202,,09,CT,NIANTIC SHARK WEEK TOURNAMENT,02,6,6,7,7703,09,1650,1105,3879,3,1,1,2,2,1,1620,4711,3551,1,12,3,6,1,0,0,1,0,0,0,5,9997,9997,27,200,67,1,2,2,CTJL1105.pdf,00109880.tif,2017,0,1,0,REVISED,07,01,21001,0412,0113879,011,3,1,1,tcode;,Y,2,,2017-041202
041203,6,09,CT,6,03,6,DRIFTING,7,7703,09,1735,1105,3879,3,1,1,2,1,2,1720,4711,4701,2,1,5,6,0,0,1,0,0,0,1,5,9997,9997,7,65,68,1,2,1,CTJL1105.pdf,00109881.tif,2017,0,1,0,REVISED,07,01,21001,0412,0113879,011,3,170,0,,Y,2,,2017-041203
042001,6,24,MD,6,01,6,6,HOT DOG,6936,24,1540,1107,1493,5,1,1,2,2,7,1500,4711,9996,2,2,10,6,0,1,1,1,0,0,0,6,3806,7417,42,150,70,1,2,1,MDJL1107.pdf,00109900.tif,2017,0,1,0,ORIGINAL,07,01,21001,0420,0471493,047,6,268,0,,Y,2,,2017-042001
