tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
084501,6,25,MA,6,01,6,6,STELLWAGEN BANK,7732,25,1530,2109,0217,8,3,1,2,1,1,1445,4677,9996,2,2,3,8,1,0,0,0,0,0,1,0,1,4210,7015,7,140,65,2,2,1,MAAU2109.pdf,00125140.tif,2018,0,1,0,ORIGINAL,08,01,21397,0845,0230217,023,2,698,0,,Y,1,,2018-084501
084601,6,25,MA,6,01,6,6,JEFFREYS LEDGE,7633,25,1906,2110,0024,15,1,1,2,1,1,1630,4671,9996,2,1,3,5,1,0,0,0,0,0,1,0,2,4255,7010,5,180,70,2,2,1,MAAU2110.pdf,00125144.tif,2018,0,1,0,ORIGINAL,08,01,21397,0846,0090024,009,2,705,0,,Y,2,,2018-084601
084602,6,34,NJ,6,02,6,6,JEFFREYS LEDGE,7633,25,1740,2110,0024,15,1,1,2,1,1,1730,4671,9996,2,2,3,9,1,1,0,0,1,1,1,0,3,4255,7010,10,220,68,1,2,1,MAAU2110.pdf,00125146.tif,2018,0,1,0,ORIGINAL,08,01,21397,0846,0090024,009,2,699,0,,Y,2,,2018-084602
084603,6,25,MA,6,03,6,6,S JEFFREYS LEDGE,7633,25,1750,2110,0024,15,1,1,2,3,1,1742,4671,9996,2,2,4,10,1,0,0,0,0,0,1,0,2,4255,7010,9,180,68,1,1,1,MAAU2110.pdf,00125148.tif,2018,0,0,0,ORIGINAL,08,01,21397,0846,0090024,009,2,704,0,,Y,2,,2018-084603
084604,6,44,RI,6,04,6,6,PIGEON HILL,7633,25,1752,2110,0024,15,1,2,1,3,1,1743,4671,9996,2,2,3,48,1,0,0,0,0,0,1,0,8,4245,7013,23,186,98,1,2,1,MAAU2110.pdf,00125150.tif,2018,0,0,0,ORIGINAL,08,01,21397,0846,0090024,009,2,701,1,Q20;Q23;,Y,2,,2018-084604
084605,6,25,MA,6,05,6,6,STELLWAGEN BANK,7633,25,1840,2110,0024,15,1,1,2,3,1,1815,4671,9996,2,2,2,12,1,0,0,0,0,0,1,0,1,4216,7017,12,160,68,1,2,1,MAAU2110.pdf,00125152.tif,2018,0,0,0,ORIGINAL,08,01,21397,0846,0090024,009,2,702,0,,Y,2,,2018-084605
084606,6,25,MA,6,06,6,6,S JEFFREYS LEDGE,7633,25,1850,2110,0024,15,1,2,1,3,1,1830,4671,9996,2,2,3,10,1,0,0,0,0,0,1,0,6,4255,7010,20,200,69,1,1,1,MAAU2110.pdf,00125154.tif,2018,0,0,0,ORIGINAL,08,01,21397,0846,0090024,009,2,703,0,,Y,2,,2018-084606
084607,6,25,MA,6,07,6,6,STELLWAGEN BANK,7633,25,1920,2110,0024,15,1,1,1,3,1,1855,4671,9996,2,2,3,10,1,0,0,0,0,0,1,0,6,4216,7017,20,100,69,1,2,1,MAAU2110.pdf,00125156.tif,2018,0,0,0,ORIGINAL,08,01,21397,0846,0090024,009,2,700,0,,Y,2,,2018-084607
085101,6,33,NH,6,01,6,6,142 HUMP,7633,33,1745,2101,0003,1,3,1,2,3,1,1738,4671,9996,2,1,3,6,1,0,0,0,0,0,1,0,1,4255,7031,10,200,67,1,2,1,NHAU2101.pdf,00125169.tif,2018,0,0,0,ORIGINAL,08,02,21398,0851,0150003,015,1,832,0,,Y,2,,2018-085101
085401,6,33,NH,6,01,6,6,SCANTUM BASIN,7737,33,1657,2208,0020,3,1,1,2,1,1,1655,4671,9996,2,1,2,4,1,0,0,0,0,0,1,0,1,4225,7025,13,220,72,1,2,2,NHAU2208.pdf,00125178.tif,2018,0,0,0,ORIGINAL,08,01,21397,0854,0150020,015,1,876,0,,Y,2,,2018-085401
085402,6,33,NH,6,02,6,6,E ISLE SHOALS,7737,33,1717,2208,0020,3,1,1,2,3,1,1645,4671,4679,2,1,2,8,1,0,0,0,0,0,1,0,1,4300,7029,9,260,66,1,2,1,NHAU2208.pdf,00125179.tif,2018,0,0,0,ORIGINAL,08,01,21397,0854,0150020,015,1,878,0,,Y,2,,2018-085402
