tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,10,DE,6,01,6,6,BALTIMORE CANYON,6447,10,1528,1101,1599,2,1,1,2,2,1,1515,4677,4678,2,2,10,6,0,1,1,1,0,0,0,0,4,3814,7350,60,1200,66,1,2,1,DEJN1101.pdf,00132266.tif,2019,0,0,0,ORIGINAL,06,02,21702,000101,0001,0051599,005,6,259,0,,Y,2,2019-000101
6,10,DE,6,02,6,6,BALTIMORE CANYON,6447,10,1608,1101,1599,2,1,1,2,2,1,1600,4677,4678,2,2,9,8,0,1,1,1,0,0,0,0,3,3814,7350,62,2200,68,1,2,1,DEJN1101.pdf,00132268.tif,2019,0,0,0,ORIGINAL,06,02,21702,000102,0001,0051599,005,6,262,0,,Y,2,2019-000102
6,34,NJ,6,03,6,6,BALTIMORE CANYON,6447,10,1630,1101,1599,2,1,1,2,2,6,1615,4677,4678,2,2,1,7,0,1,1,1,0,0,0,0,4,3814,7350,65,1000,98,1,2,1,DEJN1101.pdf,00132270.tif,2019,0,0,0,ORIGINAL,06,02,21702,000103,0001,0051599,005,6,261,0,,N,2,2019-000103
6,10,DE,6,04,6,6,BALTIMORE CANYON,6447,10,1708,1101,1599,2,1,1,2,2,1,1700,4677,4678,2,2,8,7,0,1,1,1,0,0,0,0,4,3814,7350,66,2000,64,1,2,1,DEJN1101.pdf,00132272.tif,2019,0,0,0,ORIGINAL,06,02,21702,000104,0001,0051599,005,6,257,0,,Y,2,2019-000104
6,10,DE,6,05,6,6,BALTIMORE CANYON,6447,10,1740,1101,1599,2,1,1,2,2,1,1700,4677,4678,2,2,9,4,0,0,1,1,0,0,0,0,3,3814,7350,65,800,65,1,2,1,DEJN1101.pdf,00132274.tif,2019,0,0,0,ORIGINAL,06,02,21702,000105,0001,0051599,005,6,263,0,,Y,2,2019-000105
6,10,DE,6,06,6,6,BALTIMORE CANYON,6447,10,1820,1101,1599,2,1,2,1,3,1,1745,4677,4678,2,2,8,6,0,1,1,1,0,0,0,0,6,3814,7350,67,1800,69,1,2,1,DEJN1101.pdf,00132276.tif,2019,0,0,0,ORIGINAL,06,02,21702,000106,0001,0051599,005,6,258,0,,Y,2,2019-000106
6,10,DE,6,07,6,6,BALTIMORE CANYON,6447,10,1840,1101,1599,2,1,2,1,3,1,1815,4677,4678,2,2,8,7,0,1,1,1,0,0,0,0,1,3814,7350,65,1800,70,1,2,1,DEJN1101.pdf,00132278.tif,2019,0,1,0,ORIGINAL,06,02,21702,000107,0001,0051599,005,6,260,0,,Y,2,2019-000107
6,10,DE,6,08,6,6,CAROLINA,6447,10,1850,1101,1599,2,1,1,2,2,1,1830,4656,1050,2,2,7,4,0,1,0,1,0,0,0,0,4,9998,9998,40,1200,84,1,2,1,DEJN1101.pdf,00132280.tif,2019,0,0,0,ORIGINAL,06,02,21702,000108,0001,0051599,005,6,264,1,Q27;,Y,2,2019-000108
6,25,MA,6,01,6,7,TILLIES BANK,7633,25,1700,1202,0024,15,1,2,2,3,1,1630,3591,4811,2,2,1,6,0,1,0,1,0,0,0,1,6,4230,7010,18,230,51,1,2,1,MAJN1202.pdf,00132286.tif,2019,0,0,0,ORIGINAL,06,01,21701,000401,0004,0090024,009,2,486,1,Q23;Q27;,Y,2,2019-000401
6,25,MA,6,02,6,6,JEFFREYS LEDGE,7633,25,1750,1202,0024,15,1,2,1,3,1,1737,4671,9996,2,1,5,9,1,1,0,1,0,0,1,0,2,4255,7010,15,180,52,1,2,1,MAJN1202.pdf,00132288.tif,2019,0,0,0,ORIGINAL,06,01,21701,000402,0004,0090024,009,2,485,0,,Y,2,2019-000402
6,24,MD,6,01,6,6,BALTIMORE CANYON,6936,24,1700,1108,1493,5,1,2,1,3,1,1645,4678,4677,2,2,16,8,0,1,0,1,0,0,0,0,6,3814,7350,58,600,69,1,1,1,MDJN1108.pdf,00132299.tif,2019,0,0,0,ORIGINAL,06,01,21701,000801,0008,0471493,047,6,348,1,Q19;,Y,1,2019-000801
6,24,MD,6,02,6,6,POOR MANS CANYON,6936,24,1715,1108,1493,5,1,1,2,2,1,1700,4711,9996,2,2,12,7,0,1,1,1,0,0,0,0,8,3752,7406,64,3000,72,1,2,1,MDJN1108.pdf,00132301.tif,2019,0,0,0,ORIGINAL,06,01,21701,000802,0008,0471493,047,6,352,0,,Y,2,2019-000802
6,24,MD,6,03,6,6,BALTIMORE CANYON,6936,24,1735,1108,1493,5,1,1,2,2,1,1700,4677,4678,2,2,9,9,0,1,1,1,0,0,0,0,4,3814,7350,60,600,68,1,2,1,MDJN1108.pdf,00132303.tif,2019,0,0,0,ORIGINAL,06,01,21701,000803,0008,0471493,047,6,347,0,,Y,1,2019-000803
6,24,MD,6,04,6,6,BALTIMORE CANYON,6936,24,1745,1108,1493,5,1,1,2,2,1,1730,4677,4678,2,2,10,8,0,1,1,1,0,0,0,0,5,3814,7350,60,600,68,1,2,1,MDJN1108.pdf,00132305.tif,2019,0,0,0,ORIGINAL,06,01,21701,000804,0008,0471493,047,6,351,0,,Y,2,2019-000804
