tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
180201,6,09,CT,6,01,6,6,BLOCK CANYON,7837,09,1530,1201,0630,3,1,1,2,2,7,1440,4691,9996,2,12,4,30,0,1,1,1,1,1,1,0,4,9998,9998,80,4000,72,2,2,1,CTSE1201.pdf,00155288.tif,2020,0,1,0,ORIGINAL,09,06,22164,1802,0110630,011,3,101,0,,Y,2,2020-180201
180202,6,09,CT,6,02,6,6,RANGER WRECK,7837,09,1556,1201,0630,3,1,1,2,2,7,1530,4711,4677,2,12,6,20,1,1,1,1,0,1,0,0,4,4035,7147,90,1400,69,2,2,1,CTSE1201.pdf,00155290.tif,2020,0,1,0,ORIGINAL,09,06,22164,1802,0110630,011,3,102,0,,Y,1,2020-180202
180203,6,12,FL,6,03,6,JIGGING,RANGER WRECK,7837,09,1718,1201,3879,3,1,1,2,2,6,1710,4711,9996,2,12,7,7,0,0,1,1,0,0,0,1,5,4035,7147,91,1200,70,2,1,2,CTSE1201.pdf,00155292.tif,2020,0,1,0,ORIGINAL,09,06,22164,1802,0113879,011,3,103,0,,N,2,2020-180203
180301,6,09,CT,6,01,6,6,CIA GROUNDS,6773,09,1645,1207,0630,3,1,1,2,2,1,1640,3551,3531,2,1,3,7,0,1,0,0,1,0,0,0,4,4056,7143,13,185,98,1,2,1,CTSE1207.pdf,00155297.tif,2020,0,0,0,ORIGINAL,09,05,22163,1803,0110630,011,3,104,0,,Y,2,2020-180301
180801,6,10,DE,6,01,6,6,OVERFALL,7878,10,1720,1201,0013,1,1,2,1,3,7,1720,4656,9996,2,1,6,6,0,0,1,1,0,0,0,0,2,9998,9998,12,45,81,1,2,1,DESE1201.pdf,00155312.tif,2020,0,1,0,ORIGINAL,09,07,22165,1808,0050013,005,6,110,0,,Y,2,2020-180801
181001,6,10,DE,6,01,6,6,HOT DOG,6783,10,1712,2202,1599,2,1,2,1,3,1,1650,4720,1050,2,2,8,10,0,1,1,1,0,0,0,0,3,3806,7417,50,130,75,1,2,1,DESE2202.pdf,00155318.tif,2020,0,1,0,ORIGINAL,09,02,22160,1810,0051599,005,6,118,0,,Y,1,2020-181001
181101,6,10,DE,6,01,6,6,HAYES CANYON,6783,10,1717,2204,1599,2,1,1,2,2,1,1710,2161,4656,2,12,6,7,0,1,1,1,0,0,0,0,6,9998,9998,70,1500,76,1,2,2,DESE2204.pdf,00155322.tif,2020,0,0,0,ORIGINAL,09,03,22161,1811,0051599,005,6,119,0,,Y,2,2020-181101
181102,6,10,DE,6,02,6,BAILING,BALTIMORE CANYON,6783,10,1728,2204,1599,2,1,1,2,2,1,1720,1050,9996,2,2,2,6,0,1,0,0,0,0,0,1,3,3814,7350,71,900,78,1,2,1,DESE2204.pdf,00155323.tif,2020,0,0,0,ORIGINAL,09,03,22161,1811,0051599,005,6,120,0,,Y,1,2020-181102
181103,6,10,DE,6,03,6,6,WASHINGTON CANYON,6783,10,1753,2204,1599,2,1,2,2,3,1,1743,2161,2171,2,12,6,8,0,1,1,1,0,0,0,0,4,3727,7427,68,600,81,1,1,1,DESE2204.pdf,00155325.tif,2020,0,0,0,ORIGINAL,09,03,22161,1811,0051599,005,6,121,0,,Y,2,2020-181103
181301,6,10,DE,6,01,6,6,WILMINGTON CANYON,6783,10,1533,2207,1599,2,1,2,1,3,1,1515,4711,9996,2,2,10,5,0,1,1,1,0,0,0,0,6,3824,7327,65,600,75,1,2,1,DESE2207.pdf,00155331.tif,2020,0,0,0,ORIGINAL,09,11,22169,1813,0051599,005,6,133,0,,Y,1,2020-181301
