faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,tracker,year,enterr,interr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
DEJN2203.pdf,2806,10,6,HOT DOG,10,1638,1599,6783,2,1702,00159903.tif,06/03/2021,2,2203,1,2,1,3,1,DE,4678,9996,2,6,6,13,7,6,3,3806,7417,45,180,63,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,06,03,280601,2021,0,0,0,005,0051599,6,205,0,,Y,1,2021-280601
MDJN2101.pdf,2812,24,6,POOR MANS CANYON,24,1511,0856,6555,2,1515,00159917.tif,06/01/2021,4,2101,3,1,2,2,1,MD,4678,9996,2,6,6,6,5,6,4,3752,7406,65,2400,64,1,1,0,0,1,1,0,0,0,0,1,ORIGINAL,01,06,01,281201,2021,0,0,0,047,0470856,6,259,0,,Y,2,2021-281201
MDJN2101.pdf,2812,24,6,NORFOLK CANYON,24,1540,0856,6555,2,1540,00159919.tif,06/01/2021,4,2101,3,1,2,2,2,MD,4678,9996,2,6,6,9,10,6,6,3705,7435,58,2000,65,1,1,0,0,1,1,0,0,0,0,1,ORIGINAL,02,06,01,281202,2021,1,0,0,047,0470856,6,257,0,,Y,2,2021-281202
MDJN2101.pdf,2812,10,6,POOR MANS CANYON,24,1715,0856,6555,2,1720,00159921.tif,06/01/2021,4,2101,3,1,2,2,1,DE,4711,9996,2,6,6,7,6,6,4,3752,7406,60,2400,64,2,1,0,0,1,1,0,0,0,0,1,ORIGINAL,03,06,01,281203,2021,0,0,0,047,0470856,6,258,0,,Y,2,2021-281203
MDJN2101.pdf,2812,24,6,POOR MANS CANYON,24,1740,0856,6555,2,1745,00159923.tif,06/01/2021,4,2101,3,1,2,2,1,MD,4678,9996,2,6,6,13,8,6,5,3752,7406,60,2000,64,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,04,06,01,281204,2021,1,0,0,047,0470856,6,256,0,,Y,2,2021-281204
MDJN2102.pdf,2813,12,6,POOR MANS CANYON,24,1445,1493,6936,1,1515,00159927.tif,06/01/2021,5,2102,1,2,1,3,2,FL,4677,4678,2,6,6,10,6,6,6,3752,7406,58,3000,64,1,1,0,1,1,1,0,0,0,0,2,ORIGINAL,01,06,01,281301,2021,0,0,0,047,0471493,6,260,0,,N,2,2021-281301
MDJN2102.pdf,2813,10,6,BALTIMORE CANYON,24,1615,1493,6936,1,1640,00159929.tif,06/01/2021,5,2102,1,1,2,2,1,DE,4677,4678,2,6,6,7,26,DEEP DROP,2,3814,7350,68,800,64,2,1,0,1,1,1,0,0,0,1,1,ORIGINAL,02,06,01,281302,2021,0,0,0,047,0471493,6,263,0,,Y,1,2021-281302
MDJN2102.pdf,2813,24,6,POOR MANS CANYON,24,1645,1493,6936,2,1700,00159931.tif,06/01/2021,5,2102,1,2,1,3,1,MD,4677,4678,2,6,6,12,8,6,6,3752,7406,61,3000,63,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,03,06,01,281303,2021,0,0,0,047,0471493,6,261,0,,Y,1,2021-281303
MDJN2102.pdf,2813,24,6,POOR MANS CANYON,24,1645,1493,6936,2,1720,00159933.tif,06/01/2021,5,2102,1,2,1,3,1,MD,4677,4678,2,6,6,8,4,DEEP DROP,6,3752,7406,65,4000,63,2,1,0,1,1,1,0,0,0,1,1,ORIGINAL,04,06,01,281304,2021,0,0,0,047,0471493,6,262,0,,Y,2,2021-281304
MDJN2102.pdf,2813,24,6,POOR MANS CANYON,24,1750,1493,6936,2,1815,00159935.tif,06/01/2021,5,2102,1,2,1,3,1,MD,4677,4678,2,6,6,12,8,DEEP DROP,6,3752,7406,60,3000,63,1,1,0,1,1,1,0,0,0,1,1,ORIGINAL,05,06,01,281305,2021,0,0,0,047,0471493,6,264,0,,Y,2,2021-281305
MDJN2104.pdf,2815,24,6,JACKSPOT,24,1730,0853,6447,1,1749,00159941.tif,06/02/2021,3,2104,1,2,1,3,1,MD,3591,9996,2,6,6,4,8,6,2,3805,7445,26,120,61,2,1,0,1,0,0,1,0,0,0,1,ORIGINAL,01,06,02,281501,2021,0,0,0,047,0470853,6,265,0,,Y,2,2021-281501
MDJN2104.pdf,2815,24,6,POOR MANS CANYON,24,1730,0853,6447,2,1759,00159943.tif,06/02/2021,3,2104,1,1,2,2,2,MD,4677,4678,2,6,6,6,8,6,3,3752,7406,66,2400,65,2,1,0,1,1,1,0,0,0,0,2,ORIGINAL,02,06,02,281502,2021,0,0,0,047,0470853,6,267,0,,N,2,2021-281502
MDJN2104.pdf,2815,24,6,POOR MANS CANYON,24,1630,0853,6447,2,1806,00159945.tif,06/02/2021,3,2104,1,2,1,3,1,MD,4677,4678,2,6,6,12,6,6,6,3752,7406,58,1000,62,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,03,06,02,281503,2021,0,0,0,047,0470853,6,268,0,,Y,2,2021-281503
MDJN2104.pdf,2815,10,6,POOR MANS CANYON,24,1600,0853,6447,2,1826,00159947.tif,06/02/2021,3,2104,1,2,1,3,1,DE,4677,4678,2,6,6,10,8,6,4,3752,7406,60,99998,62,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,04,06,02,281504,2021,0,0,0,047,0470853,6,266,0,,N,2,2021-281504
MDJN2105.pdf,2816,24,6,POOR MANS CANYON,24,1535,0853,7844,2,1540,00159951.tif,06/03/2021,3,2105,1,2,1,3,7,MD,4677,9996,2,6,6,13,8,6,5,3752,7406,55,300,63,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,06,03,281601,2021,0,1,0,047,0470853,6,271,0,,Y,1,2021-281601
MDJN2105.pdf,2816,24,6,POOR MANS CANYON,24,1705,0853,7844,2,1710,00159953.tif,06/03/2021,3,2105,1,2,1,3,1,MD,4677,9996,2,6,6,11,8,6,6,3752,7406,55,300,63,2,1,0,1,0,1,0,0,0,0,1,ORIGINAL,02,06,03,281602,2021,0,0,0,047,0470853,6,270,0,,N,1,2021-281602
MDJN2105.pdf,2816,24,6,POOR MANS CANYON,24,1701,0853,7844,2,1720,00159955.tif,06/03/2021,3,2105,1,2,1,3,1,MD,4677,9996,2,6,6,12,8,6,6,3752,7406,55,330,63,2,1,0,1,0,1,0,0,0,0,1,ORIGINAL,03,06,03,281603,2021,0,0,0,047,0470853,6,269,0,,Y,1,2021-281603
MDJN2205.pdf,2818,24,6,POOR MANS CANYON,24,1600,1493,6936,12,1615,00159961.tif,06/02/2021,5,2205,1,2,2,3,1,MD,4677,4678,2,6,6,10,8,DEEP DROP,6,3752,7406,58,1500,65,2,1,0,1,1,1,0,0,0,1,1,ORIGINAL,01,06,02,281801,2021,0,0,0,047,0471493,6,364,0,,Y,2,2021-281801
MDJN2205.pdf,2818,12,6,POOR MANS CANYON,24,1600,1493,6936,2,1630,00159963.tif,06/02/2021,5,2205,1,2,1,3,2,FL,4677,4678,2,6,6,10,8,6,6,3752,7406,60,780,64,1,1,0,1,1,1,0,0,0,0,2,ORIGINAL,02,06,02,281802,2021,0,0,0,047,0471493,6,366,0,,N,2,2021-281802
MDJN2205.pdf,2818,24,6,POOR MANS CANYON,24,1615,1493,6936,2,1645,00159965.tif,06/02/2021,5,2205,1,1,2,2,1,MD,4677,4678,2,6,6,7,5,6,4,3752,7406,53,1000,63,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,03,06,02,281803,2021,0,0,0,047,0471493,6,368,0,,Y,2,2021-281803
MDJN2205.pdf,2818,24,6,POOR MANS CANYON,24,1700,1493,6936,2,1720,00159967.tif,06/02/2021,5,2205,1,2,1,3,1,MD,4677,4678,2,6,6,10,8,6,6,3752,7406,60,900,64,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,04,06,02,281804,2021,0,0,0,047,0471493,6,365,0,,Y,1,2021-281804
