tracker,faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,interr,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,year,enterr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
355201,DEJL1101.pdf,3552,10,6,BALTIMORE CANYON,10,1436,1599,6783,2,1444,00162726.tif,07/03/2021,2,1101,1,1,2,2,1,DE,4711,9996,2,6,6,12,8,6,8,3814,7350,65,1200,71,1,1,0,0,1,1,1,0,0,0,0,2,ORIGINAL,01,07,03,2021,0,0,005,0051599,6,188,0,,Y,1,2021-355201
355202,DEJL1101.pdf,3552,10,6,WILMINGTON CANYON,10,1538,1599,6783,2,1550,00162728.tif,07/03/2021,2,1101,1,2,1,3,1,DE,4711,9996,2,6,6,12,7,6,6,3824,7327,85,2000,71,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,02,07,03,2021,0,0,005,0051599,6,187,0,,Y,1,2021-355202
355501,MAJL2102.pdf,3555,25,6,CRAB LEDGE,25,1630,0922,7944,1,1635,00162736.tif,07/01/2021,10,2102,3,1,2,2,2,MA,4676,4679,2,6,6,3,5,DRIFTING,3,4138,6940,14,140,62,2,1,1,1,0,0,0,0,0,0,1,1,ORIGINAL,01,07,01,2021,0,0,001,0010922,2,501,0,,N,2,2021-355501
355601,MAJL2209.pdf,3556,25,6,STELLWAGEN BANK,25,1555,0024,7911,1,1605,00162763.tif,07/01/2021,15,2209,1,2,1,3,1,MA,4671,4679,2,6,6,3,6,6,4,4216,7017,15,150,98,2,1,1,1,0,0,0,0,0,1,0,1,ORIGINAL,01,07,01,2021,1,0,009,0090024,2,532,0,,Y,2,2021-355601
355602,MAJL2209.pdf,3556,26,6,SOUTH JEFF,25,1623,0024,7911,1,1653,00162765.tif,07/01/2021,15,2209,1,2,2,3,6,MI,4677,9996,2,6,6,4,9,6,4,4255,7010,5,200,66,2,1,1,1,0,0,0,1,0,1,0,1,ORIGINAL,02,07,01,2021,1,0,009,0090024,2,533,1,Q14/Q14_NAME;,N,2,2021-355602
355801,MDJL1101.pdf,3558,26,6,WASHINGTON CANYON,24,1600,1493,6936,2,1620,00162742.tif,07/03/2021,5,1101,1,1,2,2,6,MI,4711,9996,2,6,6,6,8,6,1,3727,7427,62,600,73,1,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,07,03,2021,0,0,047,0471493,6,269,1,Q14/Q14_NAME;,N,2,2021-355801
355802,MDJL1101.pdf,3558,24,6,WASHINGTON CANYON,24,1700,1493,6936,2,1710,00162744.tif,07/03/2021,5,1101,1,2,1,3,1,MD,4711,9996,2,6,6,12,8,6,6,3727,7427,65,600,73,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,02,07,03,2021,0,0,047,0471493,6,266,0,,Y,1,2021-355802
355803,MDJL1101.pdf,3558,24,6,WASHINGTON CANYON,24,1745,1493,6936,2,1800,00162746.tif,07/03/2021,5,1101,1,2,1,3,1,MD,4711,9996,2,6,6,10,10,6,6,3727,7427,60,600,71,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,03,07,03,2021,0,0,047,0471493,6,268,0,,Y,1,2021-355803
355804,MDJL1101.pdf,3558,24,6,WASHINGTON CANYON,24,1800,1493,6936,2,1815,00162748.tif,07/03/2021,5,1101,1,2,2,3,1,MD,4711,9996,2,6,6,8,8,6,5,3727,7427,63,600,72,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,04,07,03,2021,0,0,047,0471493,6,267,0,,Y,2,2021-355804
355805,MDJL1101.pdf,3558,24,6300,WASHINGTON CANYON,24,1800,1493,6936,2,1825,00162750.tif,07/03/2021,5,1101,1,2,2,3,1,MD,4711,9996,1,CANYON KICKOFF,6,10,7,6,4,3727,7427,65,600,72,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,05,07,03,2021,0,0,047,0471493,6,1028,0,,Y,2,2021-355805
