id,tracker,year,month,stcode,control,docno,species,length,curve,upprbill,lowerjaw,gender,prep
2006-000101,000101,2006,06,51,2114,01,1050,842,9996,9996,9996,1,0
2006-000101,000101,2006,06,51,2114,01,4711,682,700,9996,9996,6,0
2006-000101,000101,2006,06,51,2114,01,4711,685,695,9996,9996,6,0
2006-000101,000101,2006,06,51,2114,01,4711,685,705,9996,9996,6,0
2006-000101,000101,2006,06,51,2114,01,4711,770,790,9996,9996,6,0
2006-000503,000503,2006,06,24,2111,03,1050,821,9996,9996,9996,1,0
2006-000503,000503,2006,06,24,2111,03,1050,664,9996,9996,9996,2,0
2006-000503,000503,2006,06,24,2111,03,4676,1467,1507,9996,9996,6,0
2006-000504,000504,2006,06,24,2111,04,4676,9997,1502,9996,9996,6,0
2006-000504,000504,2006,06,24,2111,04,4676,9997,1553,9996,9996,6,0
2006-000505,000505,2006,06,24,2111,05,3551,1861,9996,9996,9996,1,0
2006-001101,001101,2006,06,24,1101,01,3551,2113,9996,9996,9996,2,0
2006-001106,001106,2006,06,24,1101,06,3551,1840,9996,9996,9996,1,0
2006-001506,001506,2006,06,24,1102,06,4701,891,962,9996,9996,6,0
2006-001801,001801,2006,06,24,2112,01,4681,510,9996,9996,9996,6,0
2006-001801,001801,2006,06,24,2112,01,4711,940,944,9996,9996,6,0
2006-001801,001801,2006,06,24,2112,01,4711,942,951,9996,9996,6,0
2006-001801,001801,2006,06,24,2112,01,4711,948,954,9996,9996,6,0
2006-001801,001801,2006,06,24,2112,01,4711,948,955,9996,9996,6,0
2006-001801,001801,2006,06,24,2112,01,4711,949,958,9996,9996,6,0
2006-001801,001801,2006,06,24,2112,01,4711,950,960,9996,9996,6,0
2006-001901,001901,2006,06,51,1102,01,4677,1140,1170,9996,9996,6,0
2006-001901,001901,2006,06,51,1102,01,4678,1230,1240,9996,9996,6,0
2006-001901,001901,2006,06,51,1102,01,4678,1240,1260,9996,9996,6,0
2006-001901,001901,2006,06,51,1102,01,4678,1320,1350,9996,9996,6,0
2006-002003,002003,2006,06,24,1111,03,4711,680,684,9996,9996,6,0
2006-002003,002003,2006,06,24,1111,03,4711,700,705,9996,9996,6,0
2006-002003,002003,2006,06,24,1111,03,4711,770,778,9996,9996,6,0
2006-002701,002701,2006,06,10,1203,01,4711,698,708,9996,9996,6,0
2006-002701,002701,2006,06,10,1203,01,4711,701,718,9996,9996,6,0
2006-002901,002901,2006,06,51,1101,01,4681,730,9996,9996,9996,6,0
2006-002901,002901,2006,06,51,1101,01,4681,740,9996,9996,9996,6,0
2006-002903,002903,2006,06,51,1101,03,4678,1290,1298,9996,9996,6,0
2006-003001,003001,2006,06,51,1109,01,230,670,9996,9996,9996,6,0
2006-003001,003001,2006,06,51,1109,01,230,690,9996,9996,9996,6,0
2006-003001,003001,2006,06,51,1109,01,230,700,9996,9996,9996,6,0
2006-003001,003001,2006,06,51,1109,01,4681,640,650,9996,9996,6,0
2006-003001,003001,2006,06,51,1109,01,4681,660,680,9996,9996,6,0
2006-003001,003001,2006,06,51,1109,01,4681,680,700,9996,9996,6,0
2006-003001,003001,2006,06,51,1109,01,4681,690,700,9996,9996,6,0
2006-003004,003004,2006,06,51,1109,04,230,600,9996,9996,9996,6,0
2006-003004,003004,2006,06,51,1109,04,230,680,9996,9996,9996,6,0
2006-003004,003004,2006,06,51,1109,04,4681,600,660,9996,9996,6,0
2006-003004,003004,2006,06,51,1109,04,4681,640,650,9996,9996,6,0
2006-003004,003004,2006,06,51,1109,04,4681,650,670,9996,9996,6,0
2006-003004,003004,2006,06,51,1109,04,4681,650,670,9996,9996,6,0
