intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,filestat,s_index,serrflag,sprobfld,id
7393,3,1,2011,06,05,005202,8100088,0,0,51,02,1203,1,vajn1203.tif,00035258.tif,30,0052,9996,9996,876,6,9996,0,1,ORIGINAL,11,0,,2011-005202
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,894,6,9996,0,3,ORIGINAL,3,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,900,6,9996,0,5,ORIGINAL,5,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,916,6,9996,0,1,ORIGINAL,1,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,916,6,9996,0,2,ORIGINAL,2,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,917,6,9996,0,9,ORIGINAL,9,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,928,6,9996,0,4,ORIGINAL,4,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,948,6,9996,0,8,ORIGINAL,8,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,973,6,9996,0,6,ORIGINAL,6,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,1005,6,9996,0,10,ORIGINAL,10,0,,2011-014701
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035695.tif,30,0147,9996,9996,1035,6,9996,0,7,ORIGINAL,7,0,,2011-014701
6936,5,1,2011,06,22,022301,0471493,0,0,24,01,2112,1,mdjn2112.tif,00036268.tif,1050,0223,9996,9996,477,2,9996,0,6,ORIGINAL,42,0,,2011-022301
6783,3,1,2011,06,27,025903,0470853,1,0,24,03,2113,1,mdjn2113.tif,00036567.tif,1050,0259,9996,9996,497,2,9996,0,7,ORIGINAL,30,0,,2011-025903
6778,8,1,2011,06,25,028209,0010955,1,1,51,09,1107,1,vajn1107.tif,00036831.tif,1050,0282,9996,9996,503,8,9996,0,4,ORIGINAL,126,0,,2011-028209
7392,1,1,2011,06,26,027402,8100002,0,0,51,02,1207,1,vajn1207.tif,00036754.tif,1050,0274,9996,9996,503,2,9996,0,1,ORIGINAL,145,0,,2011-027402
6936,5,1,2011,06,27,025801,0471493,0,1,24,01,2104,1,mdjn2104.tif,00036555.tif,1050,0258,9996,9996,530,2,9996,0,7,ORIGINAL,47,0,,2011-025801
7392,1,1,2011,06,26,027403,8100002,0,0,51,03,1207,1,vajn1207.tif,00036756.tif,1050,0274,9996,9996,537,2,9996,0,2,ORIGINAL,149,0,,2011-027403
7326,3,1,2011,06,26,024506,0470853,0,0,24,06,1104,1,mdjn1104.tif,00036450.tif,1050,0245,9996,9996,540,1,9996,0,2,ORIGINAL,54,0,,2011-024506
6783,3,1,2011,06,27,025903,0470853,1,0,24,03,2113,1,mdjn2113.tif,00036567.tif,1050,0259,9996,9996,542,1,9996,0,6,ORIGINAL,29,0,,2011-025903
7392,1,1,2011,06,26,027405,8100091,0,0,51,05,1207,1,vajn1207.tif,00036760.tif,1050,0274,9996,9996,545,2,9996,0,3,ORIGINAL,153,0,,2011-027405
6783,3,1,2011,06,27,025903,0470853,0,0,24,03,2113,1,mdjn2113.tif,00036567.tif,1050,0259,9996,9996,546,1,9996,0,5,ORIGINAL,28,0,,2011-025903
6936,5,1,2011,06,27,025801,0471493,0,1,24,01,2104,1,mdjn2104.tif,00036555.tif,1050,0258,9996,9996,548,2,9996,0,5,ORIGINAL,45,0,,2011-025801
6936,5,1,2011,06,22,022301,0471493,0,0,24,01,2112,1,mdjn2112.tif,00036268.tif,1050,0223,9996,9996,549,2,9996,0,4,ORIGINAL,40,0,,2011-022301
7392,1,1,2011,06,18,018804,8100002,0,0,51,04,1105,1,vajn1105.tif,00036035.tif,1050,0188,9996,9996,553,2,9996,0,1,ORIGINAL,144,0,,2011-018804
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035696.tif,1050,0147,9996,9996,554,2,9996,2,12,ORIGINAL,139,0,,2011-014701
7392,1,1,2011,06,26,027405,8100091,0,0,51,05,1207,1,vajn1207.tif,00036760.tif,1050,0274,9996,9996,554,2,9996,0,2,ORIGINAL,152,0,,2011-027405
6783,3,1,2011,06,27,025903,0470853,1,0,24,03,2113,1,mdjn2113.tif,00036567.tif,1050,0259,9996,9996,555,2,9996,0,8,ORIGINAL,31,0,,2011-025903
7392,1,1,2011,06,26,027405,8100091,0,0,51,05,1207,1,vajn1207.tif,00036760.tif,1050,0274,9996,9996,561,2,9996,0,5,ORIGINAL,155,0,,2011-027405
6936,5,1,2011,06,27,025801,0471493,0,1,24,01,2104,1,mdjn2104.tif,00036555.tif,1050,0258,9996,9996,562,1,9996,0,6,ORIGINAL,46,0,,2011-025801
7392,1,1,2011,06,26,027403,8100002,0,0,51,03,1207,1,vajn1207.tif,00036756.tif,1050,0274,9996,9996,564,2,9996,0,4,ORIGINAL,151,0,,2011-027403
6633,3,1,2011,06,26,025101,8100088,0,0,51,01,1208,1,vajn1208.tif,00036499.tif,1050,0251,9996,9996,573,1,9996,0,1,ORIGINAL,95,0,,2011-025101
7392,1,1,2011,06,18,018802,8100002,0,0,51,02,1105,1,vajn1105.tif,00036031.tif,1050,0188,9996,9996,574,2,9996,0,1,ORIGINAL,141,0,,2011-018802
7326,7,1,2011,06,19,018004,0470938,1,0,24,04,1109,1,mdjn1109.tif,00036142.tif,1050,0180,9996,9996,580,2,9996,0,5,ORIGINAL,51,0,,2011-018004
7370,3,1,2011,06,25,024701,0090385,0,0,34,01,1205,1,njjn1205.tif,00036482.tif,1050,0247,9996,9996,584,2,9996,0,1,ORIGINAL,67,0,,2011-024701
6555,7,1,2011,06,11,009703,0470938,0,0,24,03,1102,1,mdjn1102.tif,00035451.tif,1050,0097,9996,9996,586,2,9996,0,3,ORIGINAL,23,0,,2011-009703
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035696.tif,1050,0147,9996,9996,588,2,9996,2,11,ORIGINAL,138,0,,2011-014701
6555,7,1,2011,06,11,009703,0470938,0,0,24,03,1102,1,mdjn1102.tif,00035451.tif,1050,0097,9996,9996,591,2,9996,0,2,ORIGINAL,22,0,,2011-009703
