tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,filestat,s_index,serrflag,sprobfld,id
03,9996,9996,620,6,9996,7393,3,1,2011,07,03,8100088,0,1,51,0,1111,1,vajl1111.tif,00037056.tif,30,0316,0,2,ORIGINAL,1,0,,2011-031602
05,9996,9996,385,6,9996,7361,11,1,2011,07,23,0091131,0,1,34,0,1116,1,njjl1116.tif,00039426.tif,330,0594,0,2,ORIGINAL,3,0,,2011-059403
03,9996,9996,452,6,9996,6708,11,1,2011,07,05,0090386,0,0,34,0,2204,1,njjl2204.tif,00037620.tif,330,0366,0,2,ORIGINAL,2,0,,2011-036602
06,9996,9996,357,2,9996,6855,1,4,2011,07,31,0590626,0,0,36,0,1118,1,nyjl1118.tif,00040015.tif,1050,0680,0,1,ORIGINAL,152,1,LENGTH;,2011-068003
06,9996,9996,358,2,9996,6855,1,4,2011,07,31,0590626,0,0,36,0,1118,1,nyjl1118.tif,00040015.tif,1050,0680,0,3,ORIGINAL,154,1,LENGTH;,2011-068003
04,9996,9996,367,2,9996,6593,11,1,2011,07,10,0090022,0,0,44,2,1209,1,rijl1209.tif,00038505.tif,1050,0481,0,5,ORIGINAL,166,1,LENGTH;,2011-048122
06,9996,9996,382,2,9996,6855,1,4,2011,07,31,0590626,0,0,36,0,1118,1,nyjl1118.tif,00040015.tif,1050,0680,0,2,ORIGINAL,153,1,LENGTH;,2011-068003
04,9996,9996,382,1,9996,6593,11,1,2011,07,10,0090022,0,0,44,2,1209,1,rijl1209.tif,00038505.tif,1050,0481,0,2,ORIGINAL,163,1,LENGTH;,2011-048122
04,9996,9996,397,2,9996,6593,11,1,2011,07,10,0090022,0,0,44,2,1209,1,rijl1209.tif,00038505.tif,1050,0481,0,6,ORIGINAL,167,1,LENGTH;,2011-048122
04,9996,9996,420,2,9996,6593,11,1,2011,07,10,0090022,0,0,44,2,1209,1,rijl1209.tif,00038505.tif,1050,0481,0,1,ORIGINAL,162,0,,2011-048122
04,9996,9996,427,2,9996,6593,11,1,2011,07,10,0090022,0,0,44,2,1209,1,rijl1209.tif,00038505.tif,1050,0481,0,4,ORIGINAL,165,0,,2011-048122
04,9996,9996,433,2,9996,6593,11,1,2011,07,10,0090022,0,0,44,2,1209,1,rijl1209.tif,00038505.tif,1050,0481,0,3,ORIGINAL,164,0,,2011-048122
04,9996,9996,446,1,9996,7393,2,1,2011,07,01,8100265,0,0,51,0,2110,1,vajl2110.tif,00038302.tif,1050,0460,0,6,ORIGINAL,258,0,,2011-046002
05,9996,9996,462,1,9996,6708,3,1,2011,07,24,0090385,0,0,34,0,1208,1,njjl1208.tif,00039441.tif,1050,0595,0,3,ORIGINAL,105,0,,2011-059501
03,9996,9996,488,8,9996,6928,2,1,2011,07,07,8100015,0,1,51,0,2114,1,vajl2114.tif,00037694.tif,1050,0377,0,5,ORIGINAL,239,0,,2011-037701
04,9996,9996,490,1,9996,7326,1,1,2011,07,10,0470004,0,1,24,0,1210,1,mdjl1210.tif,00038149.tif,1050,0406,0,2,ORIGINAL,72,0,,2011-040601
04,9996,9996,502,2,9996,6855,1,1,2011,07,02,0590213,0,1,36,0,1107,1,nyjl1107.tif,00038172.tif,1050,0449,0,2,ORIGINAL,149,0,,2011-044905
06,9996,9996,503,2,9996,6615,1,1,2011,07,28,0590213,0,0,36,0,2117,1,nyjl2117.tif,00039952.tif,1050,0669,0,1,ORIGINAL,131,0,,2011-066901
06,9996,9996,505,2,9996,6615,1,1,2011,07,28,0590213,0,0,36,0,2117,1,nyjl2117.tif,00039952.tif,1050,0669,0,3,ORIGINAL,133,0,,2011-066901
04,9996,9996,507,1,9996,7392,1,1,2011,07,06,8100091,0,0,51,0,2206,1,vajl2206.tif,00038344.tif,1050,0465,0,2,ORIGINAL,243,0,,2011-046501
06,9996,9996,509,2,9996,6858,3,1,2011,07,31,1030175,0,1,36,0,1120,1,nyjl1120.tif,00040203.tif,1050,0698,2,1,ORIGINAL,157,0,,2011-069806
03,9996,9996,510,2,9996,7326,3,1,2011,07,01,0470853,0,0,24,0,2203,1,mdjl2203.tif,00037359.tif,1050,0344,0,2,ORIGINAL,67,0,,2011-034404
06,9996,9996,510,2,9996,6615,1,1,2011,07,28,0590213,0,0,36,0,2117,1,nyjl2117.tif,00039952.tif,1050,0669,0,2,ORIGINAL,132,0,,2011-066901
06,9996,9996,511,1,9996,6615,1,1,2011,07,28,0590213,0,0,36,0,2117,1,nyjl2117.tif,00039952.tif,1050,0669,0,4,ORIGINAL,134,0,,2011-066901
04,9996,9996,513,2,9996,6855,1,1,2011,07,02,0590213,0,1,36,0,1107,1,nyjl1107.tif,00038172.tif,1050,0449,0,3,ORIGINAL,150,0,,2011-044905
06,9996,9996,515,1,9996,6757,2,4,2011,07,30,1030373,0,0,36,0,1117,1,nyjl1117.tif,00039935.tif,1050,0664,0,2,ORIGINAL,140,0,,2011-066403
03,9996,9996,516,2,9996,6936,5,1,2011,07,07,0471493,0,0,24,0,2114,1,mdjl2114.tif,00037719.tif,1050,0380,0,2,ORIGINAL,47,0,,2011-038003
06,9996,9996,516,1,9996,6615,1,1,2011,07,28,0590213,0,0,36,0,2117,1,nyjl2117.tif,00039952.tif,1050,0669,0,5,ORIGINAL,135,0,,2011-066901
06,9996,9996,517,2,9996,6593,11,1,2011,07,31,0099011,0,0,44,0,1217,1,rijl1217.tif,00040236.tif,1050,0677,0,3,ORIGINAL,171,0,,2011-067706
03,9996,9996,517,8,9996,6928,2,1,2011,07,07,8100015,0,1,51,0,2114,1,vajl2114.tif,00037694.tif,1050,0377,0,7,ORIGINAL,241,0,,2011-037701
04,9996,9996,520,8,9996,6783,5,1,2011,07,06,0471493,0,0,24,0,2205,1,mdjl2205.tif,00037839.tif,1050,0408,0,2,ORIGINAL,38,0,,2011-040804
05,9996,9996,521,8,9996,6783,2,1,2011,07,23,0051599,0,0,10,0,1207,1,dejl1207.tif,00039320.tif,1050,0581,0,2,ORIGINAL,18,0,,2011-058102
03,9996,9996,522,2,9996,6478,2,1,2011,07,02,0051599,0,0,10,1,1202,1,dejl1202.tif,00037932.tif,1050,0396,0,4,ORIGINAL,8,0,,2011-039610
04,9996,9996,522,1,9996,7370,3,1,2011,07,02,0090900,0,0,34,0,1201,1,njjl1201.tif,00038113.tif,1050,0442,0,2,ORIGINAL,123,0,,2011-044209
04,9996,9996,534,2,9996,7393,1,1,2011,07,10,8100091,0,0,51,0,1113,1,vajl1113.tif,00038279.tif,1050,0458,0,2,ORIGINAL,254,0,,2011-045805
05,9996,9996,536,2,9996,6633,3,1,2011,07,19,8100088,0,0,51,0,2204,1,vajl2204.tif,00039218.tif,1050,0560,0,4,ORIGINAL,198,0,,2011-056003
05,9996,9996,537,2,9996,6615,2,1,2011,07,16,1030473,0,0,36,0,1105,1,nyjl1105.tif,00038951.tif,1050,0526,0,2,ORIGINAL,130,0,,2011-052605
04,9996,9996,537,8,9996,6590,1,1,2011,07,03,8100002,0,0,51,0,1201,1,vajl1201.tif,00038143.tif,1050,0433,0,6,ORIGINAL,178,0,,2011-043303
05,9996,9996,538,1,9996,7392,3,1,2011,07,10,8100088,0,0,51,0,1207,1,vajl1207.tif,00038619.tif,1050,0505,0,2,ORIGINAL,246,0,,2011-050506
05,9996,9996,539,2,9996,6008,7,1,2011,07,16,0470938,0,0,24,0,1107,1,mdjl1107.tif,00038771.tif,1050,0515,0,3,ORIGINAL,30,0,,2011-051506
03,9996,9996,539,8,9996,6783,8,1,2011,07,02,0010039,0,0,51,0,1205,1,vajl1205.tif,00037580.tif,1050,0363,0,6,ORIGINAL,233,0,,2011-036306
03,9996,9996,540,1,9996,7326,3,1,2011,07,03,0470853,0,0,24,0,1202,1,mdjl1202.tif,00037592.tif,1050,0364,0,1,ORIGINAL,69,0,,2011-036402
03,9996,9996,545,2,9996,7326,1,1,2011,07,05,0470004,0,0,24,0,2204,1,mdjl2204.tif,00037427.tif,1050,0345,0,1,ORIGINAL,68,0,,2011-034501
06,9996,9996,546,1,9996,6593,11,1,2011,07,31,0099011,0,0,44,0,1217,1,rijl1217.tif,00040236.tif,1050,0677,0,2,ORIGINAL,170,0,,2011-067706
05,9996,9996,546,2,9996,7392,3,1,2011,07,10,8100088,0,0,51,0,1207,1,vajl1207.tif,00038619.tif,1050,0505,0,3,ORIGINAL,247,0,,2011-050506
06,9996,9996,548,2,9996,6936,5,1,2011,07,30,0471493,0,0,24,0,1103,1,mdjl1103.tif,00039829.tif,1050,0655,0,1,ORIGINAL,53,0,,2011-065508
06,9996,9996,549,2,9996,6757,2,1,2011,07,31,1030564,0,0,36,0,1121,1,nyjl1121.tif,00040162.tif,1050,0684,0,1,ORIGINAL,141,0,,2011-068408
03,9996,9996,550,1,9996,7326,7,1,2011,07,06,0470938,0,0,24,0,2101,1,mdjl2101.tif,00037239.tif,1050,0338,0,1,ORIGINAL,63,0,,2011-033802
03,9996,9996,558,8,9996,6783,2,1,2011,07,07,0051599,0,1,10,0,2101,1,dejl2101.tif,00037794.tif,1050,0397,0,4,ORIGINAL,16,0,,2011-039702
06,9996,9996,558,2,9996,6982,4,1,2011,07,20,1030135,0,0,36,0,2206,1,nyjl2206.tif,00039972.tif,1050,0672,0,7,ORIGINAL,159,0,,2011-067202
04,9996,9996,559,8,9996,6783,3,1,2011,07,12,0470853,0,0,24,0,2202,1,mdjl2202.tif,00038447.tif,1050,0478,0,1,ORIGINAL,39,0,,2011-047801
05,9996,9996,561,2,9996,6008,7,1,2011,07,16,0470938,0,0,24,0,1107,1,mdjl1107.tif,00038771.tif,1050,0515,0,5,ORIGINAL,32,0,,2011-051506
06,9996,9996,561,1,9996,6593,11,1,2011,07,31,0099011,0,0,44,0,1217,1,rijl1217.tif,00040236.tif,1050,0677,0,1,ORIGINAL,169,0,,2011-067706
06,9996,9996,562,2,9996,6593,11,1,2011,07,31,0099011,0,0,44,0,1217,1,rijl1217.tif,00040236.tif,1050,0677,0,4,ORIGINAL,172,0,,2011-067706
03,9996,9996,562,2,9996,6633,3,1,2011,07,05,8100088,0,0,51,0,2201,1,vajl2201.tif,00037029.tif,1050,0311,0,2,ORIGINAL,183,0,,2011-031102
04,9996,9996,562,2,9996,6778,7,1,2011,07,08,0010025,0,1,51,0,2116,1,vajl2116.tif,00038312.tif,1050,0461,0,2,ORIGINAL,202,0,,2011-046103
04,9996,9996,563,1,9996,6416,6,1,2011,07,10,0251050,0,0,34,0,1112,1,njjl1112.tif,00038392.tif,1050,0469,0,1,ORIGINAL,90,0,,2011-046909
03,9996,9996,563,1,9996,6708,11,1,2011,07,05,0091131,0,0,34,0,2204,1,njjl2204.tif,00037623.tif,1050,0366,0,2,ORIGINAL,98,0,,2011-036604
05,9996,9996,563,2,9996,6633,3,1,2011,07,19,8100088,0,0,51,0,2204,1,vajl2204.tif,00039216.tif,1050,0560,0,5,ORIGINAL,194,0,,2011-056002
05,9996,9996,564,1,9996,6615,2,1,2011,07,16,1030473,0,0,36,0,1105,1,nyjl1105.tif,00038951.tif,1050,0526,0,1,ORIGINAL,129,0,,2011-052605
04,9996,9996,566,2,9996,7392,1,1,2011,07,06,8100091,0,0,51,0,2206,1,vajl2206.tif,00038344.tif,1050,0465,0,3,ORIGINAL,244,0,,2011-046501
03,9996,9996,568,2,9996,6936,5,1,2011,07,07,0471493,0,0,24,0,2114,1,mdjl2114.tif,00037719.tif,1050,0380,0,3,ORIGINAL,48,0,,2011-038003
03,9996,9996,570,1,9996,7326,3,1,2011,07,01,0470853,0,0,24,0,2203,1,mdjl2203.tif,00037359.tif,1050,0344,0,1,ORIGINAL,66,0,,2011-034404
05,9996,9996,572,8,9996,6008,7,1,2011,07,16,0470938,0,0,24,0,1107,1,mdjl1107.tif,00038765.tif,1050,0515,0,1,ORIGINAL,27,0,,2011-051503
04,9996,9996,572,8,9996,6783,2,1,2011,07,14,0470022,0,0,24,0,2104,1,mdjl2104.tif,00038544.tif,1050,0493,0,1,ORIGINAL,41,0,,2011-049301
03,9996,9996,572,1,9996,6936,4,3,2011,07,04,0470856,0,0,24,0,1105,1,mdjl1105.tif,00037193.tif,1050,0334,0,1,ORIGINAL,45,0,,2011-033405
04,9996,9996,575,2,9996,7361,2,1,2011,07,10,0019235,0,0,34,0,1213,1,njjl1213.tif,00037887.tif,1050,0417,0,4,ORIGINAL,107,0,,2011-041702
06,9996,9996,575,2,9996,6757,2,1,2011,07,31,1031780,0,0,36,2,1121,1,nyjl1121.tif,00040188.tif,1050,0684,0,1,ORIGINAL,146,0,,2011-068421
06,9996,9996,579,8,9996,6783,2,1,2011,07,31,0051599,0,1,10,0,1210,1,dejl1210.tif,00040089.tif,1050,0691,0,2,ORIGINAL,25,0,,2011-069107
03,9996,9996,580,2,9996,6447,5,1,2011,07,02,0471493,0,0,24,1,1101,1,mdjl1101.tif,00037407.tif,1050,0342,2,3,ORIGINAL,35,0,,2011-034218
03,9996,9996,582,1,9996,6708,11,1,2011,07,05,0091131,0,0,34,0,2204,1,njjl2204.tif,00037623.tif,1050,0366,0,3,ORIGINAL,99,0,,2011-036604
04,9996,9996,582,2,9996,7361,2,1,2011,07,10,0019235,0,0,34,0,1213,1,njjl1213.tif,00037887.tif,1050,0417,0,5,ORIGINAL,108,0,,2011-041702
03,9996,9996,583,8,9996,6928,2,1,2011,07,07,8100015,0,1,51,0,2114,1,vajl2114.tif,00037694.tif,1050,0377,0,6,ORIGINAL,240,0,,2011-037701
05,9996,9996,584,2,9996,7361,11,1,2011,07,23,0090386,0,1,34,0,1116,1,njjl1116.tif,00039424.tif,1050,0594,0,5,ORIGINAL,114,0,,2011-059402
05,9996,9996,585,8,9996,6590,1,1,2011,07,16,8100002,0,0,51,0,1105,1,vajl1105.tif,00039061.tif,1050,0545,0,3,ORIGINAL,181,0,,2011-054504
06,9996,9996,587,1,9996,6757,2,4,2011,07,31,1030373,0,0,36,1,1121,1,nyjl1121.tif,00040166.tif,1050,0684,0,4,ORIGINAL,142,0,,2011-068410
04,9996,9996,590,2,9996,7361,2,1,2011,07,10,0019235,0,0,34,0,1213,1,njjl1213.tif,00037887.tif,1050,0417,0,6,ORIGINAL,109,0,,2011-041702
06,9996,9996,592,8,9996,6783,3,1,2011,07,27,0470853,1,0,24,0,2108,1,mdjl2108.tif,00039751.tif,1050,0645,0,4,ORIGINAL,44,0,,2011-064504
04,9996,9996,592,1,9996,7370,3,1,2011,07,02,0090900,0,1,34,0,1201,1,njjl1201.tif,00038111.tif,1050,0442,0,1,ORIGINAL,120,0,,2011-044208
05,9996,9996,592,2,9996,6633,3,1,2011,07,19,8100088,0,0,51,0,2204,1,vajl2204.tif,00039216.tif,1050,0560,0,6,ORIGINAL,195,0,,2011-056002
05,9996,9996,594,2,9996,6008,7,1,2011,07,16,0470938,0,0,24,0,1107,1,mdjl1107.tif,00038771.tif,1050,0515,0,2,ORIGINAL,29,0,,2011-051506
03,9996,9996,594,2,9996,6936,5,1,2011,07,07,0471493,0,0,24,0,2114,1,mdjl2114.tif,00037719.tif,1050,0380,0,4,ORIGINAL,49,0,,2011-038003
06,9996,9996,595,1,9996,6757,2,4,2011,07,31,1030373,0,0,36,1,1121,1,nyjl1121.tif,00040174.tif,1050,0684,0,5,ORIGINAL,145,0,,2011-068414
05,9996,9996,597,1,9996,6633,3,1,2011,07,19,8100088,0,0,51,0,2204,1,vajl2204.tif,00039218.tif,1050,0560,0,3,ORIGINAL,197,0,,2011-056003
05,9996,9996,601,1,9996,6008,7,1,2011,07,16,0470938,0,0,24,0,1107,1,mdjl1107.tif,00038771.tif,1050,0515,0,4,ORIGINAL,31,0,,2011-051506
03,9996,9996,601,1,9996,6708,11,1,2011,07,05,0091131,0,0,34,0,2204,1,njjl2204.tif,00037623.tif,1050,0366,0,4,ORIGINAL,100,0,,2011-036604
03,9996,9996,606,8,9996,6783,2,1,2011,07,09,0051599,0,0,10,0,1201,1,dejl1201.tif,00037771.tif,1050,0395,0,1,ORIGINAL,14,0,,2011-039503
03,9996,9996,606,1,9996,6708,11,1,2011,07,05,0091131,0,0,34,0,2204,1,njjl2204.tif,00037623.tif,1050,0366,0,5,ORIGINAL,101,0,,2011-036604
03,9996,9996,608,2,9996,6858,3,1,2011,07,02,1030169,1,1,36,0,1207,1,nyjl1207.tif,00037122.tif,1050,0322,7,1,ORIGINAL,155,0,,2011-032201
04,9996,9996,612,2,9996,6013,10,1,2011,07,09,0299009,0,0,34,0,1110,1,njjl1110.tif,00037877.tif,1050,0415,0,2,ORIGINAL,76,0,,2011-041502
03,9996,9996,614,1,9996,6708,11,1,2011,07,05,0090386,0,0,34,0,2204,1,njjl2204.tif,00037620.tif,1050,0366,0,1,ORIGINAL,97,0,,2011-036602
05,9996,9996,617,1,9996,6615,2,1,2011,07,16,1030342,0,0,36,0,1105,1,nyjl1105.tif,00038947.tif,1050,0526,0,7,ORIGINAL,128,0,,2011-052603
03,9996,9996,620,1,9996,7326,3,1,2011,07,03,0470853,0,0,24,0,1202,1,mdjl1202.tif,00037592.tif,1050,0364,0,3,ORIGINAL,70,0,,2011-036402
03,9996,9996,621,1,9996,6928,2,1,2011,07,07,8100015,0,0,51,0,2114,1,vajl2114.tif,00037694.tif,1050,0377,0,4,ORIGINAL,238,0,,2011-037701
04,9996,9996,625,2,9996,7394,3,1,2011,07,12,8100088,0,0,51,0,2119,1,vajl2119.tif,00038673.tif,1050,0473,0,2,ORIGINAL,260,0,,2011-047301
04,9996,9996,626,8,9996,6590,1,1,2011,07,03,8100002,0,0,51,0,1201,1,vajl1201.tif,00038143.tif,1050,0433,0,3,ORIGINAL,175,0,,2011-043303
05,9996,9996,627,1,9996,6478,2,1,2011,07,16,0051599,0,0,10,0,1205,1,dejl1205.tif,00039143.tif,1050,0552,0,3,ORIGINAL,10,0,,2011-055202
05,9996,9996,628,2,9996,6936,5,1,2011,07,24,0471493,0,0,24,0,1206,1,mdjl1206.tif,00039393.tif,1050,0591,0,2,ORIGINAL,51,0,,2011-059106
