tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,comment,filestat,s_index,serrflag,sprobfld,id
12,9996,9996,495,6,9996,7361,1,1,2011,09,17,0011036,0,1,34,0,1201,1,njse1201.tif,00044074.tif,330,1289,0,1,,ORIGINAL,1,0,,2011-128901
11,9996,9996,405,2,9996,7361,11,1,2011,09,11,0091131,0,1,34,0,1104,1,njse1104.tif,00043412.tif,1050,1164,0,7,,ORIGINAL,116,1,LENGTH;,2011-116401
13,9996,9996,409,8,9996,6858,3,1,2011,09,22,1030175,1,1,36,0,2121,1,nyse2121.tif,00044365.tif,1050,1367,0,3,,ORIGINAL,145,1,LENGTH;,2011-136701
11,9996,9996,427,8,9996,6783,3,1,2011,09,03,0470853,0,0,24,0,1101,1,mdse1101.tif,00043331.tif,1050,1152,0,3,,ORIGINAL,11,0,,2011-115206
13,9996,9996,430,2,9996,6936,5,1,2011,09,23,0471493,0,0,24,0,2104,1,mdse2104.tif,00044445.tif,1050,1382,0,3,,ORIGINAL,50,0,,2011-138201
11,9996,9996,440,8,9996,6783,5,1,2011,09,11,0471493,0,0,24,0,1113,1,mdse1113.tif,00043809.tif,1050,1196,0,3,,ORIGINAL,16,0,,2011-119603
11,9996,9996,442,2,9996,7361,11,1,2011,09,11,0091131,0,1,34,0,1104,1,njse1104.tif,00043412.tif,1050,1164,0,8,,ORIGINAL,117,0,,2011-116401
11,9996,9996,445,8,9996,6783,5,1,2011,09,11,0471493,0,0,24,0,1113,1,mdse1113.tif,00043805.tif,1050,1196,0,1,,ORIGINAL,13,0,,2011-119601
12,9996,9996,452,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,4,,ORIGINAL,133,0,,2011-123301
11,9996,9996,461,2,9996,7361,11,1,2011,09,11,0091131,0,1,34,0,1104,1,njse1104.tif,00043412.tif,1050,1164,0,9,,ORIGINAL,118,0,,2011-116401
14,9996,9996,467,2,9996,7277,4,1,2011,09,25,0113010,0,1,09,0,1103,1,ctse1103.tif,00044621.tif,1050,1411,0,13,,ORIGINAL,2,0,,2011-141101
12,9996,9996,468,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,5,,ORIGINAL,134,0,,2011-123301
11,9996,9996,470,2,9996,7361,11,1,2011,09,11,0091131,0,1,34,0,1104,1,njse1104.tif,00043412.tif,1050,1164,0,10,,ORIGINAL,119,0,,2011-116401
12,9996,9996,472,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,6,,ORIGINAL,135,0,,2011-123301
12,9996,9996,472,8,9996,2836,3,1,2011,09,10,8100088,0,0,51,0,1205,1,vase1205.tif,00043606.tif,1050,1200,0,4,,ORIGINAL,158,0,,2011-120005
11,9996,9996,475,2,9996,7361,11,1,2011,09,11,0091131,0,1,34,0,1104,1,njse1104.tif,00043415.tif,1050,1164,0,2,,ORIGINAL,121,0,,2011-116403
12,9996,9996,480,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,8,,ORIGINAL,137,0,,2011-123301
13,9996,9996,482,1,9996,7393,3,1,2011,09,22,8100088,0,0,51,0,2102,1,vase2102.tif,00044531.tif,1050,1397,0,2,,ORIGINAL,216,0,,2011-139702
12,9996,9996,485,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,1,,ORIGINAL,130,0,,2011-123301
11,9996,9996,486,2,9996,7379,7,1,2011,09,10,0470938,0,0,24,0,1110,1,mdse1110.tif,00043347.tif,1050,1155,0,3,,ORIGINAL,93,0,,2011-115503
12,9996,9996,488,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,7,,ORIGINAL,136,0,,2011-123301
12,9996,9996,488,2,9996,7393,1,1,2011,09,12,8100002,0,0,51,0,2108,1,vase2108.tif,00043858.tif,1050,1227,0,2,,ORIGINAL,213,0,,2011-122701
11,9996,9996,489,2,9996,7379,7,1,2011,09,10,0470938,0,0,24,0,1110,1,mdse1110.tif,00043347.tif,1050,1155,0,1,,ORIGINAL,91,0,,2011-115503
13,9996,9996,491,2,9996,6855,1,4,2011,09,21,0590626,0,0,36,0,2201,1,nyse2201.tif,00044391.tif,1050,1370,0,5,,ORIGINAL,143,0,,2011-137001
11,9996,9996,492,2,9996,7379,7,1,2011,09,10,0470938,0,0,24,0,1110,1,mdse1110.tif,00043343.tif,1050,1155,0,2,,ORIGINAL,85,0,,2011-115501
11,9996,9996,492,2,9996,6416,10,1,2011,09,01,0290894,1,0,34,0,2111,1,njse2111.tif,00043090.tif,1050,1106,0,2,,ORIGINAL,95,0,,2011-110601
12,9996,9996,492,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,9,,ORIGINAL,138,0,,2011-123301
11,9996,9996,493,2,9996,7379,7,1,2011,09,10,0470938,0,0,24,0,1110,1,mdse1110.tif,00043347.tif,1050,1155,0,2,,ORIGINAL,92,0,,2011-115503
11,9996,9996,499,8,9996,6928,1,1,2011,09,11,8100002,0,0,51,0,1206,1,vase1206.tif,00043669.tif,1050,1187,0,2,,ORIGINAL,211,0,,2011-118707
13,9996,9996,501,8,9996,6783,2,1,2011,09,21,0051599,0,1,10,0,2110,1,dese2110.tif,00044238.tif,1050,1337,0,3,,ORIGINAL,4,0,,2011-133701
13,9996,9996,501,8,9996,6858,3,1,2011,09,22,1030175,1,1,36,0,2121,1,nyse2121.tif,00044365.tif,1050,1367,0,2,,ORIGINAL,144,0,,2011-136701
13,9996,9996,501,8,9996,6778,7,1,2011,09,25,0010025,0,0,51,0,1104,1,vase1104.tif,00044490.tif,1050,1391,0,2,,ORIGINAL,201,0,,2011-139101
11,9996,9996,503,2,9996,7379,7,1,2011,09,10,0470938,0,0,24,0,1110,1,mdse1110.tif,00043343.tif,1050,1155,0,3,,ORIGINAL,86,0,,2011-115501
11,9996,9996,505,8,9996,6633,3,1,2011,09,09,8100088,0,0,51,0,2207,1,vase2207.tif,00043520.tif,1050,1188,0,1,,ORIGINAL,187,0,,2011-118802
10,9996,9996,506,2,9996,6936,5,1,2011,09,02,0471493,0,0,24,0,2101,1,mdse2101.tif,00043035.tif,1050,1099,0,3,,ORIGINAL,46,0,,2011-109904
13,9996,9996,507,8,9996,6778,7,1,2011,09,25,0010025,0,0,51,0,1104,1,vase1104.tif,00044490.tif,1050,1391,0,6,,ORIGINAL,205,0,,2011-139101
12,9996,9996,512,2,9996,7361,11,1,2011,09,14,0091672,0,0,34,0,2220,1,njse2220.tif,00043796.tif,1050,1233,0,10,,ORIGINAL,139,0,,2011-123301
12,9996,9996,521,8,9996,6590,1,1,2011,09,15,8100091,0,0,51,0,2114,1,vase2114.tif,00044027.tif,1050,1273,0,2,,ORIGINAL,171,0,,2011-127301
13,9996,9996,522,8,9996,6778,7,1,2011,09,25,0010025,0,0,51,0,1104,1,vase1104.tif,00044490.tif,1050,1391,0,7,,ORIGINAL,206,0,,2011-139101
12,9996,9996,522,2,9996,7393,1,1,2011,09,12,8100002,0,0,51,0,2108,1,vase2108.tif,00043858.tif,1050,1227,0,1,,ORIGINAL,212,0,,2011-122701
