intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,length,species,batch,upprbill,lowerjaw,gender,curve,prep,recno,s_index,serrflag,sprobfld,id
7421,1,1,2012,06,24,028401,8100091,0,1,51,01,1110,1,vajn1110.tif,00048226.tif,ORIGINAL,860,30,0284,9996,9996,6,9996,0,2,1,0,,2012-028401
6936,5,1,2012,06,28,030405,0471493,0,0,24,05,2104,1,mdjn2104.tif,00048415.tif,ORIGINAL,466,1050,0304,9996,9996,2,9996,0,4,31,0,,2012-030405
6783,2,1,2012,06,28,031504,0051599,0,0,10,04,2209,1,dejn2209.tif,00048759.tif,ORIGINAL,487,1050,0315,9996,9996,2,9996,0,1,6,0,,2012-031504
6936,5,1,2012,06,28,030403,0471493,0,0,24,03,2104,1,mdjn2104.tif,00048411.tif,ORIGINAL,549,1050,0304,9996,9996,2,9996,0,4,27,0,,2012-030403
6936,5,1,2012,06,01,001202,0471493,0,0,24,02,2201,1,mdjn2201.tif,00046539.tif,ORIGINAL,551,1050,0012,9996,9996,2,9996,0,3,18,0,,2012-001202
6936,5,1,2012,06,28,030405,0471493,0,0,24,05,2104,1,mdjn2104.tif,00048415.tif,ORIGINAL,557,1050,0304,9996,9996,1,9996,0,3,30,0,,2012-030405
6936,5,1,2012,06,28,030403,0471493,0,0,24,03,2104,1,mdjn2104.tif,00048411.tif,ORIGINAL,566,1050,0304,9996,9996,2,9996,0,5,28,0,,2012-030403
6778,7,1,2012,06,09,011702,0010024,0,0,51,02,1115,1,vajn1115.tif,00047168.tif,ORIGINAL,588,1050,0117,9996,9996,2,9996,0,9,56,0,,2012-011702
7415,3,1,2012,06,12,014601,8100088,0,1,51,01,2103,1,vajn2103.tif,00047354.tif,ORIGINAL,601,1050,0146,9996,9996,2,9996,0,6,79,0,,2012-014601
7414,1,1,2012,06,09,011602,8100091,0,1,51,02,1114,1,vajn1114.tif,00047144.tif,ORIGINAL,620,1050,0116,9996,9996,7,9996,0,3,74,0,,2012-011602
6936,5,1,2012,06,01,001201,0471493,0,0,24,01,2201,1,mdjn2201.tif,00046537.tif,ORIGINAL,621,1050,0012,9996,9996,1,9996,0,1,14,0,,2012-001201
7414,1,1,2012,06,02,003301,8100091,0,0,51,01,1111,1,vajn1111.tif,00046656.tif,ORIGINAL,630,1050,0033,9996,9996,1,9996,0,2,73,0,,2012-003301
6936,5,1,2012,06,01,001202,0471493,0,0,24,02,2201,1,mdjn2201.tif,00046539.tif,ORIGINAL,636,1050,0012,9996,9996,2,9996,0,6,21,0,,2012-001202
7370,3,1,2012,06,30,033505,0090063,0,0,34,05,1109,1,njjn1109.tif,00048667.tif,ORIGINAL,640,1050,0335,9996,9996,2,9996,0,3,42,0,,2012-033505
6783,3,1,2012,06,30,033902,0470853,0,0,24,02,1103,1,mdjn1103.tif,00048695.tif,ORIGINAL,654,1050,0339,9996,9996,2,9996,0,1,10,0,,2012-033902
7379,3,1,2012,06,03,001003,0470853,0,1,24,03,1107,1,mdjn1107.tif,00046571.tif,ORIGINAL,656,1050,0010,9996,9996,2,9996,0,2,35,0,,2012-001003
7415,3,1,2012,06,12,014601,8100088,0,1,51,01,2103,1,vajn2103.tif,00047354.tif,ORIGINAL,662,1050,0146,9996,9996,2,9996,0,7,80,0,,2012-014601
6783,8,1,2012,06,23,028301,0010039,0,0,51,01,1109,1,vajn1109.tif,00048738.tif,ORIGINAL,674,1050,0283,9996,9996,1,9996,0,1,66,0,,2012-028301
7415,3,1,2012,06,12,014601,8100088,0,1,51,01,2103,1,vajn2103.tif,00047354.tif,ORIGINAL,680,1050,0146,9996,9996,2,9996,0,4,77,0,,2012-014601
7415,3,1,2012,06,12,014601,8100088,0,1,51,01,2103,1,vajn2103.tif,00047354.tif,ORIGINAL,680,1050,0146,9996,9996,2,9996,0,5,78,0,,2012-014601
