tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,batch,species,prep,recno,s_index,serrflag,sprobfld,id
06,9996,9996,698,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,7,14,0,,2012-063001
05,9996,9996,721,6,9996,6633,3,1,2012,07,12,8100088,0,0,51,0,2205,1,vajl2205.tif,00049931.tif,ORIGINAL,0543,30,0,1,4,0,,2012-054303
05,9996,9996,729,6,9996,6633,3,1,2012,07,12,8100088,0,0,51,0,2205,1,vajl2205.tif,00049931.tif,ORIGINAL,0543,30,0,4,7,0,,2012-054303
06,9996,9996,753,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,4,11,0,,2012-063001
06,9996,9996,761,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,6,13,0,,2012-063001
06,9996,9996,762,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,5,12,0,,2012-063001
04,9996,9996,773,6,9996,6633,3,1,2012,07,06,8100088,0,0,51,0,2112,1,vajl2112.tif,00049681.tif,ORIGINAL,0488,30,0,4,3,0,,2012-048801
06,9996,9996,785,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,8,15,0,,2012-063001
06,9996,9996,832,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,2,9,0,,2012-063001
05,9996,9996,842,6,9996,6633,3,1,2012,07,12,8100088,0,0,51,0,2205,1,vajl2205.tif,00049931.tif,ORIGINAL,0543,30,0,2,5,0,,2012-054303
05,9996,9996,850,6,9996,6633,3,1,2012,07,12,8100088,0,0,51,0,2205,1,vajl2205.tif,00049931.tif,ORIGINAL,0543,30,0,3,6,0,,2012-054303
06,9996,9996,851,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,1,8,0,,2012-063001
04,9996,9996,869,6,9996,6633,3,1,2012,07,06,8100088,0,0,51,0,2112,1,vajl2112.tif,00049681.tif,ORIGINAL,0488,30,0,1,1,0,,2012-048801
06,9996,9996,874,6,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050615.tif,ORIGINAL,0630,30,0,3,10,0,,2012-063001
04,9996,9996,1040,6,9996,6633,3,1,2012,07,06,8100088,0,0,51,0,2112,1,vajl2112.tif,00049681.tif,ORIGINAL,0488,30,0,3,2,0,,2012-048801
04,9996,9996,1186,6,9996,6633,3,1,2012,07,06,8100088,0,0,51,0,2112,1,vajl2112.tif,00049685.tif,ORIGINAL,0488,180,0,1,16,1,LENGTH;,2012-048803
08,9996,9996,531,6,9996,7422,4,1,2012,07,29,1030085,0,0,36,0,1213,1,nyjl1213.tif,00051764.tif,ORIGINAL,0841,330,0,1,17,0,,2012-084102
06,9996,9996,447,8,9996,6416,6,1,2012,07,01,0251808,0,0,34,0,1111,1,njjl1111.tif,00050408.tif,ORIGINAL,0608,1050,0,2,65,0,,2012-060804
06,9996,9996,448,8,9996,6416,6,1,2012,07,01,0259125,0,0,34,0,1111,1,njjl1111.tif,00050404.tif,ORIGINAL,0608,1050,0,1,64,0,,2012-060802
06,9996,9996,463,8,9996,6416,6,1,2012,07,14,0251808,0,0,34,0,1122,1,njjl1122.tif,00050856.tif,ORIGINAL,0677,1050,0,1,77,0,,2012-067707
06,9996,9996,482,8,9996,6416,6,1,2012,07,01,0251808,0,0,34,0,1111,1,njjl1111.tif,00050408.tif,ORIGINAL,0608,1050,0,4,67,0,,2012-060804
06,9996,9996,495,2,9996,7326,7,1,2012,07,14,0470938,0,0,24,0,1208,1,mdjl1208.tif,00050438.tif,ORIGINAL,0607,1050,0,3,47,0,,2012-060707
04,9996,9996,498,8,9996,6633,3,1,2012,07,06,8100088,0,0,51,0,2112,1,vajl2112.tif,00049681.tif,ORIGINAL,0488,1050,0,5,123,0,,2012-048801
04,9996,9996,510,2,9996,7370,11,1,2012,07,04,0091044,0,0,34,0,1102,1,njjl1102.tif,00049256.tif,ORIGINAL,0424,1050,0,4,80,0,,2012-042401
04,9996,9996,511,8,9996,6633,1,1,2012,07,01,8100002,0,0,51,0,1108,1,vajl1108.tif,00049403.tif,ORIGINAL,0451,1050,0,2,113,0,,2012-045101
04,9996,9996,512,2,9996,6936,5,1,2012,07,01,0471493,0,0,24,0,1108,1,mdjl1108.tif,00049112.tif,ORIGINAL,0404,1050,0,2,44,0,,2012-040406
05,9996,9996,513,8,9996,6778,8,4,2012,07,07,0010039,0,0,51,0,1103,1,vajl1103.tif,00049813.tif,ORIGINAL,0526,1050,0,10,147,0,,2012-052603
04,9996,9996,520,2,9996,7379,7,1,2012,07,06,0470938,0,0,24,0,2209,1,mdjl2209.tif,00049222.tif,ORIGINAL,0418,1050,0,5,59,0,,2012-041806
07,9996,9996,521,8,9996,6783,3,1,2012,07,22,0470853,0,0,24,0,1105,1,mdjl1105.tif,00051070.tif,ORIGINAL,0717,1050,0,4,41,0,,2012-071702
06,9996,9996,521,8,9996,6416,6,1,2012,07,01,0251808,0,0,34,0,1111,1,njjl1111.tif,00050408.tif,ORIGINAL,0608,1050,0,3,66,0,,2012-060804
06,9996,9996,523,8,9996,6416,6,1,2012,07,01,0251808,0,0,34,0,1111,1,njjl1111.tif,00050408.tif,ORIGINAL,0608,1050,0,5,68,0,,2012-060804
06,9996,9996,523,1,9996,7408,9,1,2012,07,14,0290813,0,1,34,0,1104,1,njjl1104.tif,00050535.tif,ORIGINAL,0620,1050,0,1,90,0,,2012-062001
07,9996,9996,525,1,9996,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,1050,0,3,20,0,,2012-077301
05,9996,9996,528,8,9996,6633,1,1,2012,07,13,8100091,0,0,51,0,2114,1,vajl2114.tif,00050121.tif,ORIGINAL,0576,1050,0,9,135,0,,2012-057601
07,9996,9996,532,2,9996,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,1050,0,5,22,0,,2012-077301
04,9996,9996,532,2,9996,7379,3,1,2012,07,07,0470853,1,0,24,0,1206,1,mdjl1206.tif,00049144.tif,ORIGINAL,0409,1050,0,3,49,0,,2012-040902
04,9996,9996,532,8,9996,6633,1,1,2012,07,01,8100002,0,0,51,0,1108,1,vajl1108.tif,00049403.tif,ORIGINAL,0451,1050,0,3,114,0,,2012-045101
04,9996,9996,532,8,9996,6633,1,1,2012,07,01,8100091,0,0,51,0,1108,1,vajl1108.tif,00049405.tif,ORIGINAL,0451,1050,0,4,118,0,,2012-045102
07,9996,9996,533,2,9996,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,1050,0,1,18,0,,2012-077301
08,9996,9996,533,2,9996,7427,3,1,2012,07,28,0090900,0,1,34,0,1133,1,njjl1133.tif,00051674.tif,ORIGINAL,0830,1050,0,1,96,0,,2012-083006
08,9996,9996,533,2,9996,6757,2,1,2012,07,29,1030342,0,0,36,0,1120,1,nyjl1120.tif,00051749.tif,ORIGINAL,0840,1050,0,6,105,0,,2012-084005
05,9996,9996,533,8,9996,6633,1,1,2012,07,13,8100091,0,0,51,0,2114,1,vajl2114.tif,00050121.tif,ORIGINAL,0576,1050,0,2,128,0,,2012-057601
07,9996,9996,534,2,9996,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,1050,0,6,23,0,,2012-077301
04,9996,9996,534,2,9996,7379,7,1,2012,07,06,0470938,0,0,24,0,2209,1,mdjl2209.tif,00049222.tif,ORIGINAL,0418,1050,0,6,60,0,,2012-041806
04,9996,9996,535,8,9996,6633,1,1,2012,07,01,8100091,0,0,51,0,1108,1,vajl1108.tif,00049405.tif,ORIGINAL,0451,1050,0,1,115,0,,2012-045102
07,9996,9996,540,2,9996,7421,1,1,2012,07,22,8100091,0,1,51,0,1124,1,vajl1124.tif,00051318.tif,ORIGINAL,0771,1050,0,2,174,0,,2012-077105
07,9996,9996,542,2,9996,6778,7,1,2012,07,22,0010024,0,0,51,0,1120,1,vajl1120.tif,00051242.tif,ORIGINAL,0754,1050,0,5,160,0,,2012-075401
07,9996,9996,543,2,9996,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,1050,0,7,24,0,,2012-077301
04,9996,9996,544,8,9996,6633,1,1,2012,07,04,8100002,0,0,51,0,1110,1,vajl1110.tif,00049414.tif,ORIGINAL,0452,1050,0,1,121,0,,2012-045203
04,9996,9996,545,8,9996,6633,1,1,2012,07,01,8100091,0,0,51,0,1108,1,vajl1108.tif,00049405.tif,ORIGINAL,0451,1050,0,5,119,0,,2012-045102
04,9996,9996,546,8,9996,6633,1,1,2012,07,01,8100091,0,0,51,0,1108,1,vajl1108.tif,00049405.tif,ORIGINAL,0451,1050,0,2,116,0,,2012-045102
04,9996,9996,548,8,9996,6633,1,1,2012,07,01,8100091,0,0,51,0,1108,1,vajl1108.tif,00049405.tif,ORIGINAL,0451,1050,0,3,117,0,,2012-045102
05,9996,9996,548,8,9996,6633,1,1,2012,07,13,8100091,0,0,51,0,2114,1,vajl2114.tif,00050121.tif,ORIGINAL,0576,1050,0,4,130,0,,2012-057601
08,9996,9996,550,1,9996,7427,3,1,2012,07,28,0090900,0,1,34,0,1133,1,njjl1133.tif,00051674.tif,ORIGINAL,0830,1050,0,2,97,0,,2012-083006
04,9996,9996,550,8,9996,6633,1,1,2012,07,01,8100002,0,0,51,0,1108,1,vajl1108.tif,00049403.tif,ORIGINAL,0451,1050,0,1,112,0,,2012-045101
06,9996,9996,554,2,9996,6416,6,1,2012,07,13,0251808,0,0,34,0,2106,1,njjl2106.tif,00050833.tif,ORIGINAL,0675,1050,0,1,73,0,,2012-067506
07,9996,9996,555,1,9996,2836,3,1,2012,07,23,8100088,0,0,51,0,2206,1,vajl2206.tif,00051253.tif,ORIGINAL,0757,1050,0,1,109,0,,2012-075701
06,9996,9996,559,1,9996,7379,3,1,2012,07,17,0470853,0,0,24,0,2112,1,mdjl2112.tif,00050680.tif,ORIGINAL,0640,1050,0,1,61,0,,2012-064003
07,9996,9996,559,2,9996,2836,3,1,2012,07,23,8100088,0,0,51,0,2206,1,vajl2206.tif,00051253.tif,ORIGINAL,0757,1050,0,2,110,0,,2012-075701
08,9996,9996,561,2,9996,6757,2,1,2012,07,29,1030342,0,0,36,0,1120,1,nyjl1120.tif,00051749.tif,ORIGINAL,0840,1050,0,5,104,0,,2012-084005
05,9996,9996,561,2,9996,2836,3,1,2012,07,13,8100088,0,0,51,0,2209,1,vajl2209.tif,00050221.tif,ORIGINAL,0596,1050,0,2,107,0,,2012-059601
05,9996,9996,562,8,9996,6778,7,1,2012,07,15,0010024,0,0,51,0,1117,1,vajl1117.tif,00050188.tif,ORIGINAL,0592,1050,0,5,152,0,,2012-059201
08,9996,9996,566,2,9996,6757,2,1,2012,07,29,1030342,0,0,36,0,1120,1,nyjl1120.tif,00051749.tif,ORIGINAL,0840,1050,0,4,103,0,,2012-084005
06,9996,9996,570,2,9996,6633,1,1,2012,07,14,8100091,0,0,51,0,1201,1,vajl1201.tif,00050623.tif,ORIGINAL,0630,1050,0,2,139,0,,2012-063005
08,9996,9996,575,1,9996,7427,3,1,2012,07,28,0090900,0,1,34,0,1133,1,njjl1133.tif,00051674.tif,ORIGINAL,0830,1050,0,3,98,0,,2012-083006
07,9996,9996,575,1,9996,6778,7,1,2012,07,22,0010024,0,0,51,0,1120,1,vajl1120.tif,00051242.tif,ORIGINAL,0754,1050,0,4,159,0,,2012-075401
05,9996,9996,580,2,9996,7370,11,1,2012,07,06,0091131,0,0,34,0,2211,1,njjl2211.tif,00049761.tif,ORIGINAL,0511,1050,0,2,87,0,,2012-051103
08,9996,9996,582,1,9996,6778,7,1,2012,07,28,0010024,0,0,51,0,1106,1,vajl1106.tif,00052141.tif,ORIGINAL,0892,1050,0,5,165,0,,2012-089204
06,9996,9996,583,2,9996,7427,3,1,2012,07,17,0090900,0,1,34,0,2218,1,njjl2218.tif,00050726.tif,ORIGINAL,0650,1050,0,3,95,0,,2012-065003
04,9996,9996,590,2,9996,6783,1,1,2012,07,03,0470004,0,0,24,0,2206,1,mdjl2206.tif,00049208.tif,ORIGINAL,0415,1050,0,1,33,0,,2012-041501
08,9996,9996,590,2,9996,6757,2,1,2012,07,29,1030342,0,0,36,0,1120,1,nyjl1120.tif,00051749.tif,ORIGINAL,0840,1050,0,3,102,0,,2012-084005
06,9996,9996,592,2,9996,7370,11,1,2012,07,14,0091131,1,0,34,0,1123,1,njjl1123.tif,00050325.tif,ORIGINAL,0603,1050,0,1,89,0,,2012-060302
05,9996,9996,592,2,9996,6778,8,1,2012,07,07,0011216,0,0,51,0,1103,1,vajl1103.tif,00049809.tif,ORIGINAL,0526,1050,0,2,146,0,,2012-052601
06,9996,9996,593,8,9996,6416,6,1,2012,07,07,0251005,0,0,34,0,1114,1,njjl1114.tif,00050522.tif,ORIGINAL,0616,1050,0,1,69,0,,2012-061603
06,9996,9996,599,1,9996,6783,4,3,2012,07,14,0470856,0,0,24,0,1104,1,mdjl1104.tif,00050568.tif,ORIGINAL,0625,1050,0,1,40,0,,2012-062503
05,9996,9996,601,2,9996,6633,1,1,2012,07,13,8100091,0,0,51,0,2114,1,vajl2114.tif,00050121.tif,ORIGINAL,0576,1050,0,10,136,0,,2012-057601
04,9996,9996,603,2,9996,6936,5,1,2012,07,06,0471493,0,0,24,0,2106,1,mdjl2106.tif,00049461.tif,ORIGINAL,0458,1050,0,2,46,0,,2012-045801
08,9996,9996,612,2,9996,6757,2,1,2012,07,29,1030373,0,0,36,0,1120,1,nyjl1120.tif,00051743.tif,ORIGINAL,0840,1050,0,3,99,0,,2012-084002
