tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,prep,recno,s_index,serrflag,sprobfld,id
15,9996,9996,433,6,9996,6778,7,1,2012,09,15,0010024,0,1,51,03,1105,1,vase1105.tif,00056476.tif,ORIGINAL,30,1544,0,4,1,1,LENGTH;,2012-154403
14,9996,9996,497,6,9996,7437,3,1,2012,09,02,1030175,0,1,36,02,1101,1,nyse1101.tif,00055585.tif,ORIGINAL,330,1400,0,5,8,0,,2012-140002
14,9996,9996,512,6,9996,7437,3,1,2012,09,02,1030175,0,1,36,02,1101,1,nyse1101.tif,00055585.tif,ORIGINAL,330,1400,0,3,6,0,,2012-140002
14,9996,9996,524,6,9996,7437,3,1,2012,09,02,1030175,0,1,36,02,1101,1,nyse1101.tif,00055585.tif,ORIGINAL,330,1400,0,4,7,0,,2012-140002
17,9996,9996,630,6,9996,7427,3,1,2012,09,28,0090900,1,1,34,01,2213,1,njse2213.tif,00057462.tif,ORIGINAL,330,1715,0,10,5,0,,2012-171501
17,9996,9996,643,6,9996,7427,3,1,2012,09,28,0090900,1,1,34,01,2213,1,njse2213.tif,00057462.tif,ORIGINAL,330,1715,0,8,3,0,,2012-171501
17,9996,9996,670,6,9996,7427,3,1,2012,09,28,0090900,1,1,34,01,2213,1,njse2213.tif,00057462.tif,ORIGINAL,330,1715,0,7,2,1,LENGTH;,2012-171501
17,9996,9996,680,6,9996,7427,3,1,2012,09,28,0090900,1,1,34,01,2213,1,njse2213.tif,00057462.tif,ORIGINAL,330,1715,0,9,4,1,LENGTH;,2012-171501
15,9996,9996,194,2,9996,7415,3,1,2012,09,16,8100088,0,0,51,03,1211,1,vase1211.tif,00056500.tif,ORIGINAL,1050,1548,0,3,205,1,LENGTH;LENGTH;,2012-154803
15,9996,9996,218,1,9996,7415,3,1,2012,09,16,8100088,0,0,51,03,1211,1,vase1211.tif,00056500.tif,ORIGINAL,1050,1548,0,1,203,1,LENGTH;,2012-154803
15,9996,9996,220,2,9996,7415,3,1,2012,09,16,8100088,0,0,51,03,1211,1,vase1211.tif,00056500.tif,ORIGINAL,1050,1548,0,2,204,1,LENGTH;,2012-154803
14,9996,9996,350,8,9996,2836,1,1,2012,09,02,8100091,0,1,51,02,1202,1,vase1202.tif,00055669.tif,ORIGINAL,1050,1411,0,3,179,1,LENGTH;,2012-141102
14,9996,9996,361,2,9996,7379,5,1,2012,09,08,0471493,0,0,24,02,1108,1,mdse1108.tif,00055715.tif,ORIGINAL,1050,1425,0,3,102,1,LENGTH;,2012-142502
14,9996,9996,374,2,9996,6936,5,1,2012,09,16,0471493,0,0,24,02,1103,1,mdse1103.tif,00056107.tif,ORIGINAL,1050,1492,0,3,49,1,LENGTH;,2012-149202
14,9996,9996,381,2,9996,6936,5,1,2012,09,16,0471493,0,0,24,02,1103,1,mdse1103.tif,00056107.tif,ORIGINAL,1050,1492,0,4,50,1,LENGTH;,2012-149202
14,9996,9996,383,8,9996,6783,2,1,2012,09,07,0470022,0,0,24,01,2203,1,mdse2203.tif,00055762.tif,ORIGINAL,1050,1439,0,1,25,1,LENGTH;,2012-143901
14,9996,9996,390,2,9996,6936,5,1,2012,09,16,0471493,0,0,24,02,1103,1,mdse1103.tif,00056107.tif,ORIGINAL,1050,1492,0,7,53,1,LENGTH;,2012-149202
14,9996,9996,391,2,9996,2836,1,1,2012,09,02,8100091,0,0,51,04,1202,1,vase1202.tif,00055673.tif,ORIGINAL,1050,1411,0,1,180,1,LENGTH;,2012-141104
15,9996,9996,410,2,9996,7427,2,1,2012,09,15,0019235,0,1,34,01,1223,1,njse1223.tif,00056274.tif,ORIGINAL,1050,1511,0,6,140,1,LENGTH;,2012-151101
14,9996,9996,419,8,9996,6783,2,1,2012,09,07,0470022,0,0,24,01,2203,1,mdse2203.tif,00055762.tif,ORIGINAL,1050,1439,0,5,29,1,LENGTH;,2012-143901
14,9996,9996,423,2,9996,7379,5,1,2012,09,08,0471493,0,0,24,02,1108,1,mdse1108.tif,00055715.tif,ORIGINAL,1050,1425,0,1,100,1,LENGTH;,2012-142502
15,9996,9996,423,2,9996,7427,2,1,2012,09,15,0019235,0,1,34,01,1223,1,njse1223.tif,00056274.tif,ORIGINAL,1050,1511,0,5,139,1,LENGTH;,2012-151101
14,9996,9996,430,8,9996,6783,3,1,2012,09,11,0470853,0,0,24,01,2204,1,mdse2204.tif,00055876.tif,ORIGINAL,1050,1448,0,3,34,0,,2012-144801
14,9996,9996,431,2,9996,7379,5,1,2012,09,08,0471493,0,0,24,01,1108,1,mdse1108.tif,00055713.tif,ORIGINAL,1050,1425,0,2,97,0,,2012-142501
15,9996,9996,432,8,9996,6783,7,1,2012,09,21,0470938,0,0,24,03,2106,1,mdse2106.tif,00056803.tif,ORIGINAL,1050,1595,0,1,39,0,,2012-159503
16,9996,9996,440,2,9996,6936,5,1,2012,09,21,0471493,0,0,24,03,2201,1,mdse2201.tif,00056883.tif,ORIGINAL,1050,1607,0,4,82,0,,2012-160703
17,9996,9996,440,1,9996,7427,11,1,2012,09,30,0090051,0,1,34,06,1108,1,njse1108.tif,00057416.tif,ORIGINAL,1050,1707,0,6,163,0,,2012-170706
14,9996,9996,442,2,9996,7415,3,1,2012,09,12,8100088,0,0,51,01,2208,1,vase2208.tif,00056029.tif,ORIGINAL,1050,1477,0,3,198,0,,2012-147701
15,9996,9996,443,2,9996,2836,3,1,2012,09,15,8100088,0,0,51,04,1207,1,vase1207.tif,00056486.tif,ORIGINAL,1050,1546,0,3,191,0,,2012-154604
15,9996,9996,447,2,9996,7427,2,1,2012,09,15,0019235,0,1,34,01,1223,1,njse1223.tif,00056274.tif,ORIGINAL,1050,1511,0,8,142,0,,2012-151101
15,9996,9996,450,2,9996,6013,10,1,2012,09,17,0290894,0,0,34,01,2211,1,njse2211.tif,00056409.tif,ORIGINAL,1050,1531,0,10,124,0,,2012-153101
14,9996,9996,452,8,9996,6783,2,1,2012,09,07,0470022,0,0,24,01,2203,1,mdse2203.tif,00055762.tif,ORIGINAL,1050,1439,0,6,30,0,,2012-143901
15,9996,9996,452,2,9996,6936,5,1,2012,09,15,0471493,0,0,24,15,1111,1,mdse1111.tif,00056232.tif,ORIGINAL,1050,1501,0,1,61,0,,2012-150115
16,9996,9996,455,2,9996,6936,5,1,2012,09,21,0471493,0,0,24,06,2201,1,mdse2201.tif,00056889.tif,ORIGINAL,1050,1607,0,6,94,0,,2012-160706
15,9996,9996,455,2,9996,7427,2,1,2012,09,15,0019235,0,1,34,01,1223,1,njse1223.tif,00056274.tif,ORIGINAL,1050,1511,0,2,136,0,,2012-151101
15,9996,9996,455,2,9996,7427,2,1,2012,09,15,0019235,0,1,34,01,1223,1,njse1223.tif,00056274.tif,ORIGINAL,1050,1511,0,4,138,0,,2012-151101
15,9996,9996,456,8,9996,6783,3,1,2012,09,22,0470853,0,0,24,07,1204,1,mdse1204.tif,00056822.tif,ORIGINAL,1050,1593,0,1,35,0,,2012-159307
17,9996,9996,460,2,9996,7415,3,1,2012,09,28,8100088,0,0,51,03,2202,1,vase2202.tif,00057564.tif,ORIGINAL,1050,1730,0,4,211,0,,2012-173003
14,9996,9996,462,2,9996,6936,5,1,2012,09,16,0471493,0,0,24,02,1103,1,mdse1103.tif,00056107.tif,ORIGINAL,1050,1492,0,5,51,0,,2012-149202
16,9996,9996,463,2,9996,6936,5,1,2012,09,21,0471493,0,0,24,03,2201,1,mdse2201.tif,00056883.tif,ORIGINAL,1050,1607,0,5,83,0,,2012-160703
17,9996,9996,463,2,9996,7415,3,1,2012,09,28,8100088,0,0,51,03,2202,1,vase2202.tif,00057564.tif,ORIGINAL,1050,1730,0,1,208,0,,2012-173003
