tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,s_index,serrflag,sprobfld,id
18,9996,9996,526,6,9996,6855,1,4,2012,10,08,0590626,0,0,36,02,1106,1,nyoc1106.tif,00058398.tif,330,1898,0,1,3,0,,2012-189802
20,9996,9996,596,6,9996,7430,3,3,2012,10,26,0119107,0,1,09,03,2112,1,ctoc2112.tif,00059006.tif,330,2054,0,1,1,0,,2012-205403
20,9996,9996,724,6,9996,6416,10,1,2012,10,21,0299118,1,0,34,01,1116,1,njoc1116.tif,00059099.tif,330,2079,0,1,2,1,LENGTH;,2012-207901
20,9996,9996,401,8,9996,6633,1,1,2012,10,23,8100091,0,0,51,02,2217,1,vaoc2217.tif,00058835.tif,1050,2015,0,2,46,1,LENGTH;,2012-201502
19,9996,9996,409,8,9996,6633,3,1,2012,10,21,8100088,0,0,51,02,1111,1,vaoc1111.tif,00058719.tif,1050,1984,0,6,44,1,LENGTH;,2012-198402
20,9996,9996,435,8,9996,6633,1,1,2012,10,23,8100091,1,0,51,02,2217,1,vaoc2217.tif,00058835.tif,1050,2015,0,5,49,0,,2012-201502
19,9996,9996,442,8,9996,6633,3,1,2012,10,21,8100088,0,0,51,02,1111,1,vaoc1111.tif,00058719.tif,1050,1984,0,5,43,0,,2012-198402
20,9996,9996,442,8,9996,6633,1,1,2012,10,25,8100002,0,0,51,01,2115,1,vaoc2115.tif,00058956.tif,1050,2046,0,2,50,0,,2012-204601
19,9996,9996,455,2,9996,6936,5,1,2012,10,20,0471493,1,0,24,02,1201,1,mdoc1201.tif,00058645.tif,1050,1965,0,2,20,0,,2012-196502
19,9996,9996,455,8,9996,6633,3,1,2012,10,18,8100088,0,0,51,01,2111,1,vaoc2111.tif,00058574.tif,1050,1942,0,4,34,0,,2012-194201
19,9996,9996,459,8,9996,6633,3,1,2012,10,18,8100088,0,0,51,01,2111,1,vaoc2111.tif,00058574.tif,1050,1942,0,5,35,0,,2012-194201
19,9996,9996,470,8,9996,6633,3,1,2012,10,18,8100088,0,0,51,01,2111,1,vaoc2111.tif,00058574.tif,1050,1942,0,6,36,0,,2012-194201
