intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,s_index,serrflag,sprobfld,id
6633,1,1,2013,06,20,021501,8100002,0,0,51,01,2116,1,vajn2116.tif,00060366.tif,ORIGINAL,30,0215,9996,9996,591,6,9996,0,5,1,0,,2013-021501
6633,1,1,2013,06,20,021501,8100002,0,0,51,01,2116,1,vajn2116.tif,00060366.tif,ORIGINAL,30,0215,9996,9996,595,6,9996,0,3,2,0,,2013-021501
6633,1,1,2013,06,20,021501,8100002,0,0,51,01,2116,1,vajn2116.tif,00060366.tif,ORIGINAL,30,0215,9996,9996,604,6,9996,0,9,3,0,,2013-021501
6633,1,1,2013,06,20,021501,8100002,0,0,51,01,2116,1,vajn2116.tif,00060366.tif,ORIGINAL,30,0215,9996,9996,611,6,9996,0,8,4,0,,2013-021501
7415,1,1,2013,06,27,026701,8100002,0,0,51,01,2211,1,vajn2211.tif,00060748.tif,ORIGINAL,30,0267,9996,9996,674,6,9996,0,2,7,0,,2013-026701
6633,1,1,2013,06,20,021501,8100002,0,0,51,01,2116,1,vajn2116.tif,00060366.tif,ORIGINAL,30,0215,9996,9996,690,6,9996,0,4,5,0,,2013-021501
6633,1,1,2013,06,20,021501,8100002,0,0,51,01,2116,1,vajn2116.tif,00060366.tif,ORIGINAL,30,0215,9996,9996,698,6,9996,0,7,6,0,,2013-021501
7415,1,1,2013,06,27,026701,8100002,0,0,51,01,2211,1,vajn2211.tif,00060748.tif,ORIGINAL,30,0267,9996,9996,772,6,9996,0,3,8,0,,2013-026701
6783,3,1,2013,06,09,006603,0470853,0,1,24,03,1110,1,mdjn1110.tif,00059457.tif,ORIGINAL,330,0066,9996,9996,672,6,9996,0,1,9,0,,2013-006603
7415,1,1,2013,06,23,025801,8100002,0,0,51,01,1116,1,vajn1116.tif,00060703.tif,ORIGINAL,1050,0258,9996,9996,464,2,9996,0,5,96,0,,2013-025801
