intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,curvey,lenth,q11a,s_index,serrflag,sprobfld,id
7688,3,1,2017,06,29,038601,8100088,0,0,51,01,2205,1,VAJN2205.pdf,00109764.tif,ORIGINAL,330,0386,9996,9996,671,6,9996,0,3,,,3,1,0,,2017-038601
7686,1,1,2017,06,26,034902,8100002,0,0,51,02,2206,1,VAJN2206.pdf,00109486.tif,ORIGINAL,1050,0349,9996,9996,532,1,9996,0,2,,,3,59,0,,2017-034902
7617,3,1,2017,06,28,037402,8100088,0,0,51,02,2124,1,VAJN2124.pdf,00109725.tif,ORIGINAL,1050,0374,9996,9996,559,2,9996,0,6,,,3,34,0,,2017-037402
7617,3,1,2017,06,28,037402,8100088,0,0,51,02,2124,1,VAJN2124.pdf,00109725.tif,ORIGINAL,1050,0374,9996,9996,564,2,9996,0,4,,,3,32,0,,2017-037402
7685,1,1,2017,06,16,024001,8100002,0,0,51,01,2111,1,VAJN2111.pdf,00108743.tif,ORIGINAL,1050,0240,9996,9996,567,2,9996,0,2,,,2,49,0,,2017-024001
7661,2,1,2017,06,04,002501,8100387,0,0,51,01,1102,1,VAJN1102.pdf,00107790.tif,ORIGINAL,1050,0025,9996,9996,580,2,9996,0,1,,,2,35,0,,2017-002501
7686,2,1,2017,06,03,002801,8100387,0,0,51,01,1204,1,VAJN1204.pdf,00107809.tif,ORIGINAL,1050,0028,9996,9996,594,2,9996,0,2,,,2,51,0,,2017-002801
7661,2,1,2017,06,04,002502,8100387,0,0,51,02,1102,1,VAJN1102.pdf,00107792.tif,ORIGINAL,1050,0025,9996,9996,609,2,9996,0,1,,,2,36,0,,2017-002502
6633,1,1,2017,06,04,004205,8100002,0,0,51,05,1101,1,VAJN1101.pdf,00107873.tif,ORIGINAL,1050,0042,9996,9996,616,2,9996,0,3,,,3,25,0,,2017-004205
7686,1,1,2017,06,26,034902,8100002,0,0,51,02,2206,1,VAJN2206.pdf,00109486.tif,ORIGINAL,1050,0349,9996,9996,631,2,9996,0,3,,,3,60,0,,2017-034902
6555,7,1,2017,06,17,022403,0470938,0,1,24,03,1206,1,MDJN1206.pdf,00108708.tif,ORIGINAL,1050,0224,9996,9996,669,1,9996,0,3,,,2,5,0,,2017-022403
6783,2,1,2017,06,28,037201,0051599,0,0,10,01,2206,1,DEJN2206.pdf,00109714.tif,ORIGINAL,1050,0372,9996,9996,676,1,9996,0,1,,,2,4,0,,2017-037201
7614,8,1,2017,06,22,028003,0010039,0,0,51,03,2122,1,VAJN2122.pdf,00109131.tif,ORIGINAL,1050,0280,9996,9996,676,1,9996,0,2,,,2,31,0,,2017-028003
6936,5,1,2017,06,25,032403,0471493,0,0,24,03,1104,1,MDJN1104.pdf,00109400.tif,ORIGINAL,1050,0324,9996,9996,688,2,9996,0,1,,,2,16,0,,2017-032403
7688,1,1,2017,06,12,014402,8100002,0,0,51,02,2207,1,VAJN2207.pdf,00108343.tif,ORIGINAL,1050,0144,9996,9996,721,2,9996,0,5,,,3,65,0,,2017-014402
7686,2,1,2017,06,03,002801,8100387,0,0,51,01,1204,1,VAJN1204.pdf,00107809.tif,ORIGINAL,1050,0028,9996,9996,723,1,9996,0,1,,,2,50,0,,2017-002801
7661,3,1,2017,06,11,014004,8100088,0,0,51,04,1205,1,VAJN1205.pdf,00108308.tif,ORIGINAL,1050,0140,9996,9996,726,2,9996,0,3,,,3,38,0,,2017-014004
7661,3,1,2017,06,22,027903,8100088,0,0,51,03,2103,1,VAJN2103.pdf,00109139.tif,ORIGINAL,1050,0279,9996,9996,733,2,9996,0,2,,,3,43,0,,2017-027903
6416,6,1,2017,06,28,039705,0251005,0,0,34,05,2109,1,NJJN2109.pdf,00109831.tif,ORIGINAL,1050,0397,9996,9996,734,2,9996,0,2,,,3,20,0,,2017-039705
7614,7,1,2017,06,17,023801,0010025,0,0,51,01,1107,1,VAJN1107.pdf,00108847.tif,ORIGINAL,1050,0238,9996,9996,742,2,9996,0,2,,,2,29,0,,2017-023801
7661,3,1,2017,06,22,027904,8100088,0,0,51,04,2103,1,VAJN2103.pdf,00109141.tif,ORIGINAL,1050,0279,9996,9996,744,1,9996,0,3,,,3,44,0,,2017-027904
7662,2,1,2017,06,01,002902,8100387,0,1,51,02,2108,1,VAJN2108.pdf,00107826.tif,ORIGINAL,1050,0029,9996,9996,751,1,9996,0,3,,,3,47,0,,2017-002902
7686,1,1,2017,06,26,034901,8100091,0,0,51,01,2206,1,VAJN2206.pdf,00109484.tif,ORIGINAL,1050,0349,9996,9996,754,2,9996,0,1,,,3,58,0,,2017-034901
7686,1,1,2017,06,26,034902,8100002,0,0,51,02,2206,1,VAJN2206.pdf,00109486.tif,ORIGINAL,1050,0349,9996,9996,754,2,9996,0,4,,,3,61,0,,2017-034902
6555,7,1,2017,06,17,022404,0470938,0,1,24,04,1206,1,MDJN1206.pdf,00108710.tif,ORIGINAL,1050,0224,9996,9996,760,1,9996,0,2,,,3,6,0,,2017-022404
6633,1,1,2017,06,09,012502,8100002,0,0,51,02,2202,1,VAJN2202.pdf,00108211.tif,ORIGINAL,1050,0125,9996,9996,760,2,9996,0,7,,,3,26,0,,2017-012502
6633,3,1,2017,06,13,016005,8101832,0,0,51,05,2114,1,VAJN2114.pdf,00108446.tif,ORIGINAL,1050,0160,9996,9996,765,2,9996,0,7,,,2,28,0,,2017-016005
7661,3,1,2017,06,16,024102,8100088,0,0,51,02,2119,1,VAJN2119.pdf,00108875.tif,ORIGINAL,1050,0241,9996,9996,767,2,9996,0,5,,,3,42,0,,2017-024102
6633,1,1,2017,06,04,004202,8100091,0,0,51,02,1101,1,VAJN1101.pdf,00107867.tif,ORIGINAL,1050,0042,9996,9996,768,1,9996,0,4,,,3,23,0,,2017-004202
6555,7,1,2017,06,17,022411,0470938,0,0,24,11,1206,1,MDJN1206.pdf,00108724.tif,ORIGINAL,1050,0224,9996,9996,770,2,9996,0,3,,,2,9,0,,2017-022411
6555,7,1,2017,06,17,022411,0470938,0,0,24,11,1206,1,MDJN1206.pdf,00108724.tif,ORIGINAL,1050,0224,9996,9996,771,2,9996,0,1,,,2,7,0,,2017-022411
6633,3,1,2017,06,13,016005,8101832,0,0,51,05,2114,1,VAJN2114.pdf,00108446.tif,ORIGINAL,1050,0160,9996,9996,771,2,9996,0,4,,,2,27,0,,2017-016005
7686,3,1,2017,06,12,014201,8100088,0,0,51,01,2116,1,VAJN2116.pdf,00108330.tif,ORIGINAL,1050,0142,9996,9996,772,1,9996,0,1,,,3,56,0,,2017-014201
6555,7,1,2017,06,17,022411,0470938,0,0,24,11,1206,1,MDJN1206.pdf,00108724.tif,ORIGINAL,1050,0224,9996,9996,775,1,9996,0,2,,,2,8,0,,2017-022411
7686,1,1,2017,06,26,034904,8100002,0,0,51,04,2206,1,VAJN2206.pdf,00109490.tif,ORIGINAL,1050,0349,9996,9996,775,2,9996,0,1,,,3,63,0,,2017-034904
