tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,prep,recno,q11a,s_index,serrflag,sprobfld,id
083701,9996,9996,335,6,9996,7509,2,1,2019,07,29,0011724,0,0,34,01,2232,1,NJJL2232.pdf,00137521.tif,ORIGINAL,330,0837,0,1,3,9,0,,2019-083701
083701,9996,9996,335,6,9996,7509,2,1,2019,07,29,0011724,0,0,34,01,2232,1,NJJL2232.pdf,00137521.tif,ORIGINAL,330,0837,0,2,3,10,0,,2019-083701
083701,9996,9996,335,6,9996,7509,2,1,2019,07,29,0011724,0,0,34,01,2232,1,NJJL2232.pdf,00137521.tif,ORIGINAL,330,0837,0,3,3,11,0,,2019-083701
083403,9996,9996,356,6,9996,7509,2,1,2019,07,27,0011063,0,0,34,03,1107,1,NJJL1107.pdf,00137499.tif,ORIGINAL,330,0834,0,4,2,7,0,,2019-083403
083403,9996,9996,356,6,9996,7509,2,1,2019,07,27,0011063,0,0,34,03,1107,1,NJJL1107.pdf,00137499.tif,ORIGINAL,330,0834,0,5,2,8,0,,2019-083403
083701,9996,9996,356,6,9996,7509,2,1,2019,07,29,0011724,0,0,34,01,2232,1,NJJL2232.pdf,00137521.tif,ORIGINAL,330,0837,0,5,3,13,0,,2019-083701
083701,9996,9996,368,6,9996,7509,2,1,2019,07,29,0011724,0,0,34,01,2232,1,NJJL2232.pdf,00137521.tif,ORIGINAL,330,0837,0,4,3,12,0,,2019-083701
083701,9996,9996,381,6,9996,7509,2,1,2019,07,29,0011724,0,0,34,01,2232,1,NJJL2232.pdf,00137521.tif,ORIGINAL,330,0837,0,6,3,14,0,,2019-083701
083403,9996,9996,406,6,9996,7509,2,1,2019,07,27,0011063,0,0,34,03,1107,1,NJJL1107.pdf,00137499.tif,ORIGINAL,330,0834,0,1,2,4,0,,2019-083403
083403,9996,9996,406,6,9996,7509,2,1,2019,07,27,0011063,0,0,34,03,1107,1,NJJL1107.pdf,00137499.tif,ORIGINAL,330,0834,0,3,2,6,0,,2019-083403
068001,9996,9996,419,6,9996,7509,1,1,2019,07,20,0011036,0,0,34,01,1104,1,NJJL1104.pdf,00136515.tif,ORIGINAL,330,0680,0,3,2,3,0,,2019-068001
083403,9996,9996,445,6,9996,7509,2,1,2019,07,27,0011063,0,0,34,03,1107,1,NJJL1107.pdf,00137499.tif,ORIGINAL,330,0834,0,2,2,5,0,,2019-083403
063501,9996,9996,588,6,9996,6783,1,1,2019,07,20,0050013,0,0,10,01,1204,1,DEJL1204.pdf,00136222.tif,ORIGINAL,330,0635,0,5,3,2,0,,2019-063501
063501,9996,9996,628,6,9996,6783,1,1,2019,07,20,0050013,0,0,10,01,1204,1,DEJL1204.pdf,00136222.tif,ORIGINAL,330,0635,0,4,3,1,0,,2019-063501
044401,9996,9996,658,6,9996,7665,11,1,2019,07,06,0094047,0,0,44,01,1106,1,RIJL1106.pdf,00134995.tif,ORIGINAL,330,0444,0,1,3,15,0,,2019-044401
075301,9996,9996,381,2,9996,7509,2,1,2019,07,25,0011724,0,0,34,01,2129,1,NJJL2129.pdf,00136890.tif,ORIGINAL,1050,0753,0,1,2,222,1,LENGTH;,2019-075301
071802,9996,9996,383,2,9996,7661,3,1,2019,07,20,8100088,0,1,51,02,1203,1,VAJL1203.pdf,00136728.tif,ORIGINAL,1050,0718,0,4,1,294,1,LENGTH;,2019-071802
