faxno,batch,stcode,intcode,tifno,cluster,control,sitetype,q11a,filestat,docno,month,day,tracker,year,enterr,interr,site_no,species,upprbill,lowerjaw,length,gender,curve,recno,prep,measur,s_index,serrflag,sprobfld,id
153457347,7008,36,7519,153457348,5,2209,1,3,ORIGINAL,01,06,17,700801,2021,0,0,1030133,4677,9996,9996,950,6,964,1,0,1,1,0,,2021-700801
153457347,7008,36,7519,153457348,5,2209,1,3,ORIGINAL,01,06,17,700801,2021,0,0,1030133,4677,9996,9996,956,6,975,2,0,1,2,0,,2021-700801
VAJN2114.pdf,3174,51,7919,00160962.tif,1,2114,1,3,ORIGINAL,03,06,14,317403,2021,1,1,8100002,1050,9996,9996,525,2,9996,6,0,1,36,0,,2021-317403
VAJN2114.pdf,3174,51,7919,00160962.tif,1,2114,1,3,ORIGINAL,03,06,14,317403,2021,1,1,8100002,1050,9996,9996,530,2,9996,5,0,1,35,0,,2021-317403
VAJN2126.pdf,3450,51,7652,00162427.tif,7,2126,3,2,ORIGINAL,01,06,25,345001,2021,0,0,0010025,1050,9996,9996,546,2,9996,1,0,1,21,0,,2021-345001
VAJN2114.pdf,3174,51,7919,00160962.tif,1,2114,1,3,ORIGINAL,03,06,14,317403,2021,1,1,8100002,1050,9996,9996,549,2,9996,9,0,1,39,0,,2021-317403
VAJN1203.pdf,3448,51,7871,00162417.tif,3,1203,1,3,ORIGINAL,01,06,27,344801,2021,0,1,8100088,1050,9996,9996,561,2,9996,4,0,1,25,0,,2021-344801
VAJN2114.pdf,3174,51,7919,00160960.tif,1,2114,1,2,ORIGINAL,02,06,14,317402,2021,0,1,8100091,1050,9996,9996,567,2,9996,5,0,1,32,0,,2021-317402
VAJN2126.pdf,3450,51,7652,00162427.tif,7,2126,3,2,ORIGINAL,01,06,25,345001,2021,0,0,0010025,1050,9996,9996,629,1,9996,2,0,1,22,0,,2021-345001
VAJN2114.pdf,3174,51,7919,00160962.tif,1,2114,1,3,ORIGINAL,03,06,14,317403,2021,1,1,8100002,1050,9996,9996,630,2,9996,3,0,1,33,0,,2021-317403
VAJN2114.pdf,3174,51,7919,00160962.tif,1,2114,1,3,ORIGINAL,03,06,14,317403,2021,1,1,8100002,1050,9996,9996,645,2,9996,7,0,1,37,0,,2021-317403
VAJN2114.pdf,3174,51,7919,00160962.tif,1,2114,1,3,ORIGINAL,03,06,14,317403,2021,1,1,8100002,1050,9996,9996,650,2,9996,4,0,1,34,0,,2021-317403
VAJN2114.pdf,3174,51,7919,00160962.tif,1,2114,1,3,ORIGINAL,03,06,14,317403,2021,1,1,8100002,1050,9996,9996,653,1,9996,8,0,1,38,0,,2021-317403
VAJN2114.pdf,3174,51,7919,00160960.tif,1,2114,1,2,ORIGINAL,02,06,14,317402,2021,0,1,8100091,1050,9996,9996,660,2,9996,4,0,1,31,0,,2021-317402
VAJN1106.pdf,3404,51,6633,00162162.tif,1,1106,1,3,ORIGINAL,01,06,26,340401,2021,0,0,8100091,1050,9996,9996,680,1,9996,3,0,1,14,0,,2021-340401
VAJN1106.pdf,3404,51,6633,00162162.tif,1,1106,1,3,ORIGINAL,01,06,26,340401,2021,0,0,8100091,1050,9996,9996,726,2,9996,4,0,1,15,0,,2021-340401
VAJN1106.pdf,3404,51,6633,00162164.tif,1,1106,1,2,ORIGINAL,02,06,26,340402,2021,0,0,8100091,1050,9996,9996,761,2,9996,1,0,1,20,0,,2021-340402
VAJN2213.pdf,3222,51,7919,00161326.tif,3,2213,1,1,ORIGINAL,05,06,16,322205,2021,0,0,8100088,1050,9996,9996,770,2,9996,1,0,1,42,0,,2021-322205
NYJN2113.pdf,3053,36,7466,00160555.tif,4,2113,1,1,ORIGINAL,01,06,08,305301,2021,1,1,1030085,1050,9996,9996,837,2,9996,7,0,1,7,0,,2021-305301
NJJN2155.pdf,3400,34,7509,00162114.tif,11,2155,1,3,ORIGINAL,01,06,25,340001,2021,0,0,0091671,1050,9996,9996,838,2,9996,5,0,1,3,0,,2021-340001
NYJN2113.pdf,3053,36,7466,00160555.tif,4,2113,1,1,ORIGINAL,01,06,08,305301,2021,1,1,1030085,1050,9996,9996,841,2,9996,5,0,1,5,0,,2021-305301
VAJN2204.pdf,3451,51,7924,00162435.tif,3,2204,1,2,ORIGINAL,03,06,28,345103,2021,1,0,8100088,1050,9996,9996,855,1,9996,5,0,1,45,0,,2021-345103
VAJN2114.pdf,3174,51,7919,00160960.tif,1,2114,1,2,ORIGINAL,02,06,14,317402,2021,0,1,8100091,1050,9996,9996,860,1,9996,2,0,1,29,0,,2021-317402
NYJN2211.pdf,3028,36,7727,00160301.tif,3,2211,1,2,ORIGINAL,01,06,08,302801,2021,0,0,1030175,1050,9996,9996,867,2,9996,2,0,1,10,0,,2021-302801
NYJN1205.pdf,3143,36,7466,00160844.tif,4,1205,1,2,ORIGINAL,03,06,13,314303,2021,1,1,1030085,1050,9996,9996,870,2,9996,1,0,1,9,0,,2021-314303
