tracker,upprbill,lowerjaw,length,gender,curve,faxno,batch,stcode,intcode,tifno,cluster,control,sitetype,q11a,interr,filestat,docno,month,day,year,enterr,site_no,species,recno,prep,measur,s_index,serrflag,sprobfld,id
567201,9996,9996,413,2,9996,NJOC2102.pdf,5672,34,7509,00173020.tif,2,2102,1,2,0,ORIGINAL,01,10,05,2021,0,0011724,1050,8,0,1,45,0,,2021-567201
561606,9996,9996,415,2,9996,NJOC1208.pdf,5616,34,7508,00172875.tif,3,1208,1,2,0,ORIGINAL,06,10,02,2021,0,0090900,1050,2,0,1,22,0,,2021-561606
584601,9996,9996,435,2,9996,NJOC2221.pdf,5846,34,7509,00173721.tif,2,2221,1,2,0,ORIGINAL,01,10,15,2021,0,0011063,1050,1,0,1,54,0,,2021-584601
584601,9996,9996,437,2,9996,NJOC2221.pdf,5846,34,7509,00173721.tif,2,2221,1,2,0,ORIGINAL,01,10,15,2021,0,0011063,1050,5,0,1,58,0,,2021-584601
561606,9996,9996,454,2,9996,NJOC1208.pdf,5616,34,7508,00172875.tif,3,1208,1,2,0,ORIGINAL,06,10,02,2021,0,0090900,1050,3,0,1,23,0,,2021-561606
567204,9996,9996,456,2,9996,NJOC2102.pdf,5672,34,7509,00173026.tif,2,2102,1,3,0,ORIGINAL,04,10,05,2021,0,0011724,1050,5,0,1,53,0,,2021-567204
584901,9996,9996,474,2,9996,RIOC2217.pdf,5849,44,7789,00173726.tif,11,2217,1,2,1,ORIGINAL,01,10,15,2021,0,0094047,1050,3,0,1,76,0,,2021-584901
584901,9996,9996,476,2,9996,RIOC2217.pdf,5849,44,7789,00173726.tif,11,2217,1,2,1,ORIGINAL,01,10,15,2021,0,0094047,1050,1,0,1,74,0,,2021-584901
567201,9996,9996,483,2,9996,NJOC2102.pdf,5672,34,7509,00173020.tif,2,2102,1,2,0,ORIGINAL,01,10,05,2021,0,0011724,1050,7,0,1,44,0,,2021-567201
567201,9996,9996,484,2,9996,NJOC2102.pdf,5672,34,7509,00173020.tif,2,2102,1,2,0,ORIGINAL,01,10,05,2021,0,0011724,1050,3,0,1,40,0,,2021-567201
