"","YEAR","MONTH","Lat","Lon","wt_lbs","OBGEARCAT","CATDISP","COMNAME"
"1","1989","01",40.8927777777778,-70.8927777777778,25,"OT","Discarded","HERRING, ATLANTIC"
"2","1989","01",40.9022222222222,-70.835,15,"OT","Discarded","HERRING, ATLANTIC"
"3","1989","01",41.065,-70.7161111111111,50,"OT","Discarded","HERRING, ATLANTIC"
"4","1989","01",41.04,-70.8297222222222,100,"OT","Discarded","HERRING, ATLANTIC"
"5","1989","01",41.0694444444444,-70.7047222222222,300,"OT","Discarded","HERRING, ATLANTIC"
"6","1989","01",41.0258333333333,-70.8555555555556,200,"OT","Discarded","HERRING, ATLANTIC"
"7","1989","01",40.9644444444444,-70.7302777777778,200,"OT","Discarded","HERRING, ATLANTIC"
"8","1989","01",40.9169444444444,-70.7886111111111,600,"OT","Discarded","HERRING, ATLANTIC"
"9","1989","01",42.975,-70.3083333333333,8,"OT","Discarded","HERRING, ATLANTIC"
"10","1989","01",42.9416666666667,-70.475,500,"OT","Discarded","HERRING, ATLANTIC"
"11","1989","01",42.9416666666667,-70.475,2500,"OT","Discarded","HERRING, ATLANTIC"
"12","1989","01",42.7416666666667,-70.575,400,"OT","Kept","HERRING, ATLANTIC"
"13","1989","01",42.7416666666667,-70.575,100,"OT","Kept","HERRING, ATLANTIC"
"14","1989","01",42.775,-70.5416666666667,29,"OT","Discarded","HERRING, ATLANTIC"
"15","1989","01",42.6083333333333,-70.475,38,"OT","Discarded","HERRING, ATLANTIC"
"16","1989","01",42.8416666666667,-70.5916666666667,65,"OT","Discarded","HERRING, ATLANTIC"
"17","1989","01",42.8083333333333,-70.6416666666667,500,"OT","Discarded","HERRING, ATLANTIC"
"18","1989","01",42.925,-70.5083333333333,84,"OT","Discarded","HERRING, ATLANTIC"
"19","1989","01",42.925,-70.5083333333333,96,"OT","Discarded","HERRING, ATLANTIC"
"20","1989","02",43.4916666666667,-70.225,3,"OT","Discarded","HERRING, BLUEBACK"
"21","1989","02",43.4916666666667,-70.225,6,"OT","Discarded","HERRING, ATLANTIC"
"22","1989","02",43.4583333333333,-70.275,3,"OT","Discarded","HERRING, BLUEBACK"
"23","1989","02",43.4583333333333,-70.275,7,"OT","Discarded","HERRING, ATLANTIC"
"24","1989","02",43.5583333333333,-70.2083333333333,4,"OT","Discarded","HERRING, BLUEBACK"
"25","1989","02",43.5583333333333,-70.2083333333333,7,"OT","Discarded","HERRING, ATLANTIC"
"26","1989","02",43.5416666666667,-70.1916666666667,4,"OT","Discarded","HERRING, BLUEBACK"
"27","1989","02",43.5416666666667,-70.1916666666667,6,"OT","Discarded","HERRING, ATLANTIC"
"28","1989","02",43.525,-70.1916666666667,2,"OT","Discarded","HERRING, BLUEBACK"
"29","1989","02",43.525,-70.1916666666667,5,"OT","Discarded","HERRING, ATLANTIC"
"30","1989","02",43.845,-69.5155555555556,1,"OT","Discarded","HERRING, ATLANTIC"
"31","1989","02",43.7791666666667,-69.5216666666667,2,"OT","Discarded","HERRING, ATLANTIC"
