"","X","id","day","year","month","lat","lon","fhours","STATE","triptype","target","lines","giant_bft","school_bft","large_med_bft","small_med_bft","large_school_bft","young_school_bft","school_or_lgschool_bft","depth","Decade","date","temp","Size","fishery","catch","SSTemp"
"1",52120,"BG211001",7,1993,9,41.15,-70.45,4,"ME","PR","Large_BFT",4,1,0,0,0,0,0,0,-37,19,1993-09-07,19.1099995728582,"giant","Large_BFT",1,19.1099995728582
"2",52146,"BQ211101",9,1993,9,43.25,-69.35,5,"ME","PR","Large_BFT",3,1,0,0,0,0,0,0,-168,19,1993-09-09,15.3199996575713,"giant","Large_BFT",1,15.3199996575713
"3",52382,"BQ211301",1,1993,9,43.15,-69.15,1,"NH","HB","Large_BFT",6,1,0,0,0,0,0,0,-186,19,1993-09-01,16.0699996408075,"giant","Large_BFT",1,16.0699996408075
"4",52726,"AO211302",23,1993,8,42.12,-70.12,7,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-31,19,1993-08-23,18.1299995947629,"giant","Large_BFT",1,18.1299995947629
"5",56873,"AX210205",15,1994,9,41.45,-70.2,9,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-8,19,1994-09-15,16.929999621585,"giant","Large_BFT",1,16.929999621585
"6",56934,"BK210401",15,1994,9,42.25,-70.35,1,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-59,19,1994-09-15,15.1599996611476,"giant","Large_BFT",1,15.1599996611476
"7",56935,"BK210402",15,1994,9,42.5,-70.1,1,"MA","CH","Large_BFT",4,1,0,0,0,0,0,0,-81,19,1994-09-15,15.1599996611476,"giant","Large_BFT",1,15.1599996611476
"8",56936,"BK210403",15,1994,9,42.25,-70.35,1,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-59,19,1994-09-15,15.1599996611476,"giant","Large_BFT",1,15.1599996611476
"9",56937,"BK210404",15,1994,9,42.25,-70.35,6,"MA","CH","Large_BFT",4,1,0,0,0,0,0,0,-59,19,1994-09-15,15.1599996611476,"giant","Large_BFT",1,15.1599996611476
"10",57120,"BK240103",2,1994,8,42.15,-70.2,10,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-57,19,1994-08-02,20.2399995476007,"giant","Large_BFT",1,20.2399995476007
"11",57763,"AN140405",30,1994,7,41.35,-70.5,4,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-9,19,1994-07-30,21.1099995281547,"giant","Large_BFT",1,21.1099995281547
"12",57787,"CE210201",28,1994,7,43.27,-69.45,2,"ME","PR","Large_BFT",3,1,0,0,0,0,0,0,-158,19,1994-07-28,17.5499996077269,"giant","Large_BFT",1,17.5499996077269
"13",58442,"DP029302",30,1994,7,43.1,-69.4,5,"ME","PR","Large_BFT",4,1,0,0,0,0,0,0,-174,19,1994-07-30,17.5499996077269,"giant","Large_BFT",1,17.5499996077269
