"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1993","Stratum_1"," [km2*unitless/unitless]",6165583.29266676,2502901.69606292,0.405947268450631
"1","1994","Stratum_1"," [km2*unitless/unitless]",2433662.91964054,1369618.38742564,0.562780644916895
"1","1995","Stratum_1"," [km2*unitless/unitless]",49977260.744116,14211536.5320579,0.28436005336149
"1","1996","Stratum_1"," [km2*unitless/unitless]",9268766.55414388,4689286.02362234,0.50592341453738
"1","1997","Stratum_1"," [km2*unitless/unitless]",4171746.32830788,3106385.41497103,0.74462471361029
"1","1998","Stratum_1"," [km2*unitless/unitless]",6468353.73580138,6475181.39834389,1.00105554872559
"1","1999","Stratum_1"," [km2*unitless/unitless]",109460426.319471,75793722.8565453,0.692430364151279
"1","2000","Stratum_1"," [km2*unitless/unitless]",293391069.62912,201944125.949091,0.68831040496349
"1","2001","Stratum_1"," [km2*unitless/unitless]",16405439.7008503,8908502.8333514,0.543021278051428
"1","2002","Stratum_1"," [km2*unitless/unitless]",6960570.27318444,7773524.9387218,1.11679426162383
"1","2003","Stratum_1"," [km2*unitless/unitless]",201987738.94098,60561292.1174258,0.299826575785976
"1","2004","Stratum_1"," [km2*unitless/unitless]",824236551.110605,216294189.374467,0.262417614315968
"1","2005","Stratum_1"," [km2*unitless/unitless]",1031590397.40242,242961247.561997,0.235521044179727
"1","2006","Stratum_1"," [km2*unitless/unitless]",905731020.020282,406392489.161866,0.448690041722062
"1","2007","Stratum_1"," [km2*unitless/unitless]",557077939.951447,184444347.546564,0.331092535386771
"1","2008","Stratum_1"," [km2*unitless/unitless]",214081500.958086,39539676.8654971,0.184694505076543
"1","2009","Stratum_1"," [km2*unitless/unitless]",793918954.119187,258561051.561418,0.325676884548345
"1","2010","Stratum_1"," [km2*unitless/unitless]",531270538.844239,144142684.952375,0.271316917489821
"1","2011","Stratum_1"," [km2*unitless/unitless]",799900120.859391,151543992.584298,0.189453643814284
"1","2012","Stratum_1"," [km2*unitless/unitless]",933633536.631925,253240916.868131,0.271242309677195
"1","2013","Stratum_1"," [km2*unitless/unitless]",475459960.756868,69723939.8254225,0.146645239515924
"1","2014","Stratum_1"," [km2*unitless/unitless]",597084022.191426,105899427.939989,0.177361014537478
"1","2015","Stratum_1"," [km2*unitless/unitless]",166826511.253764,47652861.5516953,0.285643218176572
"1","2016","Stratum_1"," [km2*unitless/unitless]",370148517.162842,113029984.327974,0.305363871762446
"1","2017","Stratum_1"," [km2*unitless/unitless]",91585851.6549287,21650968.6285786,0.236400800313062
"1","2018","Stratum_1"," [km2*unitless/unitless]",39453735.6084675,12250944.7247539,0.310514189234964
"1","2019","Stratum_1"," [km2*unitless/unitless]",8955112.96316184,3051144.22016586,0.34071532461033
"1","2020","Stratum_1"," [km2*unitless/unitless]",4562804.16857094,5266080.09061241,1.15413239228756
"1","2021","Stratum_1"," [km2*unitless/unitless]",5280124.85608789,3159100.82778435,0.598300402715282
