"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [counts*km2/unitless]",16238.2104233631,5155.1936943969,0.317473019500951
"1","2003","Stratum_1"," [counts*km2/unitless]",6809.49697543875,2563.89901885786,0.376518122866581
"1","2004","Stratum_1"," [counts*km2/unitless]",13042.1343885969,5959.01438675702,0.456904844652355
"1","2005","Stratum_1"," [counts*km2/unitless]",43462.4256702324,20312.2994854898,0.467353102645667
"1","2006","Stratum_1"," [counts*km2/unitless]",5290.51278855775,3101.79536393443,0.586293897756559
"1","2007","Stratum_1"," [counts*km2/unitless]",12498.6273650581,8213.48678738884,0.657151105276646
"1","2008","Stratum_1"," [counts*km2/unitless]",5794.22716599462,2863.99933934681,0.494284959373904
"1","2009","Stratum_1"," [counts*km2/unitless]",5487.3240769023,2115.22485290651,0.385474745661567
"1","2010","Stratum_1"," [counts*km2/unitless]",26174.1202876289,89826.760807276,3.43189225923028
"1","2011","Stratum_1"," [counts*km2/unitless]",16802.374652258,6259.29883992526,0.37252465615532
"1","2012","Stratum_1"," [counts*km2/unitless]",14474.4566177428,5249.63639355069,0.362682795782171
"1","2013","Stratum_1"," [counts*km2/unitless]",2181.84170231324,1167.0409597072,0.534888006985053
"1","2014","Stratum_1"," [counts*km2/unitless]",8998.72801342551,3568.23293127327,0.396526367498794
"1","2015","Stratum_1"," [counts*km2/unitless]",20160.3452046543,8661.03855005626,0.429607651165454
"1","2016","Stratum_1"," [counts*km2/unitless]",14698.5776629251,5585.69121688486,0.380015763768347
"1","2017","Stratum_1"," [counts*km2/unitless]",16701.5124749149,6036.20644630027,0.361416755240966
"1","2018","Stratum_1"," [counts*km2/unitless]",14342.0864581228,5238.00366063371,0.365219082727471
"1","2019","Stratum_1"," [counts*km2/unitless]",25921.2891729559,8713.50397057377,0.336152415585282
"1","2020","Stratum_1"," [counts*km2/unitless]",28712.8798337845,9226.79826611826,0.32134701637492
"1","2021","Stratum_1"," [counts*km2/unitless]",18862.3522744766,6916.52295497153,0.366684009201258
"1","2022","Stratum_1"," [counts*km2/unitless]",30719.03963789,9327.7705931483,0.303647858237178
